태권도|taekwondo|태권도 수업|taekwondo class|태권도를 배우다|to learn taekwondo
이후2|after|그 이후|after that|졸업 이후|after graduation
이거1|this|이거 뭐야|what is this|이거 좋아|this is good
돈을|money|돈을 벌다|to earn money|돈을 쓰다|to spend money
음식을|food|음식을 만들다|to make food|음식을 주문하다|to order food
늦다|to be late|시간이 늦다|time is late|늦게 오다|to come late
밥1|rice|밥을 먹다|to eat rice|밥을 짓다|to cook rice
방7|room|방을 청소하다|to clean the room|방이 넓다|the room is spacious
민박하다|to stay at a guesthouse|민박을 하다|to stay at a guesthouse|민박집에서|at a guesthouse
혹시1|by any chance|혹시 모르니까|just in case|혹시 시간 있어요?|do you happen to have time?
아침|morning|아침에 일어나다|to wake up in the morning|아침을 먹다|to eat breakfast
은행2|bank|은행에 가다|to go to the bank|은행 계좌|bank account
느끼다2|to feel|추위를 느끼다|to feel cold|기쁨을 느끼다|to feel joy
떠나다|to leave|집을 떠나다|to leave home|여행을 떠나다|to leave for a trip
한국말|Korean language|한국말을 배우다|to learn Korean|한국말로 말하다|to speak in Korean
직접|directly|직접 만나다|to meet directly|직접 가다|to go directly
그래1|yes|그래, 맞아|yes, that's right|그래서|so
신다|to wear|신발을 신다|to wear shoes|양말을 신다|to wear socks
해보다|to try|한번 해보다|to try once|요리해보다|to try cooking
아름답다|to be beautiful|아름다운 꽃|beautiful flower|아름답게 꾸미다|to decorate beautifully
브라질|Brazil|브라질 사람|Brazilian person|브라질에 가다|to go to Brazil
중국|China|중국 음식|Chinese food|중국에서 왔다|came from China
입|mouth|입을 벌리다|to open one's mouth|입이 아프다|mouth hurts
데이트하다|to date|남친과 데이트하다|to date boyfriend|데이트 장소|dating place
대표|representative|회사 대표|company representative|대표로 선출되다|to be elected as representative
영화1|movie|영화를 보다|to watch a movie|영화관에서|at the movie theater
주무시다|to sleep|잘 주무세요|sleep well|편히 주무시다|to sleep comfortably
옆|side|옆에 앉다|to sit beside|옆 사람|person next to
필요|necessity|필요한 것|necessary thing|필요에 따라|according to need
미터2|meter|몇 미터|how many meters|10미터 거리|10 meter distance
하루1|day|하루 종일|all day long|하루가 지나다|a day passes
하늘1|sky|파란 하늘|blue sky|하늘을 보다|to look at the sky
지도3|map|세계 지도|world map|지도를 보다|to look at a map
재밌다|to be fun|재밌는 영화|fun movie|재밌게 놀다|to have fun
정말1|really|정말 좋다|really good|정말 그래요|really so
정부8|government|한국 정부|Korean government|정부 정책|government policy
네3|yes|네, 맞아요|yes, that's right|네, 알겠습니다|yes, I understand
거울1|mirror|거울을 보다|to look in the mirror|화장실 거울|bathroom mirror
현재2|currently|현재 상황|current situation|현재 살고 있다|currently living
그림1|picture|예쁜 그림|pretty picture|그림을 그리다|to draw a picture
테니스장|tennis court|테니스장에서 치다|to play at tennis court|테니스장 예약|tennis court reservation
사랑하다|to love|가족을 사랑하다|to love family|서로 사랑하다|to love each other
마시다|to drink|물을 마시다|to drink water|커피를 마시다|to drink coffee
피다1|to bloom|꽃이 피다|flowers bloom|벚꽃이 피다|cherry blossoms bloom
결국|result|좋은 결국|good result|결국을 보다|to see the result
치다2|to hit|얼굴을 치다|to hit the face|공을 치다|to hit a ball
샌드위치|sandwich|햄 샌드위치|ham sandwich|샌드위치를 먹다|to eat a sandwich
새롭다|to be new|새로운 친구|new friend|새롭게 시작하다|to start anew
술1|alcohol|술을 마시다|to drink alcohol|술을 끊다|to quit drinking
개3|dog|귀여운 개|cute dog|개를 키우다|to raise a dog
의원5|member of parliament|국회 의원|member of parliament|의원 선거|parliamentary election
사랑1|love|첫사랑|first love|사랑의 힘|power of love
커피|coffee|아침 커피|morning coffee|커피를 타다|to make coffee
목소리|voice|예쁜 목소리|pretty voice|목소리가 크다|voice is loud
유차자|debtor|유차자 명단|debtor list|유차자 관리|debtor management
케이크를|cake|케이크를 자르다|to cut cake|케이크를 만들다|to make cake
전화7|telephone|전화를 걸다|to make a call|전화가 오다|to receive a call
천1|cloth|천으로 만들다|to make with cloth|천을 짜다|to weave cloth
특히|especially|특히 중요하다|especially important|특히 좋아하다|to especially like
돌아오다|to come back|집에 돌아오다|to come back home|늦게 돌아오다|to come back late
숙제를|homework|숙제를 하다|to do homework|숙제를 내다|to submit homework
호응|response|호응이 좋다|good response|호응을 얻다|to get a response
가슴1|chest|가슴이 아프다|chest hurts|가슴을 펴다|to puff out chest
학기가|semester|학기가 시작되다|semester starts|학기가 끝나다|semester ends
너희|you (plural)|너희들은|you guys|너희 집|your house
길다2|to be long|밤이 길다|the night is long|시간이 길다|time is long
시키다1|to order|음식을 시키다|to order food|배달을 시키다|to order delivery
제품2|product|신제품|new product|제품 개발|product development
회사4|company|회사에 가다|to go to company|회사 생활|company life
피우다1|to smoke|담배를 피우다|to smoke cigarettes|연기를 피우다|to make smoke
올라가다|to go up|위로 올라가다|to go up|계단을 올라가다|to go up stairs
맛1|taste|맛이 좋다|tastes good|맛을 보다|to taste
카드를|card|카드를 내다|to pay with card|카드를 긁다|to swipe card
귀엽다|to be cute|아기가 귀엽다|baby is cute|귀여운 강아지|cute puppy
매우1|very|매우 좋다|very good|매우 빠르다|very fast
눈이|eyes|눈이 아프다|eyes hurt|눈이 크다|eyes are big
순간3|moment|그 순간|that moment|순간적으로|momentarily
오르다|to rise|가격이 오르다|price rises|산에 오르다|to climb mountain
게스트하우스|guesthouse|게스트하우스 예약|guesthouse reservation|게스트하우스에 머물다|to stay at guesthouse
가족1|family|가족과 함께|together with family|가족 여행|family trip
음식|food|음식을 만들다|to make food|음식이 맛있다|food is delicious
저녁을|dinner (object)|저녁을 먹다|to eat dinner|저녁을 준비하다|to prepare dinner
싫다1|to dislike|공부가 싫다|to dislike studying|싫은 음식|disliked food
꼭3|definitely|꼭 해야 해|must definitely do|꼭 필요하다|definitely necessary
크림빵|cream bread|크림빵을 먹다|to eat cream bread|달콤한 크림빵|sweet cream bread
미안하다|to be sorry|정말 미안하다|really sorry|미안한 마음|apologetic feeling
계획1|plan|여행 계획|travel plan|계획을 세우다|to make a plan
빌리다|to borrow|책을 빌리다|to borrow a book|돈을 빌리다|to borrow money
당시2|at that time|당시 상황|situation at that time|당시에는|at that time
아내1|wife|사랑하는 아내|beloved wife|아내와 함께|together with wife
게임하다|to play games|컴퓨터 게임하다|to play computer games|친구와 게임하다|to play games with friends
어린이1|child|어린이 놀이터|children's playground|어린이를 위한|for children
세1|counter for books|책 세 권|three books|잡지 한 권|one magazine
시간이|time (subject)|시간이 없다|no time|시간이 빠르다|time is fast
열심히|diligently|열심히 공부하다|to study diligently|열심히 일하다|to work hard
차6|car|새 차|new car|차를 운전하다|to drive a car
살짝1|slightly|살짝 열다|to open slightly|살짝 만지다|to touch lightly
놀다1|to play|친구와 놀다|to play with friends|공원에서 놀다|to play in the park
여기저기|here and there|여기저기 다니다|to go here and there|여기저기 찾다|to look here and there
잠깐|moment|잠깐만 기다려|wait a moment|잠깐 시간|brief time
도시3|city|큰 도시|big city|도시 생활|city life
날씨1|weather|좋은 날씨|good weather|날씨가 춥다|the weather is cold
돌아가다|to go back|집에 돌아가다|to go back home|고향에 돌아가다|to return to hometown
나이1|age|나이가 많다|to be old|어린 나이|young age
실례지만|excuse me but|실례지만 질문이|excuse me but I have a question|실례지만 시간이|excuse me but what time
스물(스무)|twenty|스무 살|twenty years old|스물한 개|twenty-one items
지키다1|to keep|약속을 지키다|to keep a promise|규칙을 지키다|to follow rules
배우다1|to learn|한국어를 배우다|to learn Korean|피아노를 배우다|to learn piano
빨래하다|to do laundry|빨래하는 날|laundry day|빨래하고 있어요|I'm doing laundry
확인하다|to confirm|시간을 확인하다|to check the time|예약을 확인하다|to confirm a reservation
어2|oh|어, 정말?|oh, really?|어, 이상하네|oh, that's strange
내년|next year|내년 계획|next year's plan|내년에 만나요|see you next year
고개1|head|고개를 돌리다|to turn one's head|고개를 끄덕이다|to nod one's head
그럼1|then|그럼 가자|then let's go|그럼 안녕|then goodbye
문5|door|문을 열다|to open the door|문을 닫다|to close the door
억4|hundred million|일억 원|one hundred million won|억대 부자|billionaire
저4|that|저 사람|that person|저쪽으로|over there
토요일|Saturday|토요일 오후|Saturday afternoon|토요일에 만나요|let's meet on Saturday
뜻|meaning|무슨 뜻이에요?|what does it mean?|좋은 뜻|good meaning
배2|ship|배를 띄우다|to launch a ship|큰 배|big ship
학기2|semester|새 학기|new semester|이번 학기|this semester
항상|always|항상 감사해요|always grateful|항상 바쁘다|always busy
산1|mountain|높은 산|high mountain|산에 오르다|to climb a mountain
여덟|eight|여덟 시|eight o'clock|여덟 개|eight items
기억2|memory|좋은 기억|good memory|기억이 나다|to remember
새6|new|새 옷|new clothes|새로운 시작|new beginning
누굴|whom|누굴 만나요?|whom are you meeting?|누굴 찾아요?|whom are you looking for?
안녕|hello|안녕하세요|hello|안녕히 가세요|goodbye
하지만|but|하지만 괜찮아요|but it's okay|하지만 어려워요|but it's difficult
후보4|candidate|대통령 후보|presidential candidate|후보자 등록|candidate registration
여행을|travel|여행을 가다|to go on a trip|여행을 계획하다|to plan a trip
그동안|meanwhile|그동안 잘 지냈어요|I've been well meanwhile|그동안 고생했어요|you've worked hard all this time
지난달|last month|지난달에 만났어요|we met last month|지난달 일정|last month's schedule
무섭다|to be scary|무서운 영화|scary movie|무서워하다|to be afraid
갑자기|suddenly|갑자기 비가 왔다|it suddenly rained|갑자기 생각났어요|I suddenly remembered
판1|round|마지막 판|final round|첫 번째 판|first round
잠시|briefly|잠시만 기다려요|wait a moment|잠시 후에|after a while
바람1|wind|바람이 불다|wind blows|시원한 바람|cool breeze
축하하다|to congratulate|생일을 축하하다|to congratulate on birthday|축하해요|congratulations
비슷하다2|to be similar|비슷한 모양|similar shape|서로 비슷하다|to be similar to each other
노래1|song|노래를 부르다|to sing a song|좋은 노래|good song
그림을|painting|그림을 그리다|to draw a picture|그림을 보다|to look at a painting
나쁘다1|to be bad|나쁜 사람|bad person|기분이 나쁘다|to feel bad
공부1|study|공부를 하다|to study|열심히 공부|study hard
끄다1|to turn off|불을 끄다|to turn off the light|텔레비전을 끄다|to turn off the TV
궁금하다1|to be curious|궁금한 것|curious thing|궁금해요|I'm curious
분1|minute|한 분|one minute|몇 분|a few minutes
한식4|Korean food|한식 레스토랑|Korean restaurant|한식을 먹다|to eat Korean food
과정3|process|학습 과정|learning process|복잡한 과정|complex process
불1|fire|불이 나다|fire breaks out|불을 피우다|to light a fire
독서를|reading|독서를 하다|to read|독서 시간|reading time
빠지다1|to fall out|머리가 빠지다|hair falls out|이가 빠지다|tooth falls out
학년|grade|몇 학년|what grade|새 학년|new grade
차3|order|첫 번째 차|first order|다음 차|next order
자체2|itself|그 자체|itself|문제 자체|the problem itself
신문10|newspaper|신문을 읽다|to read newspaper|아침 신문|morning newspaper
조용하다1|to be quiet|조용한 곳|quiet place|조용히 하다|to be quiet
옷1|clothes|새 옷|new clothes|옷을 입다|to wear clothes
이해하다2|to understand|이해가 안 돼요|I don't understand|이해하기 쉽다|easy to understand
냉면|cold noodles|물냉면|water cold noodles|냉면을 먹다|to eat cold noodles
아마1|probably|아마 올 거예요|probably will come|아마 맞을 거야|probably right
선생1|teacher|선생님|teacher|우리 선생|our teacher
둘(두)|two|둘이서|the two of us|두 개|two pieces
남다1|to remain|시간이 남다|time remains|돈이 남다|money is left over
기분1|mood|기분이 좋다|to feel good|기분 나쁘다|to feel bad
물어보다|to ask|길을 물어보다|to ask for directions|이름을 물어보다|to ask someone's name
가격3|price|가격이 비싸다|the price is expensive|가격을 확인하다|to check the price
꿈1|dream|좋은 꿈|good dream|꿈을 꾸다|to have a dream
약속이|appointment|약속이 있다|to have an appointment|약속을 잡다|to make an appointment
가능하다|to be possible|가능한 일|possible thing|가능하면|if possible
회의4|meeting|회의실|meeting room|회의를 하다|to have a meeting
소풍을|picnic|소풍을 가다|to go on a picnic|소풍 준비|picnic preparation
움직이다|to move|몸을 움직이다|to move one's body|천천히 움직이다|to move slowly
이야기하다|to talk|친구와 이야기하다|to talk with a friend|재미있게 이야기하다|to talk interestingly
네2|yes|네, 맞아요|yes, that's right|네, 알겠습니다|yes, I understand
죄송하다|to be sorry|정말 죄송해요|I'm really sorry|죄송합니다만|I'm sorry, but
나무1|tree|큰 나무|big tree|나무를 심다|to plant a tree
운동화|sneakers|흰 운동화|white sneakers|운동화를 신다|to wear sneakers
원하다2|to want|원하는 것|what one wants|원한다면|if you want
자다1|to sleep|잠을 자다|to sleep|일찍 자다|to sleep early
사거리|intersection|사거리에서|at the intersection|사거리를 건너다|to cross the intersection
소식4|news|좋은 소식|good news|소식을 듣다|to hear news
이때|at this time|이때까지|until now|이때부터|from this time
여행사|travel agency|여행사 직원|travel agency staff|여행사에 문의하다|to inquire at a travel agency
만큼|as much as|그만큼|that much|할 수 있는 만큼|as much as possible
물건|thing|비싼 물건|expensive thing|물건을 사다|to buy things
케이크|cake|생일 케이크|birthday cake|케이크를 만들다|to make a cake
애1|child|애가 타다|to be anxious|애를 쓰다|to make an effort
발1|foot|발이 아프다|foot hurts|발을 씻다|to wash feet
여섯|six|여섯 시|six o'clock|여섯 개|six pieces
지2|since|만난 지 오래되다|it's been long since we met|온 지 얼마나|how long since coming
둘1|two|둘이서|the two of us|둘 다|both
댁1|house|선생님 댁|teacher's house|댁에 가다|to go to someone's house
사진7|photo|사진을 찍다|to take a photo|가족 사진|family photo
설명하다|to explain|자세히 설명하다|to explain in detail|설명해 주다|to explain for someone
운전하다|to drive|차를 운전하다|to drive a car|조심히 운전하다|to drive carefully
새끼2|baby animal|강아지 새끼|puppy|새끼를 낳다|to give birth to babies
살4|years old|한 살|one year old|몇 살|how old
걸리다1|to be hung|벽에 걸리다|to be hung on the wall|목에 걸리다|to be worn around the neck
맞추다1|to match|시간을 맞추다|to match the time|크기를 맞추다|to match the size
아프다|to be sick|머리가 아프다|to have a headache|배가 아프다|to have a stomachache
달다3|to attach|단추를 달다|to attach a button|방울을 달다|to attach a bell
다양하다1|to be diverse|다양한 종류|various types|다양하게 준비하다|to prepare diversely
적다2|to be little|경험이 적다|to have little experience|돈이 적다|to have little money
왼쪽|left side|왼쪽으로 가다|to go to the left|왼쪽 편|left side
나타나다|to appear|갑자기 나타나다|to appear suddenly|모습을 나타나다|to show one's appearance
비1|rain|비가 내리다|rain falls|비를 맞다|to get rained on
부모님|parents|부모님께 인사하다|to greet parents|부모님이 걱정하다|parents worry
얻다1|to get|기회를 얻다|to get an opportunity|정보를 얻다|to obtain information
고향2|hometown|고향에 가다|to go to hometown|고향이 그립다|to miss hometown
베트남말|Vietnamese|베트남말을 배우다|to learn Vietnamese|베트남말로 말하다|to speak in Vietnamese
빠르다|to be fast|빠른 속도|fast speed|빠르게 달리다|to run fast
놀라다|to be surprised|깜짝 놀라다|to be startled|놀란 표정|surprised expression
이따가|later|이따가 만나자|let's meet later|이따가 전화할게|I'll call later
준비|preparation|준비를 하다|to prepare|준비가 되다|to be ready
울다1|to cry|아이가 울다|child cries|슬퍼서 울다|to cry from sadness
사11|four|사과 네 개|four apples|사월|April
표정3|expression|기쁜 표정|happy expression|표정이 어둡다|expression is dark
지내다1|to spend time|잘 지내다|to get along well|방학을 지내다|to spend vacation
방학하다|to be on vacation|여름 방학하다|to have summer vacation|방학하는 동안|during vacation
느낌|feeling|좋은 느낌|good feeling|이상한 느낌|strange feeling
결혼|marriage|결혼을 하다|to get married|결혼 준비|wedding preparation
내려가다|to go down|계단을 내려가다|to go down stairs|아래로 내려가다|to go downstairs
선배|senior|학교 선배|school senior|선배님|senior (respectful)
동생1|younger sibling|남동생|younger brother|여동생|younger sister
그제|the day before yesterday|그제 만났어요|met the day before yesterday|그제 일|what happened the day before yesterday
가능성|possibility|성공 가능성|possibility of success|가능성이 높다|high possibility
예6|yes|예, 맞습니다|yes, that's right|예, 알겠습니다|yes, I understand
강1|river|한강|Han River|강을 건너다|to cross a river
질문|question|질문을 하다|to ask a question|질문이 있어요|I have a question
오후2|afternoon|오후 시간|afternoon time|오후에 만나다|to meet in the afternoon
서양|the West|서양 문화|Western culture|서양 음식|Western food
모양2|appearance|이상한 모양|strange appearance|예쁜 모양|pretty appearance
아기1|baby|아기가 울다|baby cries|아기를 돌보다|to take care of a baby
선수5|athlete|축구 선수|soccer player|유명한 선수|famous athlete
아저씨|uncle|아저씨 안녕하세요|hello uncle|택시 아저씨|taxi driver
셋(세)|three|셋이서 가다|three people go|셋째 아이|third child
훨씬|much more|훨씬 좋다|much better|훨씬 빠르다|much faster
옛날|old days|옛날 이야기|old story|옛날부터|from old times
노래하다|to sing|노래를 하다|to sing a song|함께 노래하다|to sing together
전혀1|not at all|전혀 모르다|don't know at all|전혀 없다|not at all
달5|month|한 달|one month|몇 달|several months
마리1|counter for animals|한 마리|one animal|두 마리|two animals
효과음|sound effect|효과음을 넣다|to add sound effects|영화 효과음|movie sound effects
참1|really|참 좋다|really good|참 예쁘다|really pretty
들1|field|넓은 들|wide field|들에서 놀다|to play in the field
국민|citizen|한국 국민|Korean citizen|국민 모두|all citizens
이곳|this place|이곳은 어디|where is this place|이곳에 오다|to come to this place
어서1|quickly|어서 오세요|please come in|어서 가자|let's go quickly
걱정|worry|걱정하지 마|don't worry|걱정이 많다|have many worries
딸1|daughter|큰딸|eldest daughter|딸을 사랑하다|to love one's daughter
안되다1|to not work|공부가 안되다|studying doesn't work|일이 안되다|work doesn't go well
경찰4|police|경찰서|police station|경찰관|police officer
저쪽|over there|저쪽으로 가다|to go over there|저쪽에 있다|to be over there
친구를|friend (object)|친구를 만나다|to meet a friend|친구를 부르다|to call a friend
사진을|photo (object)|사진을 찍다|to take a photo|사진을 보다|to look at a photo
의미2|meaning|깊은 의미|deep meaning|의미가 있다|to have meaning
저녁|evening|저녁 시간|evening time|저녁을 먹다|to eat dinner
축구4|soccer|축구 경기|soccer game|축구를 하다|to play soccer
말다1|to roll up|소매를 말다|to roll up sleeves|이불을 말다|to roll up a blanket
그러면|then|그러면 가자|then let's go|그러면 어떻게|then how
글쎄요|well|글쎄요, 모르겠어요|well, I don't know|글쎄요, 그럴까요|well, maybe
바라보다|to look at|하늘을 바라보다|to look at the sky|멀리 바라보다|to look far away
넓다|to be wide|넓은 길|wide road|마음이 넓다|to be broad-minded
바나나|banana|바나나 우유|banana milk|바나나를 먹다|to eat a banana
아유1|oh my|아유, 깜짝이야|oh my, what a surprise|아유, 피곤해|oh my, I'm tired
시험3|test|시험을 보다|to take a test|시험 공부|test study
일기예보|weather forecast|일기예보를 보다|to watch weather forecast|내일 일기예보|tomorrow's weather forecast
관심1|interest|관심이 많다|to have much interest|관심을 갖다|to take interest
잠1|sleep|잠을 자다|to sleep|잠이 오다|to feel sleepy
비빔밥|bibimbap|비빔밥 한 그릇|a bowl of bibimbap|비빔밥을 먹다|to eat bibimbap
멈추다|to stop|차가 멈추다|the car stops|걸음을 멈추다|to stop walking
건강3|health|건강이 좋다|to be healthy|건강을 지키다|to maintain health
오른쪽|right side|오른쪽으로 가다|to go to the right|오른쪽 길|right road
대부분|most|대부분의 사람|most people|대부분 맞다|mostly correct
가깝다|to be close|집이 가깝다|the house is close|가까운 친구|close friend
화요일|Tuesday|화요일 오후|Tuesday afternoon|화요일에 만나다|to meet on Tuesday
멋지다|to be cool|멋진 사람|cool person|정말 멋지다|really cool
건물3|building|높은 건물|tall building|새 건물|new building
풍선을|balloon (object)|풍선을 불다|to blow up a balloon|풍선을 터뜨리다|to pop a balloon
현장3|site|공사 현장|construction site|사고 현장|accident scene
외국2|foreign country|외국 여행|foreign travel|외국에서 살다|to live abroad
넷(네)|four|넷째 아이|fourth child|넷이서 가다|to go as four people
약1|medicine|약이 오르다|medicine price rises|약을 먹다|to take medicine
밑1|bottom|책상 밑|under the desk|산 밑|foot of the mountain
표2|ticket|영화 표|movie ticket|표를 사다|to buy a ticket
저거1|that thing|저거 뭐야|what is that|저거 주세요|please give me that
어른1|adult|어른이 되다|to become an adult|어른을 공경하다|to respect adults
딸기|strawberry|딸기 케이크|strawberry cake|딸기를 따다|to pick strawberries
주변4|surroundings|학교 주변|around the school|주변 환경|surrounding environment
팔다|to sell|물건을 팔다|to sell goods|집을 팔다|to sell a house
알겠습니다|I understand|네, 알겠습니다|yes, I understand|잘 알겠습니다|I understand well
들리다3|to be heard|소리가 들리다|sound is heard|잘 들리다|to be heard well
일하다|to work|회사에서 일하다|to work at a company|열심히 일하다|to work hard
스키장|ski resort|스키장에 가다|to go to ski resort|스키장이 붐비다|ski resort is crowded
붙다|to stick|벽에 붙다|to stick to wall|불이 붙다|to catch fire
팀1|team|우리 팀|our team|팀을 만들다|to form a team
자장면|black bean noodles|자장면 한 그릇|one bowl of black bean noodles|자장면을 시키다|to order black bean noodles
다리1|leg|다리가 아프다|leg hurts|긴 다리|long legs
부모1|parents|부모님께 인사|greetings to parents|부모를 모시다|to serve one's parents
걸다2|to hang|옷을 걸다|to hang clothes|벽에 걸다|to hang on wall
행복하다|to be happy|행복한 가정|happy family|행복하게 살다|to live happily
그날|that day|그날 밤|that night|그날 일|what happened that day
공책1|notebook|공책에 쓰다|to write in notebook|새 공책|new notebook
작품1|work of art|훌륭한 작품|excellent work|작품을 만들다|to create a work
담배|cigarette|담배를 피우다|to smoke cigarettes|담배를 끊다|to quit smoking
맵다|to be spicy|매운 음식|spicy food|너무 맵다|too spicy
뿐1|only|그것뿐|only that|한 개뿐|only one
태어나다|to be born|서울에서 태어나다|to be born in Seoul|아기가 태어나다|a baby is born
자전거|bicycle|자전거를 타다|to ride a bicycle|자전거 도로|bicycle path
똑같다|to be the same|똑같은 색깔|the same color|똑같이 하다|to do the same way
벌써|already|벌써 끝났다|already finished|벌써 늦었다|already late
구1|nine|구시|nine o'clock|구개월|nine months
이상하다|to be strange|이상한 사람|strange person|이상하게 생각하다|to think strangely
환자3|patient|환자를 치료하다|to treat a patient|환자 대기실|patient waiting room
음력2|lunar calendar|음력 설날|lunar New Year|음력으로 계산하다|to calculate by lunar calendar
막다1|to block|길을 막다|to block the road|문을 막다|to block the door
대화6|conversation|대화를 나누다|to have a conversation|대화 수업|conversation class
해수욕장에|at the beach|해수욕장에 가다|to go to the beach|해수욕장에서 수영하다|to swim at the beach
올리다1|to raise|손을 올리다|to raise one's hand|가격을 올리다|to raise the price
멀다2|to be far|집이 멀다|home is far|갈 길이 멀다|the road ahead is long
어린이날|Children's Day|어린이날 선물|Children's Day gift|어린이날 행사|Children's Day event
이용하다1|to use|지하철을 이용하다|to use the subway|시설을 이용하다|to use facilities
버스2|bus|버스를 타다|to take the bus|버스 정류장|bus stop
그렇지만|however|그렇지만 괜찮다|however, it's okay|그렇지만 어렵다|however, it's difficult
입장4|position|입장을 밝히다|to clarify one's position|다른 입장|different position
제일4|first|제일 좋다|the best|제일 중요하다|most important
잡수시다|to eat|식사를 잡수시다|to have a meal|많이 잡수세요|please eat a lot
장22|sheet|종이 한 장|one sheet of paper|사진 두 장|two photos
해1|sun|해가 뜨다|the sun rises|해가 지다|the sun sets
출발하다|to depart|기차가 출발하다|the train departs|여행을 출발하다|to depart on a trip
도와주다|to help|친구를 도와주다|to help a friend|숙제를 도와주다|to help with homework
잃다|to lose|열쇠를 잃다|to lose keys|기회를 잃다|to lose an opportunity
비행기|airplane|비행기를 타다|to board a plane|비행기 표|airplane ticket
전하다|to convey|안부를 전하다|to convey regards|소식을 전하다|to deliver news
달러|dollar|백 달러|one hundred dollars|달러로 계산하다|to calculate in dollars
주3|main|주 고객|main customer|주 업무|main work
그러다|to do so|그러다 보니|as I did so|그러다가 실패했다|then failed
그러니까|so|그러니까 조심해|so be careful|그러니까 말인데|so what I mean is
오십|fifty|오십 원|fifty won|오십 살|fifty years old
드리다1|to give|도와 드리다|to help (humble)|말씀드리다|to tell (humble)
값|price|값이 비싸다|the price is expensive|값을 묻다|to ask the price
젓가락|chopsticks|젓가락을 사용하다|to use chopsticks|젓가락질을 하다|to eat with chopsticks
냄새|smell|좋은 냄새|good smell|냄새가 나다|to smell
언제나|always|언제나 행복해|always happy|언제나 그렇다|it's always like that
삼6|three|삼 개|three pieces|삼 시|three o'clock
땅1|land|넓은 땅|wide land|땅을 사다|to buy land
자동차|car|자동차를 운전하다|to drive a car|자동차 회사|car company
호주|Australia|호주 여행|trip to Australia|호주 사람|Australian person
기회3|opportunity|좋은 기회|good opportunity|기회를 놓치다|to miss an opportunity
개월|months|세 개월|three months|개월 수|number of months
싣다1|to load|짐을 싣다|to load luggage|트럭에 싣다|to load on a truck
인생1|life|인생이 힘들다|life is hard|인생 경험|life experience
눈물1|tears|눈물을 흘리다|to shed tears|눈물이 나다|tears come out
지하|underground|지하 주차장|underground parking|지하철|subway
오히려|rather|오히려 좋다|rather good|오히려 쉽다|rather easy
아니1|no|아니에요|no/it's not|아니야|no (informal)
놀이공원|amusement park|놀이공원에 가다|to go to an amusement park|놀이공원 입장권|amusement park ticket
수사|investigation|수사를 시작하다|to start an investigation|수사 기관|investigative agency
주인1|owner|집 주인|house owner|가게 주인|shop owner
창문|window|창문을 열다|to open a window|창문 너머로|through the window
기사2|technician|기사 자격증|technician license|전기 기사|electrical technician
귀1|ear|귀가 아프다|ear hurts|귀를 기울이다|to listen carefully
전주|Jeonju|전주 한옥마을|Jeonju Hanok Village|전주 비빔밥|Jeonju bibimbap
정보6|information|정보를 수집하다|to collect information|개인 정보|personal information
어떠하다|to be how|어떠세요|how is it|어떠한 상황|what kind of situation
그릇1|bowl|밥그릇|rice bowl|그릇을 씻다|to wash dishes
묻다1|to get dirty|옷에 흙이 묻다|dirt gets on clothes|손에 묻다|to get on hands
배1|stomach|배가 고프다|to be hungry|배가 아프다|to have a stomachache
짧다|to be short|머리가 짧다|hair is short|짧은 치마|short skirt
알아보다|to find out|정보를 알아보다|to find out information|알아봐 주세요|please find out
아파트|apartment|아파트에 살다|to live in an apartment|아파트 단지|apartment complex
형제1|brothers|형제간의 우정|brotherhood friendship|형제가 많다|to have many brothers
대박|jackpot|대박이다|it's amazing|대박 났다|hit the jackpot
가끔|sometimes|가끔 만나다|to meet sometimes|가끔씩|from time to time
와2|wow|와 정말|wow really|와 대단해|wow amazing
듯1|as if|꿈만 듯하다|as if it's a dream|그런 듯하다|it seems like that
술6|spoon|밥 한 술|one spoonful of rice|술로 떠먹다|to eat with a spoon
농구장|basketball court|농구장에서 운동하다|to exercise at basketball court|학교 농구장|school basketball court
뽑다|to pull out|이를 뽑다|to pull out a tooth|번호를 뽑다|to draw a number
그곳|that place|그곳에 가다|to go to that place|그곳은 어디|where is that place
이메일|email|이메일을 보내다|to send an email|이메일 주소|email address
카메라|camera|카메라로 찍다|to take with a camera|디지털 카메라|digital camera
보다2|more|한층 더 보다|even more so|보다 좋다|to be better
시디1|CD|시디를 듣다|to listen to a CD|시디 플레이어|CD player
셋|three|셋이서 가다|to go as three people|하나 둘 셋|one two three
바쁘다|to be busy|일이 바쁘다|to be busy with work|바쁜 하루|busy day
육2|six|육 개월|six months|육 시|six o'clock
대상|target|연구 대상|research subject|대상을 선정하다|to select a target
내려오다|to come down|계단을 내려오다|to come down the stairs|산에서 내려오다|to come down from the mountain
세수하다|to wash one's face|아침에 세수하다|to wash face in the morning|찬물로 세수하다|to wash face with cold water
초3|early|초봄|early spring|초여름|early summer
손님|guest|손님을 맞다|to greet a guest|귀한 손님|honored guest
배우1|actor|유명한 배우|famous actor|배우가 되다|to become an actor
자꾸1|repeatedly|자꾸 말하다|to keep saying|자꾸 생각나다|to keep thinking of
뉴스|news|뉴스를 보다|to watch the news|아침 뉴스|morning news
달력|calendar|달력을 보다|to look at the calendar|벽걸이 달력|wall calendar
시장3|mayor|시장 선거|mayoral election|시장을 만나다|to meet the mayor
수업4|class|수업을 듣다|to take a class|수업 시간|class time
