Index|순위|단어|품사|풀이|등급
1589|1528|하얗다|형||B
1590|1529|희망|명|希望|B
1591|1531|군대03|명|軍隊|B
1592|1532|그만큼|부||B
1593|1533|무어01|대||B
1594|1536|상대방02|명|相對方|B
1595|1539|시골|명||B
1596|1540|실수01|명|失手|B
1597|1541|잘못되다|동||B
1598|1542|치료|명|治療|B
1599|1543|폭06|명|幅|B
1600|1545|내밀다|동||B
1601|1546|맞다03|동|매를 ~|B
1602|1548|시리즈|명|series|B
1603|1549|임신02|명|妊娠|B
1604|1550|잡히다02|동|'잡다'의 피동사|B
1605|1553|그램|의|gram|B
1606|1554|밭01|명||B
1607|1555|분석하다02|동|分析-|B
1608|1556|식구01|명|食口|B
1609|1559|울리다01|동|종이 ~|B
1610|1561|확실하다|형|確實-|B
1611|1564|글자|명|-字|B
1612|1566|연구하다02|동|硏究-|B
1613|1567|착하다|형||B
1614|1574|부동산|명|不動産|B
1615|1577|점10|의|點|B
1616|1578|직업|명|職業|B
1617|1583|조상07|명|祖上|B
1618|1585|검다02|형|색깔이 ~|B
1619|1586|곁01|명||B
1620|1588|너희|대||B
1621|1590|따다01|동|떼다|B
1622|1591|문제점|명|問題點|B
1623|1593|불가능하다|형|不可能-|B
1624|1594|인제01|부||B
1625|1595|충격02|명|衝擊|B
1626|1597|금방01|부|今方|B
1627|1599|누르다01|동|힘을 가하다|B
1628|1600|미술|명|美術|B
1629|1608|꽤01|부||B
1630|1610|서로01|명||B
1631|1612|한참|명||B
1632|1614|끊다|동||B
1633|1615|넘어가다01|동||B
1634|1616|담기다01|동|담다|B
1635|1620|서두르다|동||B
1636|1624|충분하다01|형|充分-|B
1637|1625|기쁘다|형||B
1638|1633|기쁨|명||B
1639|1634|깊이02|부||B
1640|1635|꾸미다|동||B
1641|1636|늘리다|동||B
1642|1637|무릎|명||B
1643|1638|발견되다|동|發見-|B
1644|1642|이용01|명|利用|B
1645|1644|지르다03|동|소리를 ~|B
1646|1647|걸음|명||B
1647|1648|겨우|부||B
1648|1649|마르다01|동||B
1649|1650|비교적|부|比較的|B
1650|1657|높아지다|동||B
1651|1658|늙다|동||B
1652|1664|상상07|명|想像|B
1653|1673|뜨다05|동|눈을 ~|B
1654|1676|스타|명|star|B
1655|1679|입술|명||B
1656|1681|중간01|명|中間|B
1657|1687|몹시|부||B
1658|1693|특별하다|형|特別-|B
1659|1695|가까이|부||B
1660|1696|낫다02|형|더 좋다|B
1661|1697|넘어서다|동||B
1662|1698|볶다|동||B
1663|1700|언젠가|부||B
1664|1701|예술가|명|藝術家|B
1665|1706|가만히|부||B
1666|1712|한두|관||B
1667|1715|흙01|명||B
1668|1716|가난하다|형||B
1669|1717|고객04|명|顧客|B
1670|1718|과학자|명|科學者|B
1671|1719|관광02|명|觀光|B
1672|1722|수술05|명|手術|B
1673|1723|식품01|명|食品|B
1674|1724|연기10|명|演技|B
1675|1730|회원|명|會員|B
1676|1733|들려오다|동||B
1677|1735|조금씩|부||B
1678|1737|풀리다|동||B
1679|1739|들여다보다|동||B
1680|1740|마늘|명||B
1681|1742|습관|명|習慣|B
1682|1746|활용하다|동|活用-|B
1683|1747|가꾸다|동||B
1684|1748|고민|명|苦悶|B
1685|1749|떠올리다|동||B
1686|1750|맨01|관||B
1687|1752|상처02|명|傷處|B
1688|1754|좁다01|형||B
1689|1756|집다01|동||B
1690|1759|군04|의|君|B
1691|1760|대표적|명|代表的|B
1692|1761|만일01|명|萬一|B
1693|1762|사회적|명|社會的|B
1694|1763|생겨나다|동||B
1695|1765|주부03|명|主婦|B
1696|1767|태양02|명|太陽|B
1697|1768|틀림없다|형||B
1698|1769|프로03|명|professional|B
1699|1770|피다01|동|꽃이 ~|B
1700|1773|도로07|명|道路|B
1701|1775|잘못|부||B
1702|1776|지다05|동|등에 ~|B
1703|1777|채우다03|동|자리를 ~|B
1704|1780|부족05|명|部族|B
1705|1790|달리다01|동|문에 종이 ~|B
1706|1791|더하다|동||B
1707|1794|보통|부|普通|B
1708|1800|참01|감|이것 ~|B
1709|1801|총장01|명|總長|B
1710|1804|단순히|부|單純-|B
1711|1805|달려가다|동||B
1712|1806|방문03|명|訪問|B
1713|1807|불만|명|不滿|B
1714|1808|불편하다01|형|不便-|B
1715|1809|실제02|명|實際|B
1716|1810|종09|명|種|B
1717|1811|피02|명|~를 흘리다|B
1718|1814|관객|명|觀客|B
1719|1817|막01|부|바로 지금|B
1720|1818|밀리미터|의|millimeter|B
1721|1820|숫자|명|數字|B
1722|1821|열07|명|熱|B
1723|1827|계산01|명|計算|B
1724|1829|놀랍다|형||B
1725|1832|예전01|명||B
1726|1833|저05|감||B
1727|1834|전기15|명|電氣|B
1728|1837|틀리다01|동|답이 ~|B
1729|1840|모델|명|model|B
1730|1841|붓다02|동|물을 ~|B
1731|1848|고모01|명|姑母|B
1732|1849|궁금하다01|형||B
1733|1851|딱03|부|바라진 모양|B
1734|1860|약하다01|형|弱-|B
1735|1861|잘못하다|동||B
1736|1865|공무원|명|公務員|B
1737|1866|그만두다|동||B
1738|1869|부족01|명|不足|B
1739|1877|달다03|동|단추를 ~|B
1740|1891|행복하다|형|幸福-|B
1741|1892|굽다01|동|익히다|B
1742|1893|기름01|명||B
1743|1895|쏟아지다|동||B
1744|1905|기억하다02|동|記憶-|B
1745|1912|토론01|명|討論|B
1746|1915|고급02|명|高級|B
1747|1916|고생|명|苦生|B
1748|1918|미치다01|동|정신에 이상이 생기다|B
1749|1919|밟다|동||B
1750|1921|섞다|동||B
1751|1925|없애다|동||B
1752|1928|이뤄지다|동||B
1753|1931|정상11|명|頂上|B
1754|1936|화장품|명|化粧品|B
1755|1937|굵다|형||B
1756|1939|깨끗이|부||B
1757|1940|낡다01|형||B
1758|1943|눈앞|명||B
1759|1945|방문하다|동|訪問-|B
1760|1946|붉다01|형||B
1761|1948|순서|명|順序|B
1762|1949|아무래도|부||B
1763|1950|연구소|명|硏究所|B
1764|1953|이사14|명|移徙|B
1765|1961|들르다|동||B
1766|1964|섬03|명||B
1767|1965|이하02|명|以下|B
1768|1966|참석하다|동|參席-|B
1769|1968|해결02|명|解決|B
1770|1969|행복02|명|幸福|B
1771|1971|근로자|명|勤勞者|B
1772|1972|글쎄01|감||B
1773|1975|변화하다|동|變化-|B
1774|1986|결정되다01|동|決定-|B
1775|1992|불안01|명|不安|B
1776|1994|여유|명|餘裕|B
1777|1997|킬로미터|의|kilometer|B
1778|1998|파도|명|波濤|B
1779|2001|단09|관|單|B
1780|2004|방송국|명|放送局|B
1781|2006|숨다01|동||B
1782|2009|예금01|명|預金|B
1783|2012|입학|명|入學|B
1784|2024|물다02|동|담배를 ~|B
1785|2028|어느새|부||B
1786|2034|초07|의|秒|B
1787|2035|치즈|명|cheese|B
1788|2039|반대하다01|동|反對-|B
1789|2043|아이고|감||B
1790|2047|조용히|부||B
1791|2053|가스|명|gas|B
1792|2055|구멍|명||B
1793|2059|만화10|명|漫畵|B
1794|2060|먹이다|동||B
1795|2061|무시하다|동|無視-|B
1796|2063|살짝01|부||B
1797|2064|생각나다|동||B
1798|2067|차갑다|형||B
1799|2070|관찰하다|동|觀察-|B
1800|2071|괜히|부||B
1801|2072|끼다03|동|끼우다|B
1802|2073|날개01|명||B
1803|2074|녀석|의||B
1804|2075|눈빛01|명|~이 매섭다|B
1805|2076|단지08|명|團地|B
1806|2079|물속|명||B
1807|2082|성공하다|동|成功-|B
1808|2083|소나무|명||B
1809|2084|여기저기|명||B
1810|2094|머무르다|동||B
1811|2100|싸다01|동|보자기에 ~|B
1812|2107|형제01|명|兄弟|B
1813|2108|화려하다|형|華麗-|B
1814|2111|딴03|관|~ 일|B
1815|2112|몇몇|관||B
1816|2114|세계적|명|世界的|B
1817|2115|안전03|명|安全|B
1818|2116|양파|명|洋-|B
1819|2117|이상12|명|異常|B
1820|2120|촬영|명|撮影|B
1821|2122|틀다|동||B
1822|2124|가지01|명|~를 치다|B
1823|2125|감다01|동|눈을 ~|B
1824|2126|고추01|명||B
1825|2127|규칙02|명|規則|B
1826|2135|아마도|부||B
1827|2136|안방02|명|-房|B
1828|2137|앓다|동||B
1829|2140|오직01|부||B
1830|2143|자신02|명|自信|B
1831|2144|잠시|명|暫時|B
1832|2148|포함되다01|동|包含-|B
1833|2150|호랑이|명|虎狼-|B
1834|2154|덜01|부||B
1835|2155|둥글다01|형||B
1836|2158|본래|명|本來|B
1837|2160|세금01|명|稅金|B
1838|2165|입구02|명|入口|B
1839|2166|잔뜩|부||B
1840|2167|적극|명|積極|B
1841|2168|최소한|명|最小限|B
1842|2169|펼쳐지다|동||B
1843|2170|경험하다|동|經驗-|B
1844|2172|넘치다|동||B
1845|2173|놓치다|동||B
1846|2176|돌아보다|동||B
1847|2177|또다시|부||B
1848|2178|머릿속|명||B
1849|2180|불안하다|형|不安-|B
1850|2182|위반03|명|違反|B
1851|2185|평생|명|平生|B
1852|2190|굉장히|부|宏壯-|B
1853|2193|덮다|동||B
1854|2196|몰다01|동||B
1855|2197|배우01|명|俳優|B
1856|2200|알01|명||B
1857|2201|앞서다|동||B
1858|2203|오래전|명|-前|B
1859|2204|자격04|명|資格|B
1860|2206|계단04|명|階段|B
1861|2208|끄덕이다|동||B
1862|2209|낯설다|형||B
1863|2210|높이01|명||B
1864|2211|닮다|동||B
1865|2212|마음속|명||B
1866|2216|뼈|명||B
1867|2219|연결되다|동|連結-|B
1868|2220|장사01|명||B
1869|2222|제한01|명|制限|B
1870|2223|차다02|동|공을 ~|B
1871|2225|취하다03|동|醉-|B
1872|2226|콩01|명||B
1873|2227|한숨02|명|~을 쉬다|B
1874|2228|헤어지다|동||B
1875|2231|너머|명||B
1876|2232|동기07|명|動機|B
1877|2234|살01|명|~을 빼다|B
1878|2237|순수하다02|형|純粹-|B
1879|2238|스타일|명|style|B
1880|2243|집중02|명|集中|B
1881|2245|큰일01|명|중대한 일|B
1882|2246|거짓말|명||B
1883|2248|대단하다|형||B
1884|2249|대단히|부||B
1885|2250|마주01|부||B
1886|2253|온통|부||B
1887|2255|자세히|부|仔細-|B
1888|2257|정확히01|부|正確-|B
1889|2258|지치다01|동|일에 ~|B
1890|2259|청년|명|靑年|B
1891|2260|혀01|명||B
1892|2261|확대하다02|동|擴大-|B
1893|2262|후춧가루|명||B
1894|2265|마침02|부||B
1895|2266|신용01|명|信用|B
1896|2268|온몸|명||B
1897|2269|정20|명|情|B
1898|2270|정신적|명|精神的|B
1899|2271|증상01|명|症狀|B
1900|2272|출연하다02|동|出演-|B
1901|2274|한꺼번에|부||B
1902|2275|강제01|명|强制|B
1903|2276|건너다|동||B
1904|2277|깨다01|동|술이 ~|B
1905|2278|낚시|명||B
1906|2279|다가가다|동||B
1907|2280|뛰어들다|동||B
1908|2282|묻다01|동|옷에 흙이 ~|B
1909|2285|신부10|명|新婦|B
1910|2287|오징어|명||B
1911|2288|요금01|명|料金|B
1912|2289|용돈|명|用-|B
1913|2291|음료|명|飮料|B
1914|2293|전자06|명|電子|B
1915|2294|전해지다|동|傳-|B
1916|2300|편리하다|형|便利-|B
1917|2302|현금04|명|現金|B
1918|2304|활발하다|형|活潑-|B
1919|2305|가리다03|동|시비를 ~|B
1920|2309|껍질|명||B
1921|2311|명령01|명|命令|B
1922|2312|몰래01|부||B
1923|2313|무조건|부|無條件|B
1924|2314|반장08|명|班長|B
1925|2315|부근03|명|附近|B
1926|2316|선택|명|選擇|B
1927|2319|역사가|명|歷史家|B
1928|2320|연구자|명|硏究者|B
1929|2323|정리09|명|整理|B
1930|2324|조그맣다|형||B
1931|2325|줄기01|명||B
1932|2326|찾아내다|동||B
1933|2330|권하다|동|勸-|B
1934|2332|끝내|부||B
1935|2333|대문03|명|大門|B
1936|2340|시내03|명|市內|B
1937|2341|신02|명|~이 나다|B
1938|2343|실내|명|室內|B
1939|2344|쏟다|동||B
1940|2345|연결하다01|동|連結-|B
1941|2346|외교01|명|外交|B
1942|2348|주머니|명||B
1943|2350|계약|명|契約|B
1944|2351|과장07|명|課長|B
1945|2356|부끄럽다|형||B
1946|2357|성공01|명|成功|B
1947|2359|신청01|명|申請|B
1948|2361|아픔|명||B
1949|2362|알아듣다|동||B
1950|2363|약간|명|若干|B
1951|2364|연기09|명|煙氣|B
1952|2366|이동03|명|移動|B
1953|2379|기온|명|氣溫|B
1954|2380|날아가다|동||B
1955|2381|많아지다|동||B
1956|2382|바위01|명||B
1957|2383|버릇01|명||B
1958|2384|비판하다|동|批判-|B
1959|2385|빨갛다|형||B
1960|2386|세워지다|동||B
1961|2387|술집|명||B
1962|2388|쉬다04|동|숨을 ~|B
1963|2393|전체적|명|全體的|B
1964|2394|절반|명|折半|B
1965|2397|편안하다01|형|便安-|B
1966|2398|풍경01|명|風景|B
1967|2399|확실히|부|確實-|B
1968|2401|갈다02|동|문지르다|B
1969|2402|교류01|명|交流|B
1970|2403|글쓰기|명||B
1971|2405|내내01|부||B
1972|2406|대기업|명|大企業|B
1973|2408|도구10|명|道具|B
1974|2409|매력|명|魅力|B
1975|2411|보험|명|保險|B
1976|2412|부럽다|형||B
1977|2413|부장07|명|部長|B
1978|2414|섞이다|동||B
1979|2415|소03|명|동물|B
1980|2416|심리01|명|心理|B
1981|2418|쏘다01|동||B
1982|2420|위치하다|동|位置-|B
1983|2422|이틀01|명|시간|B
1984|2424|전달하다02|동|傳達-|B
1985|2425|정말로|부|正-|B
1986|2428|코너|명|corner|B
1987|2429|행동하다|동|行動-|B
1988|2432|감동02|명|感動|B
1989|2435|굳이|부||B
1990|2436|그늘|명||B
1991|2437|급하다|형|急-|B
1992|2438|달걀|명||B
1993|2439|대중문화|명|大衆文化|B
1994|2440|마련되다|동||B
1995|2441|마루03|명|~를 닦다|B
1996|2442|무게|명||B
1997|2444|성적04|명|成績|B
1998|2445|솔직히|부|率直-|B
1999|2446|시도하다03|동|試圖-|B
2000|2449|예절|명|禮節|B
2001|2451|인상06|명|印象|B
2002|2452|인터넷|명|internet|B
2003|2454|적용하다|동|適用-|B
2004|2455|전통적|명|傳統的|B
2005|2456|참가하다01|동|參加-|B
2006|2458|친척|명|親戚|B
2007|2463|그다지|부||B
2008|2464|긴장|명|緊張|B
2009|2468|따라가다|동||B
2010|2472|부처04|명|部處|B
2011|2473|숙이다|동||B
2012|2474|아가씨|명||B
2013|2475|온도|명|溫度|B
2014|2476|이마01|명||B
2015|2477|절대로|부|絶對-|B
2016|2478|지붕|명||B
2017|2480|진짜|명|眞-|B
2018|2482|짙다02|형||B
2019|2483|창밖|명|窓-|B
2020|2489|햇살|명||B
2021|2492|경제적|명|經濟的|B
2022|2496|담당하다|동|擔當-|B
2023|2499|벗기다02|동||B
2024|2501|불빛|명||B
2025|2503|시청자|명|視聽者|B
2026|2507|완벽하다|형|完璧-|B
2027|2510|절01|명|사찰|B
2028|2512|종업원|명|從業員|B
2029|2515|학기02|명|學期|B
2030|2516|한동안|명||B
2031|2522|만지다|동||B
2032|2523|목사05|명|牧師|B
2033|2524|바늘|명||B
2034|2526|부15|의|部|B
2035|2530|수입01|명|收入|B
2036|2532|양쪽|명|兩-|B
2037|2538|짐01|명||B
2038|2539|풀02|명|~을 베다|B
2039|2540|해마다|부||B
2040|2541|후배06|명|後輩|B
2041|2542|휴가01|명|休暇|B
2042|2545|국회의원|명|國會議員|B
2043|2551|뻗다|동||B
2044|2552|생활하다|동|生活-|B
2045|2553|솔직하다|형|率直-|B
2046|2554|안타깝다|형||B
2047|2557|이르다03|형|빠르다|B
2048|2559|젓다01|동||B
2049|2562|축제01|명|祝祭|B
2050|2563|터뜨리다|동||B
2051|2564|학습|명|學習|B
2052|2566|높이02|부||B
2053|2567|당연히01|부|當然-|B
2054|2570|떨리다01|동|흔들리다|B
2055|2571|마구01|부||B
2056|2572|만남|명||B
2057|2573|미디어|명|media|B
2058|2574|복도04|명|複道|B
2059|2575|수상09|명|首相|B
2060|2581|자랑스럽다|형||B
2061|2583|적당하다02|형|適當-|B
2062|2587|진행하다|동|進行-|B
2063|2589|곳곳|명||B
2064|2591|금지04|명|禁止|B
2065|2592|내지01|부|乃至|B
2066|2593|달려오다|동||B
2067|2594|둘러보다|동||B
2068|2596|비교01|명|比較|B
2069|2601|역사적|명|歷史的|B
2070|2602|열차02|명|列車|B
2071|2604|유난히|부||B
2072|2608|잠들다|동||B
2073|2609|정식01|명|正式|B
2074|2611|즉시|명|卽時|B
2075|2612|최선02|명|最善|B
2076|2613|탑02|명|塔|B
2077|2615|활동하다01|동|活動-|B
2078|2616|건축01|명|建築|B
2079|2617|귀엽다|형||B
2080|2618|답답하다|형||B
2081|2619|당황하다|동|唐慌-|B
2082|2621|떨어뜨리다|동||B
2083|2622|똑같이|부||B
2084|2624|말05|명|동물|B
2085|2625|밀가루|명||B
2086|2626|바깥|명||B
2087|2628|벌리다01|동|입을 ~|B
2088|2629|보고서|명|報告書|B
2089|2630|보관하다|동|保管-|B
2090|2631|부딪치다|동||B
2091|2632|빨래|명||B
2092|2633|상하다02|동|傷-|B
2093|2635|식용유|명|食用油|B
2094|2644|겁05|명|怯|B
2095|2654|산소03|명|酸素|B
2096|2655|석유01|명|石油|B
2097|2656|소리치다|동||B
2098|2658|신선하다03|형|新鮮-|B
2099|2664|장25|명|章|B
2100|2665|적13|명|敵|B
2101|2666|조심하다02|동|操心-|B
2102|2667|질08|명|質|B
2103|2668|찌르다|동||B
2104|2669|책임자|명|責任者|B
2105|2674|확대되다02|동|擴大-|B
2106|2675|거실02|명|居室|B
2107|2680|바보|명||B
2108|2681|별02|관|別|B
2109|2682|보람|명||B
2110|2683|부작용|명|副作用|B
2111|2687|신고01|명|申告|B
2112|2689|어떡하다|불|어떠하게 하다|B
2113|2690|예상02|명|豫想|B
2114|2694|이상09|명|理想|B
2115|2699|주먹|명||B
2116|2701|털다|동||B
2117|2704|과목02|명|科目|B
2118|2707|근무|명|勤務|B
2119|2710|달아나다|동||B
2120|2711|묶다|동||B
2121|2713|소스01|명|sauce|B
2122|2716|우리말|명||B
2123|2717|유교02|명|儒敎|B
2124|2718|이불01|명||B
2125|2719|이성08|명|理性|B
2126|2720|일상04|명|日常|B
2127|2721|자동01|명|自動|B
2128|2722|장래|명|將來|B
2129|2725|중요성|명|重要性|B
2130|2727|탤런트|명|talent|B
2131|2728|특별히|부|特別-|B
2132|2734|과학적|명|科學的|B
2133|2741|봉투02|명|封套|B
2134|2742|분명01|부|分明|B
2135|2751|지다02|동|해가 ~|B
2136|2752|추억|명|追憶|B
2137|2753|하여튼|부|何如-|B
2138|2754|함부로|부||B
2139|2755|향기01|명|香氣|B
2140|2756|현지03|명|現地|B
2141|2757|가늘다|형||B
2142|2758|개인적|명|個人的|B
2143|2759|겉01|명||B
2144|2761|근무하다|동|勤務-|B
2145|2762|깜짝02|부|놀라는 모양|B
2146|2763|넓히다|동||B
2147|2764|대11|의|對. 개인 ~ 개인|B
2148|2765|떠들다01|동|말하다|B
2149|2767|매년|부|每年|B
2150|2768|발생|명|發生|B
2151|2772|소주05|명|燒酒|B
2152|2773|손바닥|명||B
2153|2774|승용차|명|乘用車|B
2154|2775|어색하다02|형|語塞-|B
2155|2776|얹다|동||B
2156|2779|장점02|명|長點|B
2157|2780|적당히|부|適當-|B
2158|2781|줍다01|동||B
2159|2782|진출02|명|進出|B
2160|2784|킬로그램|의|kilogram|B
2161|2785|평범하다|형|平凡-|B
2162|2786|프로04|명|program|B
2163|2788|확인02|명|確認|B
2164|2789|가루01|명|분필 ~|B
2165|2790|건지다|동||B
2166|2792|깨지다|동|깨어지다|B
2167|2797|들01|명||B
2168|2802|방금01|부|方今|B
2169|2804|슬픔|명||B
2170|2805|아무렇다|형||B
2171|2806|이용되다|동|利用-|B
2172|2807|이튿날|명||B
2173|2808|임시02|명|臨時|B
2174|2810|줄다|동||B
2175|2811|지구03|명|地區|B
2176|2813|참기름|명||B
2177|2814|통10|명|桶|B
2178|2816|팬03|명|pan|B
2179|2817|합치다|동|合-|B
2180|2821|골목01|명||B
2181|2822|기운01|명||B
2182|2825|돌아서다|동||B
2183|2826|동화07|명|童話|B
2184|2827|두껍다|형||B
2185|2828|맞서다|동||B
2186|2829|모자라다|동||B
2187|2832|상상하다03|동|想像-|B
2188|2835|안전하다|형|安全-|B
2189|2838|유학04|명|留學|B
2190|2844|정치적|명|政治的|B
2191|2848|카페|명|&프cafe|B
2192|2849|콤플렉스|명|complex|B
2193|2852|그다음|명||B
2194|2854|끓다|동||B
2195|2855|날아오다|동||B
2196|2856|농담01|명|弄談|B
2197|2858|담임|명|擔任|B
2198|2859|도중04|명|途中|B
2199|2862|모래01|명||B
2200|2868|신호01|명|信號|B
2201|2870|아버님|명||B
2202|2872|의심하다|동|疑心-|B
2203|2875|자랑하다01|동||B
2204|2881|출발|명|出發|B
2205|2882|허용하다|동|許容-|B
2206|2885|각국|명|各國|B
2207|2888|그려지다|동||B
2208|2889|꾸준히|부||B
2209|2890|년도|의|年度|B
2210|2891|다수|명|多數|B
2211|2892|덕분|명|德分|B
2212|2894|두드리다|동||B
2213|2897|물음01|명||B
2214|2898|빌다01|동|소원을 ~|B
2215|2900|스님|명||B
2216|2901|썩다|동||B
2217|2902|어머님|명||B
2218|2903|엉뚱하다|형||B
2219|2904|여보01|감||B
2220|2907|조각05|명|彫刻|B
2221|2910|태우다01|동|쓰레기를 ~|B
2222|2911|해석04|명|解釋|B
2223|2913|가리다02|동|시야를 ~|B
2224|2916|계산하다|동|計算-|B
2225|2920|담그다|동||B
2226|2921|마음대로|부||B
2227|2923|며느리|명||B
2228|2924|믿음|명||B
2229|2925|발견01|명|發見|B
2230|2926|보고03|명|報告|B
2231|2927|부탁하다|동|付託-|B
2232|2928|사용자|명|使用者|B
2233|2933|실패하다01|동|失敗-|B
2234|2934|영원하다|형|永遠-|B
2235|2935|우연히|부|偶然-|B
2236|2939|정해지다|동|定-|B
2237|2942|직접|명|直接|B
2238|2947|칭찬|명|稱讚|B
2239|2948|튼튼하다|형||B
2240|2949|햇빛|명||B
2241|2952|긍정적|명|肯定的|B
2242|2953|논의하다|동|論議-|B
2243|2956|돌보다|동||B
2244|2957|뒤집다|동||B
2245|2958|먼지01|명||B
2246|2959|바닷가|명||B
2247|2961|반하다03|동|反-|B
2248|2965|사원04|명|社員|B
2249|2968|씹다01|동||B
2250|2969|아무튼|부||B
2251|2972|왠지|부||B
2252|2973|욕심|명|欲心|B
2253|2974|우승05|명|優勝|B
2254|2975|익다01|동|감이 ~|B
2255|2976|제출하다02|동|提出-|B
2256|2977|조심스럽다|형|操心-|B
2257|2984|피시03|명|PC|B
2258|2985|흘러나오다|동||B
2259|2987|간단히|부|簡單-|B
2260|2988|강물|명|江-|B
2261|2996|되게|부||B
2262|2998|리듬|명|rhythm|B
2263|3000|모니터|명|monitor|B
2264|3004|삶다|동||B
2265|3006|서류02|명|書類|B
2266|3011|요청|명|要請|B
2267|3012|운06|명|運|B
2268|3014|일상생활|명|日常生活|B
2269|3018|진하다01|형|津-|B
2270|3022|회복하다|동|回復-|B
2271|3023|흘러가다|동||B
2272|3024|흥미|명|興味|B
2273|3028|꾸다01|동|꿈을 ~|B
2274|3029|내려다보다|동||B
2275|3030|눈썹|명||B
2276|3036|디자인|명|design|B
2277|3039|비닐|명|vinyl|B
2278|3046|오래되다|동||B
2279|3053|채소|명|菜蔬|B
2280|3057|털|명||B
2281|3058|판매하다|동|販賣-|B
2282|3065|고생하다|동|苦生-|B
2283|3071|꿈꾸다|동||B
2284|3075|수표01|명|手票|B
2285|3079|얘03|불|이 아이|B
2286|3080|어머|감||B
2287|3083|일정03|명|日程|B
2288|3085|저렇다|형||B
2289|3093|테이프|명|tape|B
2290|3100|간장01|명|-醬|B
2291|3104|고민하다|동|苦悶-|B
2292|3107|교환01|명|交換|B
2293|3108|국어01|명|國語|B
2294|3109|노랗다|형||B
2295|3110|다치다01|동||B
2296|3111|동양03|명|東洋|B
2297|3122|악기05|명|樂器|B
2298|3124|연말02|명|年末|B
2299|3125|올려놓다|동||B
2300|3129|정말01|명|正-|B
2301|3134|치우다01|동||B
2302|3135|피로02|명|疲勞|B
2303|3140|당기다01|동||B
2304|3142|들다01|보|따지고 ~|B
2305|3143|따르다02|동|물을 ~|B
2306|3148|박수02|명|拍手|B
2307|3150|부자08|명|富者|B
2308|3151|사흘|명||B
2309|3154|손자01|명|孫子|B
2310|3156|신랑02|명|新郞|B
2311|3162|제법01|부||B
2312|3172|화가03|명|畵家|B
2313|3176|구경하다|동||B
2314|3177|국물|명||B
2315|3184|말씀드리다|동||B
2316|3186|멀어지다|동||B
2317|3188|불쌍하다|형||B
2318|3193|실력02|명|實力|B
2319|3194|야채|명|野菜|B
2320|3197|울음|명||B
2321|3202|전부05|명|全部|B
2322|3203|즐거움|명||B
2323|3204|지다03|동|전쟁에 ~|B
2324|3209|친하다|형|親-|B
2325|3215|곧바로|부||B
2326|3224|깊이01|명||B
2327|3225|나뭇가지|명||B
2328|3226|낫다01|동|병이 ~|B
2329|3228|답하다|동|答-|B
2330|3230|더위|명||B
2331|3240|서너|관||B
2332|3242|실패02|명|失敗|B
2333|3246|웃기다|동||B
2334|3247|유리10|명|琉璃|B
2335|3250|쥐02|명|동물|B
2336|3252|턱01|명|신체의 일부|B
2337|3253|팔리다|동||B
2338|3255|하하01|부||B
2339|3257|형부01|명|兄夫|B
2340|3262|금년|명|今年|B
2341|3264|까맣다|형||B
2342|3268|대학원|명|大學院|B
2343|3269|더럽다|형||B
2344|3273|등록01|명|登錄|B
2345|3277|무늬|명||B
2346|3278|문장02|명|文章|B
2347|3280|변호사|명|辯護士|B
2348|3298|지점03|명|地點|B
2349|3307|귀국하다|동|歸國-|B
2350|3308|기뻐하다|동||B
2351|3310|내려놓다|동||B
2352|3312|당근|명||B
2353|3318|불행하다|형|不幸-|B
2354|3322|외롭다|형||B
2355|3327|절02|명|~을 하다|B
2356|3331|지난번|명|-番|B
2357|3335|파일03|명|file|B
2358|3340|화분01|명|花盆|B
2359|3342|갈색|명|褐色|B
2360|3352|반찬|명|飯饌|B
2361|3360|소개되다|동|紹介-|B
2362|3361|씨01|명|~를 심다|B
2363|3362|안쪽|명||B
2364|3365|오가다|동||B
2365|3372|전날|명|前-|B
2366|3390|계산기|명|計算器|B
2367|3393|그렇지|감||B
2368|3394|깨다02|동|그릇을 ~|B
2369|3405|등04|의|等. 1~|B
2370|3415|세다03|형|기운이 ~|B
2371|3416|소개02|명|紹介|B
2372|3417|수화기|명|受話器|B
2373|3419|애인02|명|愛人|B
2374|3421|얇다|형||B
2375|3422|양념|명||B
2376|3428|웬일|명||B
2377|3433|일기12|명|日記|B
2378|3434|절대05|부|絶對|B
2379|3439|창고01|명|倉庫|B
2380|3447|파01|명|식물|B
2381|3451|학원02|명|學院|B
2382|3470|버터|명|butter|B
2383|3485|아이02|감||B
2384|3489|유치원|명|幼稚園|B
2385|3495|전공05|명|專攻|B
2386|3499|종일01|명|終日|B
2387|3500|좋아지다|동||B
2388|3504|추위01|명||B
2389|3505|토마토|명|tomato|B
2390|3506|파랗다|형||B
2391|3512|가져가다|동||B
2392|3513|감자01|명||B
2393|3515|갖다01|보|가지다|B
2394|3516|괴롭다|형||B
2395|3517|교통사고|명|交通事故|B
2396|3519|군데|의||B
2397|3526|메시지|명|message|B
2398|3532|뺨|명||B
2399|3540|영원히|부|永遠-|B
2400|3541|월급|명|月給|B
2401|3542|유행02|명|流行|B
2402|3545|이리04|부|~ 오너라|B
2403|3547|제발01|부||B
2404|3560|가까이|명||B
2405|3561|가득하다01|형||B
2406|3562|각자02|부|各自|B
2407|3579|물고기|명||B
2408|3582|부탁|명|付託|B
2409|3587|상자10|명|箱子|B
2410|3588|새해|명||B
2411|3593|얼음01|명||B
2412|3602|점수06|명|點數|B
