Index|Word|Definition|Frequency|Example|Translation|Word In Sentence Form
W210342|마흔|forty|7|나이가 마흔이에요.|I'm forty years old.|마흔
W210343|양념|seasoning|7|양념을 했어요.|I seasoned it.|양념
W210344|반바지|shorts|7|여름에 반바지를 입어요.|I wear shorts in summer.|반바지
W210345|전하다|to deliver or hand over|7|메시지를 전해 주세요.|Please deliver the message.|전해
W210346|오랫동안|it's been a while; long time no see|7|오랫동안 못 봤어요.|I haven't seen you for a long time.|오랫동안
W210347|차다|to wear (a watch)|7|시계를 차고 있어요.|I'm wearing a watch.|차고
W210348|잘생기다|to be good looking|7|남자친구가 잘생겼어요.|My boyfriend is good-looking.|잘생겼어요
W210349|배추|Chinese cabbage|7|배추로 김치를 담갔어요.|I made kimchi with Chinese cabbage.|배추
W210350|해안|seashore or coast|7|해안을 따라 걸었어요.|I walked along the seashore.|해안
W210351|취소하다|to cancel|7|약속을 취소했어요.|I cancelled the appointment.|취소했어요
W210352|세제|detergent|7|세제를 샀어요.|I bought detergent.|세제
W210353|접다|to fold|7|옷을 접었어요.|I folded the clothes.|접었어요
W210354|책장|bookshelf|7|책장에 책을 넣었어요.|I put books on the bookshelf.|책장
W210355|공무원|public service worker|7|공무원이 되고 싶어요.|I want to become a public servant.|공무원
W210356|클릭|click|7|버튼을 클릭하세요.|Please click the button.|클릭
W210357|미용실|hair salon|7|미용실에서 머리를 잘랐어요.|I got a haircut at the hair salon.|미용실
W210358|대회|conference or convention|7|대회에 참가했어요.|I participated in the competition.|대회
W210359|메시지|message in reply|7|메시지를 보냈어요.|I sent a message.|메시지
W210360|조금씩|gradually|7|조금씩 나아지고 있어요.|It's gradually getting better.|조금씩
W210361|목적|goal or purpose|7|목적이 뭐예요?|What's your purpose?|목적
W210362|어쩔 수 없다|there is nothing one can do about something|7|어쩔 수 없는 일이에요.|There's nothing we can do about it.|어쩔
W210363|주유소|gas station|7|주유소에서 기름을 넣었어요.|I filled up gas at the gas station.|주유소
W210364|전공|major|7|무엇을 전공하세요?|What's your major?|전공하세요
W210365|콘서트|concert|7|콘서트 표를 샀어요.|I bought concert tickets.|콘서트
W210366|펴다|to unfold or spread|7|신문을 폈어요.|I unfolded the newspaper.|폈어요
W210367|밀다|to push|7|문을 밀어 주세요.|Please push the door.|밀어
W210368|분홍색|pink|7|분홍색 꽃이 예뻐요.|The pink flowers are pretty.|분홍색
W210369|하얗다|to be white|7|눈이 하얘요.|The snow is white.|하얘요
W210370|삼|years old|7|아이가 세 살이에요.|The child is three years old.|세
W210371|발로 차다|to kick|7|공을 발로 찼어요.|I kicked the ball.|발로
W210372|시금치|spinach|7|시금치를 볶았어요.|I stir-fried spinach.|시금치
W210373|환영하다|to welcome|7|새 친구를 환영해요.|I welcome the new friend.|환영해요
W210374|후추|black pepper|7|후추를 조금 넣으세요.|Please add a little black pepper.|후추
W210375|월세|monthly rent|7|월세를 냈어요.|I paid the monthly rent.|월세
W210376|떡|rice cake|7|떡국을 끓였어요.|I made rice cake soup.|떡
W210377|계약|contract|7|계약서에 서명했어요.|I signed the contract.|계약서
W210378|불안하다|to be anxious|7|시험이 불안해요.|I'm anxious about the exam.|불안해요
W210379|굽다|to grill|7|고기를 구웠어요.|I grilled meat.|구웠어요
W210380|할인|discount|7|할인해 주세요.|Please give me a discount.|할인해
W210381|서른|thirty|7|나이가 서른이에요.|I'm thirty years old.|서른
W210382|수도|capital city|7|서울은 한국의 수도예요.|Seoul is the capital of Korea.|수도
W210383|옷장|closet|7|옷장을 정리했어요.|I organized the closet.|옷장
W210384|전공하다|to major in|7|경제학을 전공해요.|I major in economics.|전공해요
W210385|늘다|to increase or improve|7|실력이 늘었어요.|My skills improved.|늘었어요
W210386|줄다|to decrease or be reduced|7|체중이 줄었어요.|My weight decreased.|줄었어요
W210387|팬|fan|7|그 가수의 팬이에요.|I'm a fan of that singer.|팬
W210388|교수|professor|7|교수님께 질문했어요.|I asked the professor a question.|교수님께
W210389|청바지|blue jeans|7|새 청바지를 샀어요.|I bought new blue jeans.|청바지
W210390|장을 보다|to go grocery shopping|7|시장에서 장을 봤어요.|I went grocery shopping at the market.|장을
W210391|이마|forehead|7|이마가 넓어요.|I have a wide forehead.|이마
W210392|두부|tofu|7|두부찌개를 끓였어요.|I made tofu stew.|두부
W210393|풍경|scenery|7|산의 풍경이 아름다워요.|The mountain scenery is beautiful.|풍경
W210394|박수를 치다|to applaud|7|공연 후에 박수를 쳤어요.|I applauded after the performance.|박수를
W210395|회색|gray|7|회색 옷을 입었어요.|I wore gray clothes.|회색
W210396|당기다|to pull|7|문을 당겨 주세요.|Please pull the door.|당겨
W210397|부탁을 받다|be asked a favor or receive a request|7|친구에게 부탁을 받았어요.|I received a request from my friend.|부탁을
W210398|시골|countryside|7|시골에서 자랐어요.|I grew up in the countryside.|시골
W210399|참치|tuna|7|참치 김밥을 먹었어요.|I ate tuna kimbap.|참치
W210400|식료품|groceries|7|식료품을 샀어요.|I bought groceries.|식료품
W210401|무척|very or extremely|7|무척 추워요.|It's very cold.|무척
W210402|오랜만이다|long time no see|7|정말 오랜만이에요.|It's really been a long time.|오랜만이에요
W210403|쇼핑백|shopping bag|7|쇼핑백을 가져왔어요.|I brought a shopping bag.|쇼핑백
W210404|옥수수|corn|7|옥수수를 삶았어요.|I boiled corn.|옥수수
W210405|편지|letter|7|편지를 받았어요.|I received a letter.|편지
W210406|세탁기|washing machine|7|세탁기를 돌렸어요.|I ran the washing machine.|세탁기
W210407|체크 카드|debit card|7|체크 카드로 결제했어요.|I paid with a debit card.|체크
W210408|포도|grapes|7|포도가 달아요.|The grapes are sweet.|포도
W210409|성격이 밝다|to have a bright personality|7|친구가 성격이 밝아요.|My friend has a bright personality.|성격이
W210410|샐러드|salad|7|샐러드를 만들었어요.|I made a salad.|샐러드
W210411|중국|China|7|중국에 가 봤어요.|I've been to China.|중국
W210412|남쪽|the south|7|남쪽으로 여행했어요.|I traveled south.|남쪽
W210413|점점|eventually|7|점점 따뜻해지고 있어요.|It's gradually getting warmer.|점점
W210414|가구|furniture|7|새 가구를 샀어요.|I bought new furniture.|가구
W210415|익숙하다|to be used to|7|한국 생활에 익숙해졌어요.|I got used to life in Korea.|익숙해졌어요
W210416|숲|forest|7|숲에서 산책했어요.|I took a walk in the forest.|숲
W210417|소스|sauce|7|소스를 찍어서 드세요.|Please dip it in the sauce.|소스
W210418|부인|wife|7|부인께 안부 전해 주세요.|Please give my regards to your wife.|부인께
W210419|성격이 좋다|to have a good personality|7|선생님은 성격이 좋으세요.|The teacher has a good personality.|성격이
W210420|고추장|Gochujang (red pepper paste)|7|고추장을 넣었어요.|I added gochujang.|고추장
W210421|말다|to roll|7|김밥을 말았어요.|I rolled kimbap.|말았어요
W210422|섬|island|7|제주도는 아름다운 섬이에요.|Jeju Island is a beautiful island.|섬
W210423|외롭다|to be lonely|7|혼자 있으니까 외로워요.|I'm lonely because I'm alone.|외로워요
W210424|햄|ham|7|햄 샌드위치를 만들었어요.|I made a ham sandwich.|햄
W210425|고장 나다|to break|7|컴퓨터가 고장났어요.|The computer broke.|고장났어요
W210426|단순하다|to be simple|7|문제가 단순해요.|The problem is simple.|단순해요
W210427|와인|wine|7|와인을 마셨어요.|I drank wine.|와인
W210428|서점|book store|7|서점에서 책을 샀어요.|I bought a book at the bookstore.|서점
W210429|해변|seashore or beach|7|해변에서 놀았어요.|I played at the beach.|해변
W210430|주머니|pocket|7|주머니에 돈을 넣었어요.|I put money in my pocket.|주머니
W210431|입학하다|to enter a school|7|대학교에 입학했어요.|I entered university.|입학했어요
W210432|동아리|school club|7|동아리에 가입했어요.|I joined a club.|동아리
W210433|소파|sofa|7|소파에 앉아 있어요.|I'm sitting on the sofa.|소파
W210434|회원|member|7|회원이 되고 싶어요.|I want to become a member.|회원
W210435|이틀|two days|7|이틀 동안 쉬었어요.|I rested for two days.|이틀
W210436|쿠폰|coupon|7|쿠폰을 사용했어요.|I used a coupon.|쿠폰
W210437|명절|holiday|7|명절에 가족을 만났어요.|I met my family during the holiday.|명절
W210438|떠들다|to chatter|7|아이들이 떠들고 있어요.|The children are chattering.|떠들고
W210439|후배|one's junior|7|후배에게 조언했어요.|I gave advice to my junior.|후배에게
W210440|동쪽|the east|7|동쪽으로 가세요.|Please go east.|동쪽
W210441|신분증|identification card|7|신분증을 보여 주세요.|Please show your ID.|신분증
W210442|서류|document|7|서류를 준비했어요.|I prepared the documents.|서류
W210443|부끄럽다|to feel shameful or embarrassed|7|실수해서 부끄러워요.|I'm embarrassed because I made a mistake.|부끄러워요
W210444|서두르다|to hurry|7|늦어서 서둘렀어요.|I hurried because I was late.|서둘렀어요
W210445|멋있다|to be cool or gorgeous|7|스타일이 멋있어요.|Your style is cool.|멋있어요
W210446|콩|bean|7|콩을 삶았어요.|I boiled beans.|콩
W210447|외할아버지|grandfather of one's mother's side|7|외할아버지를 뵈었어요.|I met my maternal grandfather.|외할아버지를
W210448|외삼촌|uncle (brother of one's mother)|7|외삼촌이 놀러 오셨어요.|My uncle came to visit.|외삼촌
W210449|선풍기|electric fan|7|선풍기를 켰어요.|I turned on the electric fan.|선풍기
W210450|맛집|popular local restaurant|7|유명한 맛집에 갔어요.|I went to a famous restaurant.|맛집
W210451|부탁을 들어주다|to do a favor or fulfill a request|7|친구의 부탁을 들어줬어요.|I did a favor for my friend.|부탁을
W210452|양념하다|to season or flavor|7|고기에 양념을 했어요.|I seasoned the meat.|양념을
W210453|서쪽|the west|7|서쪽 하늘이 빨개요.|The western sky is red.|서쪽
W210454|참기름|sesame oil|7|참기름을 넣었어요.|I added sesame oil.|참기름
W210455|칫솔|toothbrush|7|새 칫솔을 샀어요.|I bought a new toothbrush.|칫솔
W210456|화분|flowerpot|6|화분에 꽃을 심었어요.|I planted flowers in the flowerpot.|화분
W210457|방석|sitting cushion|6|방석에 앉으세요.|Please sit on the cushion.|방석
W210458|겨자|mustard|6|겨자를 조금 넣었어요.|I added a little mustard.|겨자
W210459|피다|to dip|6|소스에 피워서 드세요.|Please dip it in the sauce.|피워서
W210460|마요네즈|mayonnaise|6|마요네즈를 발랐어요.|I spread mayonnaise.|마요네즈
W210461|작은아버지|uncle (younger brother of one's father)|6|작은아버지를 만났어요.|I met my uncle.|작은아버지
W210462|긴삭|ginseng|6|긴삭차를 마셨어요.|I drank ginseng tea.|긴삭차
W210463|두희|pattern|6|예쁜 두희가 있어요.|There's a pretty pattern.|두희
W210464|회비|(membership) fee|6|회비를 냈어요.|I paid the membership fee.|회비
W210465|구경거리|tourist attraction|6|재미있는 구경거리가 많아요.|There are many interesting attractions.|구경거리
W210466|삼계탕|samgyetang (ginseng chicken broth)|6|삼계탕을 끓였어요.|I made samgyetang.|삼계탕
W210467|참외|Korean melon|6|참외가 달아요.|The Korean melon is sweet.|참외
W210468|원피스|one-piece dress|6|예쁜 원피스를 입었어요.|I wore a pretty dress.|원피스
W210469|온천|hot spring or spa|6|온천에 가고 싶어요.|I want to go to a hot spring.|온천
W210470|약도|map|6|약도를 그려 주세요.|Please draw a map.|약도
W210471|가전제품|electric home appliance|6|가전제품을 샀어요.|I bought electric appliances.|가전제품
W210472|초대장|invitation card|6|초대장을 받았어요.|I received an invitation card.|초대장
W210473|고모부|uncle (husband of aunt on the father's side)|6|고모부께 인사했어요.|I greeted my uncle.|고모부께
W210474|법학|law|6|법학을 공부해요.|I study law.|법학
W210475|줄무늬|stripes|6|줄무늬 셔츠를 입었어요.|I wore a striped shirt.|줄무늬
W210476|동해|East sea|6|동해로 여행을 갔어요.|I traveled to the East Sea.|동해
W210477|원룸|studio apartment|6|원룸에서 살고 있어요.|I live in a studio apartment.|원룸
W210478|동호회|workplace club|6|회사 동호회에 참가해요.|I participate in the company club.|동호회
W210479|립스틱|lipstick|6|립스틱을 발랐어요.|I applied lipstick.|립스틱
W210480|컴퓨터공학|computer engineering|6|컴퓨터공학을 전공해요.|I major in computer engineering.|컴퓨터공학
W210481|의학|medical science|6|의학을 공부하고 싶어요.|I want to study medicine.|의학
W210482|차 세트|tea set or teacup|6|차 세트를 선물받았어요.|I received a tea set as a gift.|차
W210483|해수욕장|beach|6|해수욕장에서 수영했어요.|I swam at the beach.|해수욕장
W210484|송별회|farewell party|6|송별회에 참석했어요.|I attended the farewell party.|송별회
W210485|두루마리|roll of paper|6|두루마리 휴지를 샀어요.|I bought a roll of toilet paper.|두루마리
W210486|강점|glasses|6|강점을 써야 해요.|I need to wear glasses.|강점
W210487|집들이|housewarming party|6|집들이에 초대받았어요.|I was invited to a housewarming party.|집들이
W210488|유학|study abroad|6|유학을 준비하고 있어요.|I'm preparing to study abroad.|유학
W210489|파인애플|pineapple|6|파인애플이 달아요.|The pineapple is sweet.|파인애플
W210490|인삼|ginseng|6|인삼차를 마셔 봤어요.|I tried ginseng tea.|인삼차
W210491|태평양|the Pacific Ocean|6|태평양을 건넜어요.|I crossed the Pacific Ocean.|태평양
W210492|섭섭하다|to be sad or disappointed|6|헤어져서 섭섭해요.|I'm sad to part.|섭섭해요
W210493|나흘|four days|6|나흘 동안 쉬었어요.|I rested for four days.|나흘
W210494|사흘|four days|6|사흘 후에 만나요.|Let's meet in three days.|사흘
W210495|냉동식품|frozen food|6|냉동식품을 샀어요.|I bought frozen food.|냉동식품
W210496|요리법|recipe|6|요리법을 알려 주세요.|Please tell me the recipe.|요리법
W210497|유행하다|to be in fashion|6|요즘 유행하고 있어요.|It's trending these days.|유행하고
W210498|소갈비|beef ribs|6|소갈비를 구웠어요.|I grilled beef ribs.|소갈비
W210499|깍두기|Kkakdugi (diced radish kimchi)|6|깍두기를 담갔어요.|I made kkakdugi.|깍두기
W210500|양복|suit|6|양복을 입고 갔어요.|I went wearing a suit.|양복
W210501|무늬|pattern design|6|꽃무늬가 예뻐요.|The flower pattern is pretty.|무늬
W210502|목걸이|necklace|6|목걸이를 선물받았어요.|I received a necklace as a gift.|목걸이
W210503|닷새|five days|6|닷새 동안 여행했어요.|I traveled for five days.|닷새
W210504|치맥|chicken and beer|6|친구와 치맥을 했어요.|I had chicken and beer with friends.|치맥
W210505|관광지|tourist destination|6|유명한 관광지에 갔어요.|I went to a famous tourist destination.|관광지
W210506|진하다|to be dark or deep|6|커피가 진해요.|The coffee is strong.|진해요
W210507|블라우스|blouse|6|흰색 블라우스를 입었어요.|I wore a white blouse.|블라우스
W210508|북부|Northern|6|북부 지역에 살아요.|I live in the northern region.|북부
W210509|화려하다|to be ornate or brilliant|6|드레스가 화려해요.|The dress is gorgeous.|화려해요
W210510|건강식품|health food|6|건강식품을 먹고 있어요.|I'm eating health food.|건강식품
W210511|인턴|intern or internship|6|인턴으로 일하고 있어요.|I'm working as an intern.|인턴
W210512|미역국|miyeokguk (seaweed soup)|6|생일에 미역국을 먹었어요.|I ate seaweed soup on my birthday.|미역국
W210513|생필품|daily necessity|6|생필품을 샀어요.|I bought daily necessities.|생필품
W210514|세탁소|laundry or dry cleaner's|6|세탁소에 옷을 맡겼어요.|I left clothes at the dry cleaner's.|세탁소
W210515|큰어머니|aunt (wife of one's father's older brother)|6|큰어머니께 인사했어요.|I greeted my aunt.|큰어머니께
W210516|큰아버지|uncle (father's older brother)|6|큰아버지 댁에 갔어요.|I went to my uncle's house.|큰아버지
W210517|당면|clear noodles|6|당면을 불렸어요.|I soaked the clear noodles.|당면
W210518|성|castle|6|옛날 성을 구경했어요.|I toured an old castle.|성
W210519|배낭|backpack|6|배낭을 메고 여행했어요.|I traveled with a backpack.|배낭
W210520|이모부|uncle (husband of one's mother's sister)|6|이모부가 오셨어요.|My uncle came.|이모부
W210521|목욕용품|bath supplies|6|목욕용품을 샀어요.|I bought bath supplies.|목욕용품
W210522|베이컨|bacon|6|베이컨을 구웠어요.|I grilled bacon.|베이컨
W210523|디지털 카메라|digital camera|6|디지털 카메라로 사진을 찍었어요.|I took photos with a digital camera.|디지털
W210524|갈비찜|galbi-jjim (braised short ribs)|6|갈비찜을 만들었어요.|I made galbi-jjim.|갈비찜
W210525|잡채|japchae(clear noodles stir-fried with beef and vegetables)|6|잡채를 볶았어요.|I stir-fried japchae.|잡채
W210526|싣다|to load up|6|짐을 차에 실었어요.|I loaded luggage into the car.|실었어요
W210527|조끼|vest|6|조끼를 입었어요.|I wore a vest.|조끼
W210528|룸메이트|roommate|6|새 룸메이트를 만났어요.|I met a new roommate.|룸메이트
W210529|보라색|purple|6|보라색을 좋아해요.|I like purple.|보라색
W210530|서비스 센터|service center|6|서비스 센터에 전화했어요.|I called the service center.|서비스
W210531|반지|ring|6|예쁜 반지를 샀어요.|I bought a pretty ring.|반지
W210532|시청|city hall|6|시청에서 일해요.|I work at city hall.|시청
W210533|도심|lunchbox|6|도심에서 만나요.|Let's meet downtown.|도심
W210534|곰|bear|6|동물원에서 곰을 봤어요.|I saw a bear at the zoo.|곰
W210535|날씬하다|to be slim|6|모델이 날씬해요.|The model is slim.|날씬해요
W210536|남부|Southern|6|남부로 이사했어요.|I moved to the south.|남부
W210537|연장하다|to extend or prolong|6|계약을 연장했어요.|I extended the contract.|연장했어요
W210538|환영회|reception|6|신입생 환영회에 갔어요.|I went to the freshman reception.|환영회
W210539|중부|Central|6|중부 지방에 살아요.|I live in the central region.|중부
W210540|하색|gray|6|하색 옷을 입었어요.|I wore gray clothes.|하색
W210541|목창회|alumni association|6|목창회에 참석했어요.|I attended the alumni meeting.|목창회
W210542|경영학|business administration|6|경영학을 전공했어요.|I majored in business administration.|경영학
W210543|외국인|foreign student|6|외국인 친구가 있어요.|I have a foreign friend.|외국인
W210544|홈쇼핑|home shopping|6|홈쇼핑으로 샀어요.|I bought it through home shopping.|홈쇼핑
W210545|대학원|graduate school|6|대학원에 진학했어요.|I entered graduate school.|대학원
W210546|핸드백|handbag|6|새 핸드백을 샀어요.|I bought a new handbag.|핸드백
W210547|상가|shopping mall|6|상가에서 쇼핑했어요.|I shopped at the shopping mall.|상가
W210548|장갑|gloves|6|겨울에 장갑을 껴요.|I wear gloves in winter.|장갑
W210549|쿠션|cushion|6|쿠션을 놓았어요.|I placed a cushion.|쿠션
W210550|찜질방|jjimjilbang|6|찜질방에서 쉬었어요.|I rested at the jjimjilbang.|찜질방
W210551|설렁탕|Seolleongtang (beef and rice soup)|6|설렁탕을 끓였어요.|I made seolleongtang.|설렁탕
W210552|귀걸이|earring|6|예쁜 귀걸이를 했어요.|I wore pretty earrings.|귀걸이
W210553|마음씨|to be good-natured or nice|6|마음씨가 좋은 사람이에요.|He's a kind-hearted person.|마음씨
W210554|열흘|ten days|6|열흘 동안 여행했어요.|I traveled for ten days.|열흘
W210555|경제학|economics|6|경제학을 공부해요.|I study economics.|경제학
W210556|편의 시설|convenient facility|6|편의 시설이 좋아요.|The convenience facilities are good.|편의
W210557|첫인사|opening greeting|6|첫인사를 했어요.|I gave the opening greeting.|첫인사
W210558|문어|octopus|6|문어를 먹어 봤어요.|I tried eating octopus.|문어
W210559|서재|a study or library|6|서재에서 책을 읽어요.|I read books in the study.|서재
W210560|찻잔|tea set or teacup|6|찻잔에 차를 따랐어요.|I poured tea into the teacup.|찻잔
W210561|세일하다|to be on sale; to have a sale|6|옷이 세일하고 있어요.|Clothes are on sale.|세일하고
W210562|벽시계|wall clock|6|벽시계를 걸었어요.|I hung a wall clock.|벽시계
W210563|주방용품|kitchen products|6|주방용품을 샀어요.|I bought kitchen products.|주방용품
W210564|쉰|fifty|6|나이가 쉰이에요.|I'm fifty years old.|쉰
W210565|감|persimmon|6|감이 달아요.|The persimmon is sweet.|감
W210566|포스터|poster|6|벽에 포스터를 붙였어요.|I put a poster on the wall.|포스터
W210567|유행이다|to be in fashion or popular|6|요즘 유행이에요.|It's popular these days.|유행이에요
W210568|외숙모|aunt (wife of one's mother's brother)|6|외숙모를 만났어요.|I met my aunt.|외숙모
W210569|관리비|management expenses or utilities|6|관리비를 냈어요.|I paid the management fee.|관리비
W210570|풍선|balloon|6|풍선을 불었어요.|I blew up a balloon.|풍선
W210571|로션|lotion|6|로션을 발랐어요.|I applied lotion.|로션
W210572|마감|closing greeting|6|마감 인사를 했어요.|I gave the closing greeting.|마감
W210573|문화센터|culture center|6|문화센터에서 수업을 들어요.|I take classes at the culture center.|문화센터
W210574|뚱뚱하다|to be fat|6|조금 뚱뚱해졌어요.|I got a little fat.|뚱뚱해졌어요
W210575|관광지|tourist attraction|6|관광지를 구경했어요.|I toured the tourist attraction.|관광지
W210576|결석하다|to be absent|6|수업에 결석했어요.|I was absent from class.|결석했어요
W210577|전자제품|electric home appliance|6|전자제품을 샀어요.|I bought electronic appliances.|전자제품
W210578|금치|tuna|6|금치 샐러드를 만들었어요.|I made tuna salad.|금치
W210579|달걀찜|steamed egg|6|달걀찜을 만들었어요.|I made steamed eggs.|달걀찜
W210580|연세|age in honorific form|6|연세가 어떻게 되세요?|What is your age?|연세
W210581|하늘색|sky-blue|6|하늘색이 예뻐요.|Sky blue is pretty.|하늘색
W210582|간을 보다|to taste a dish to see how it is seasoned with salt|6|간을 봐 주세요.|Please taste it to check the seasoning.|간을
W210583|생활용품|living products|6|생활용품을 샀어요.|I bought household products.|생활용품
W210584|점퍼|jacket|6|점퍼를 입었어요.|I wore a jacket.|점퍼
W210585|운동복|sportswear|6|운동복으로 갈아입었어요.|I changed into sportswear.|운동복
W210586|실다|to load up|6|짐을 실었어요.|I loaded the luggage.|실었어요
W210587|녹다|to stir-fry|6|야채를 녹였어요.|I stir-fried vegetables.|녹였어요
W210588|분식집|snack shop|6|분식집에서 떡볶이를 먹었어요.|I ate tteokbokki at the snack shop.|분식집
W210589|다지다|to mince|6|마늘을 다졌어요.|I minced garlic.|다졌어요
W210590|방송국|broadcasting station|6|방송국에서 일하고 싶어요.|I want to work at a broadcasting station.|방송국
W210591|파전|Pajeon (green onion pan-fried in batter)|6|파전을 부쳤어요.|I made pajeon.|파전
W210592|빈손|empty-handed|6|빈손으로 갔어요.|I went empty-handed.|빈손
W210593|동창회|alumni association|6|동창회에 참석했어요.|I attended the alumni meeting.|동창회
W210594|식당가|food court|6|식당가에서 먹었어요.|I ate at the food court.|식당가
W210595|스카프|scarf|6|목에 스카프를 둘렀어요.|I wrapped a scarf around my neck.|스카프
W210596|빙수|shaved ice with syrup|6|여름에 빙수를 먹었어요.|I ate shaved ice in summer.|빙수
W210597|서핑|surfing|5|바다에서 서핑을 배웠어요.|I learned surfing at the sea.|서핑
W210598|금반지|gold ring|5|금반지를 선물받았어요.|I received a gold ring as a gift.|금반지
W210599|서해|West sea|5|서해로 여행을 갔어요.|I traveled to the West Sea.|서해
W210600|주부|jujube|5|주부차를 마셨어요.|I drank jujube tea.|주부차
W210601|대추|jujube|5|대추가 달아요.|The jujube is sweet.|대추
W210602|축구화|soccer shoes|5|새 축구화를 샀어요.|I bought new soccer shoes.|축구화
W210603|샤브샤브|shabu shabu|5|샤브샤브를 먹어 봤어요.|I tried shabu shabu.|샤브샤브
W210604|위시리|one's elders or seniors|5|위시리께 인사했어요.|I greeted my elders.|위시리께
W210605|교육학|educational studies|5|교육학을 전공해요.|I major in educational studies.|교육학
W210606|경상도|Gyeongsang-do|5|경상도 출신이에요.|I'm from Gyeongsang-do.|경상도
W210607|대구|Daegu|5|대구에 가 봤어요.|I've been to Daegu.|대구
W210608|고속 터미널|express bus terminal|5|고속 터미널에서 만나요.|Let's meet at the express bus terminal.|고속
W210609|빈대떡|bindaetteok(mung-bean pancake)|5|빈대떡을 주문했어요.|I ordered bindaetteok.|빈대떡
W210610|아흔|ninety|5|할아버지가 아흔 살이세요.|Grandfather is ninety years old.|아흔
W210611|샤부샤부|shabu shabu|5|친구와 샤부샤부를 먹었어요.|I ate shabu shabu with friends.|샤부샤부
W210612|스포츠 용품|sporting goods|5|스포츠 용품점에 갔어요.|I went to the sporting goods store.|스포츠
W210613|북동부|northeast|5|북동부 지역에 살아요.|I live in the northeast region.|북동부
W210614|첫사람|one's elders or seniors|5|첫사람께 절했어요.|I bowed to my elders.|첫사람께
W210615|남해|Southern sea|5|남해에서 낚시했어요.|I went fishing in the Southern Sea.|남해
W210616|자기소개서|personal statement|5|자기소개서를 썼어요.|I wrote a personal statement.|자기소개서
W210617|동양|Oriental|5|동양 문화를 공부해요.|I study Oriental culture.|동양
W210618|영문학|English literature|5|영문학을 전공했어요.|I majored in English literature.|영문학
W210619|향초|scented candle|5|향초를 켰어요.|I lit a scented candle.|향초
W210620|충청도|Chungcheong-do|5|충청도에서 왔어요.|I came from Chungcheong-do.|충청도
W210621|한국어 교육|Korean language education|5|한국어 교육을 전공해요.|I major in Korean language education.|한국어
W210622|전자상가|electronics shops|5|전자상가에서 쇼핑했어요.|I shopped at the electronics mall.|전자상가
W210623|하숙집|boardinghouse|5|하숙집에서 살고 있어요.|I live in a boardinghouse.|하숙집
W210624|급방|soon or at once|5|급방 오세요.|Please come right away.|급방
W210625|꽃바구니|flower basket|5|꽃바구니를 선물했어요.|I gave a flower basket as a gift.|꽃바구니
W210626|패션용품|fashion goods|5|패션용품을 샀어요.|I bought fashion goods.|패션용품
W210627|만년필|fountain pen|5|만년필로 편지를 썼어요.|I wrote a letter with a fountain pen.|만년필
W210628|롤러코스터|roller coaster|5|롤러코스터를 탔어요.|I rode the roller coaster.|롤러코스터
W210629|양초|scented candle|5|생일 양초를 켰어요.|I lit birthday candles.|양초
W210630|입국|entry into a country or immigration|5|한국에 입국했어요.|I entered Korea.|입국했어요
W210631|등산화|hiking boots|5|등산화를 신고 산에 갔어요.|I wore hiking boots and went to the mountain.|등산화
W210632|꽃무늬|flower pattern|5|꽃무늬 드레스를 입었어요.|I wore a flower-patterned dress.|꽃무늬
W210633|감자탕|gamjatang(Pork Back-bone Stew)|5|감자탕을 끓였어요.|I made gamjatang.|감자탕
W210634|체크무늬|checkered pattern|5|체크무늬 셔츠를 샀어요.|I bought a checkered shirt.|체크무늬
W210635|두밥|afterparty|5|회식 후에 두밥을 했어요.|We had an afterparty after the dinner.|두밥
W210636|여든|eighty|5|할머니가 여든 살이세요.|Grandmother is eighty years old.|여든
W210637|뒤풀이|afterparty|5|뒤풀이에 참가했어요.|I participated in the afterparty.|뒤풀이
W210638|수영복|swimsuit|5|수영복을 입고 수영했어요.|I swam wearing a swimsuit.|수영복
W210639|왕궁|palace|5|경복궁은 조선의 왕궁이에요.|Gyeongbokgung is a Joseon palace.|왕궁
W210640|쌀떡|to cut or chop|5|떡을 쌀떡했어요.|I cut the rice cake.|쌀떡했어요
W210641|녹두|mung beans|5|녹두로 빈대떡을 만들었어요.|I made bindaetteok with mung beans.|녹두
W210642|남성복|men's clothing|5|남성복 매장에 갔어요.|I went to the men's clothing store.|남성복
W210643|병문안|visiting someone who is sick|5|할아버지 병문안을 갔어요.|I went to visit my sick grandfather.|병문안
W210644|스포츠용품|sporting goods|5|스포츠용품을 샀어요.|I bought sporting goods.|스포츠용품
W210645|출판사|publishing company|5|출판사에서 일해요.|I work at a publishing company.|출판사
W210646|이삿짐|goods to be moved|5|이삿짐을 쌌어요.|I packed moving goods.|이삿짐
W210647|신문사|newspaper publishing company|5|신문사 기자예요.|I'm a newspaper reporter.|신문사
W210648|디퓨저|diffuser|5|방에 디퓨저를 놨어요.|I put a diffuser in the room.|디퓨저
W210649|케이블카|cable car|5|케이블카를 타고 산에 올랐어요.|I took a cable car up the mountain.|케이블카
W210650|등뼈|backbone|5|등뼈가 아파요.|My backbone hurts.|등뼈
W210651|패션잡화|fashion goods|5|패션잡화를 구경했어요.|I looked at fashion accessories.|패션잡화
W210652|남성의류|men's clothing|5|남성의류 코너에 갔어요.|I went to the men's clothing section.|남성의류
W210653|전라도|Jeolla-do|5|전라도 음식이 맛있어요.|Jeolla-do food is delicious.|전라도
W210654|항공사|airline company|5|항공사에 전화했어요.|I called the airline company.|항공사
