Index|Korean|어/아/여|습니다/ㅂ니다|다/ㄴ다/는다|면/으면|English|Frequency|Korean Example Sentence|English Example Sentence Translation
2급 읽이 12과 2항 13단어|오리엔테이션|||||orientation|611.242129583843|새 학기 오리엔테이션에 참석했어요.|I attended the new semester orientation.
2급 문법 12과 1항 7단어|기억하다|기억해|기억합니다|기억한다|기억하면|to remember|612|어릴 때 일을 잘 기억해요.|I remember things from when I was young well.
2급 문법 16과 2항 6단어|바르다|발라|바릅니다|바른다|바르면|to apply|613|햇볕에 나가기 전에 선크림을 발랐어요.|I applied sunscreen before going out in the sun.
2급 문법 15과 2항 7단어|과거|||||past|615|과거의 경험이 지금에 도움이 돼요.|Past experiences help me now.
2급 문법 8과 9항 3단어|샤부샤부|||||shabu shabu|615.695919957943|친구들과 샤부샤부를 먹으러 갔어요.|I went to eat shabu shabu with my friends.
2급 읽이 10과 1항 9단어|설명|||||explanation|616|복잡한 설명을 듣고 이해했어요.|I understood after hearing the complex explanation.
2급 문법 16과 2항 5단어|건강보험|||||health insurance|616.873375489377|직장인은 건강보험에 가입해야 해요.|Office workers must enroll in health insurance.
2급 읽이 1과 1항 15단어|오랜만|||||after a long time|618|오랜만에 고향에 가서 부모님을 뵈었어요.|I visited my hometown after a long time and met my parents.
2급 문법 8과 9항 1단어|꽃바구니|||||flower basket|618.585433461703|졸업식에 꽃바구니를 선물받았어요.|I received a flower basket as a gift at the graduation ceremony.
2급 읽이 10과 1항 11단어|걱정하다|걱정해|걱정합니다|걱정한다|걱정하면|to worry|622|시험 결과를 걱정하고 있어요.|I'm worrying about the exam results.
2급 읽이 12과 2항 4단어|신청 결과|||||registration result|622.085326001979|대학교 신청 결과를 기다리고 있어요.|I'm waiting for the university application result.
2급 문법 12과 1항 12단어|발표하다|발표해|발표합니다|발표한다|발표하면|to announce or make a presentation|623|다음 주에 프로젝트를 발표해야 해요.|I need to make a presentation on the project next week.
2급 읽이 7과 1항 9단어|에스엔에스(SNS)|||||social networking service|623.381552635692|에스엔에스에서 친구들의 소식을 봐요.|I see my friends' news on social networking services.
2급 읽이 1과 2항 3단어|국어국문학|||||Korean language and literature|629.268102697097|대학교에서 국어국문학을 공부했어요.|I studied Korean language and literature at university.
2급 문법 19과 1항 19단어|팬|||||fan|630|그 가수의 열성적인 팬이에요.|I'm an enthusiastic fan of that singer.
2급 읽이 16과 1항 9단어|열이 나다|열이 나|열이 납니다|열이 난다|열이 나면|to have a fever|631.793793407269|아이가 열이 나서 병원에 갔어요.|The child had a fever so we went to the hospital.
2급 문법 8과 8항 5단어|주방용품|||||kitchen products|637.957607046701|새 집으로 이사해서 주방용품을 샀어요.|I moved to a new house and bought kitchen products.
2급 읽이 3과 1항 5단어|도시|||||city|638|시골보다 도시가 편리해요.|Cities are more convenient than the countryside.
2급 읽이 20과 1항 11단어|차이|||||difference|641|두 제품의 차이를 비교해 봤어요.|I compared the difference between the two products.
2급 읽이 5과 2항 9단어|따로|||||separately|642|음식을 따로 포장해 달라고 했어요.|I asked them to pack the food separately.
2급 읽이 2과 2항 15단어|태어나다|태어나|태어납니다|태어난다|태어나면|to be born|643|한국에서 태어나서 한국어를 잘해요.|I was born in Korea so I speak Korean well.
2급 읽이 20과 2항 16단어|땀 흘리다|땀 흘려|땀 흘립니다|땀 흘린다|땀 흘리면|to sweat|644.095927593298|운동을 열심히 해서 땀을 많이 흘렸어요.|I exercised hard and sweated a lot.
2급 문법 15과 2항 16단어|앞으로|||||in the future|648.472490604036|앞으로 더 열심히 공부할 계획이에요.|I plan to study harder in the future.
2급 읽이 12과 2항 12단어|정확하다|정확해|정확합니다|정확하다|정확하면|to be correct or exact|656|시간을 정확히 지키는 것이 중요해요.|It's important to keep time exactly.
2급 읽이 2과 1항 4단어|목소리가 좋다|목소리가 좋아|목소리가 좋습니다|목소리가 좋다|목소리가 좋으면|to have a good voice|656.716656987555|그 가수는 목소리가 좋아서 인기가 많아요.|That singer is popular because they have a good voice.
2급 읽이 9과 1항 12단어|드디어|||||finally|657|드디어 시험이 끝나서 기뻐요.|I'm happy because the exam is finally over.
2급 문법 11과 1항 12단어|스크린도어|||||screen door|659.296070807613|지하철역에 스크린도어가 설치되어 있어요.|Screen doors are installed at the subway station.
2급 문법 14과 2항 12단어|가까이|||||near or nearby|661|학교 가까이에 살고 있어요.|I live near the school.
2급 읽이 12과 2항 16단어|관심이 있다|관심이 있어|관심이 있습니다|관심이 있다|관심이 있으면|to have an interest|663.180673844181|음악에 관심이 있어서 악기를 배우고 있어요.|I have an interest in music so I'm learning an instrument.
2급 읽이 2과 1항 15단어|성격이 밝다|성격이 밝아|성격이 밝습니다|성격이 밝다|성격이 밝으면|to have a bright personality|663.195893052034|친구는 성격이 밝아서 사람들이 좋아해요.|People like my friend because they have a bright personality.
2급 읽이 20과 2항 9단어|여의도공원|||||Yeouido Park|664.620520197786|주말에 여의도공원에서 산책했어요.|I took a walk in Yeouido Park on the weekend.
2급 문법 16과 1항 2단어|두통|||||headache|665.168128558435|스트레스를 받으면 두통이 생겨요.|I get headaches when I'm stressed.
2급 문법 3과 9항 7단어|화가 나다|화가 나|화가 납니다|화가 난다|화가 나면|to be angry|665.717429597862|친구가 약속을 안 지켜서 화가 났어요.|I got angry because my friend didn't keep their promise.
2급 문법 8과 9항 5단어|세제|||||detergent|665.893891709857|설거지할 때 세제를 사용해요.|I use detergent when washing dishes.
2급 문법 18과 1항 1단어|경험|||||experience|668|외국에서 살아본 경험이 있어요.|I have experience living in a foreign country.
2급 문법 2과 8항 3단어|이모|||||aunt on the mother's side|668.43415342737|이모가 맛있는 음식을 만들어 주셨어요.|My aunt made delicious food for me.
2급 읽이 4과 1항 15단어|마음에 들다|마음에 들어|마음에 듭니다|마음에 든다|마음에 들면|to like|668.828904978|새로 산 옷이 마음에 들어요.|I like the newly bought clothes.
2급 읽이 1과 2항 5단어|돕다|도와|돕습니다|돕는다|도우면|to help|669|어려운 일이 있으면 도와드릴게요.|If you have any difficulties, I'll help you.
2급 읽이 11과 1항 8단어|특실|||||first class|673.409621347673|기차 특실 표를 예약했어요.|I reserved a first class train ticket.
2급 읽이 9과 1항 22단어|살|||||years or age|675|우리 아이가 올해 다섯 살이에요.|Our child is five years old this year.
2급 읽이 9과 2항 9단어|살|||||years old|675|형은 저보다 세 살 많아요.|My older brother is three years older than me.
2급 문법 13과 1항 7단어|공과금|||||utility bill|675.535370712169|매달 공과금을 인터넷으로 납부해요.|I pay utility bills online every month.
2급 문법 16과 2항 9단어|기침약|||||cough medicine|676.499302615412|기침이 심해서 기침약을 샀어요.|My cough was severe so I bought cough medicine.
2급 문법 19과 2항 5단어|신기하다|신기해|신기합니다|신기하다|신기하면|to be wonderful or marvelous|679|마술쇼를 보니까 정말 신기했어요.|The magic show was really wonderful to watch.
2급 읽이 5과 1항 29단어|선택하다|선택해|선택합니다|선택한다|선택하면|to choose|684|메뉴가 많아서 선택하기 어려워요.|There are many menu items so it's difficult to choose.
2급 문법 13과 1항 6단어|계좌번호|||||account number|689.399320050143|송금할 때 계좌번호를 정확히 써야 해요.|You need to write the account number correctly when transferring money.
2급 읽이 1과 2항 18단어|및|||||and|691|학생 및 학부모님들이 참석하실 예정입니다.|Students and parents are expected to attend.
2급 문법 16과 1항 16단어|뜨겁다|뜨거워|뜨겁습니다|뜨겁다|뜨거우면|to be hot|692|커피가 너무 뜨거워서 식혀서 마셨어요.|The coffee was too hot so I let it cool before drinking.
2급 읽이 15과 2항 16단어|배달비|||||delivery fee|692.212484660558|배달비가 비싸서 직접 가서 사왔어요.|The delivery fee was expensive so I went and bought it myself.
2급 문법 17과 1항 14단어|전쟁영화|||||war movie|693.057935801335|아버지는 전쟁영화를 좋아하세요.|My father likes war movies.
2급 문법 11과 2항 7단어|세우다|세워|세웁니다|세운다|세우면|to stop|694|빨간불에서 차를 세워야 해요.|You need to stop the car at a red light.
2급 문법 18과 1항 7단어|낮|||||day, daytime|695|낮에는 따뜻하지만 밤에는 추워요.|It's warm during the day but cold at night.
2급 문법 1과 9항 8단어|영문학|||||English literature|697.77840457391|대학교에서 영문학을 전공했어요.|I majored in English literature at university.
2급 읽이 8과 1항 14단어|미리|||||in advance, ahead of time|698|시험을 미리 준비해서 걱정이 없어요.|I prepared for the exam in advance so I'm not worried.
2급 읽이 10과 1항 6단어|고장 나다|고장 나|고장 납니다|고장 난다|고장 나면|to break|702.245963388123|세탁기가 고장 나서 수리를 맡겼어요.|The washing machine broke so I had it repaired.
2급 읽이 4과 2항 6단어|나중에|||||later|703.250835533254|시간이 없어서 나중에 하기로 했어요.|I don't have time so I decided to do it later.
2급 읽이 5과 2항 17단어|두부|||||tofu|704.860517871566|채식주의자라서 두부를 자주 먹어요.|I'm a vegetarian so I often eat tofu.
2급 읽이 20과 1항 20단어|도|||||degree|705|오늘 기온이 영하 5도까지 내려갔어요.|Today's temperature dropped to minus 5 degrees.
2급 문법 20과 1항 7단어|미세먼지|||||fine dust|706.842020037584|미세먼지가 심해서 마스크를 썼어요.|The fine dust was severe so I wore a mask.
2급 문법 15과 1항 5단어|선택|||||selection or choice|709|어려운 선택을 해야 하는 상황이에요.|It's a situation where I have to make a difficult choice.
2급 읽이 16과 1항 13단어|짓다|지어|짓습니다|짓는다|지으면|to make or build|711|새 집을 짓는 데 1년이 걸렸어요.|It took one year to build a new house.
2급 문법 2과 3항 4단어|어깨|||||shoulder|713|무거운 가방을 메고 어깨가 아파요.|My shoulder hurts from carrying a heavy bag.
2급 읽이 2과 2항 8단어|이모|||||aunt (sister of one's mother)|724.003003793769|이모 집에 놀러 가는 것이 즐거워요.|It's fun to visit my aunt's house.
2급 문법 16과 1항 3단어|붓다¹|부어|붓습니다|붓는다|부으면|to swell up|725.68393999245|다쳐서 발목이 부어올랐어요.|My ankle swelled up because I got injured.
2급 문법 14과 1항 6단어|속도|||||speed|727|차의 속도를 줄여서 천천히 갔어요.|I reduced the car's speed and went slowly.
2급 읽이 2과 2항 4단어|큰어머니|||||aunt (wife of one's father's older brother)|730.050443788059|추석에 큰어머니 댁에 갔어요.|I went to my aunt's house during Chuseok.
2급 문법 18과 1항 3단어|벌다|벌어|법니다 |번다|벌면|to make or earn (money)|733|아르바이트를 해서 용돈을 벌고 있어요.|I'm earning pocket money by working part-time.
2급 읽이 17과 1항 5단어|장면|||||scene|738|영화에서 가장 감동적인 장면이었어요.|It was the most touching scene in the movie.
2급 읽이 16과 1항 8단어|기침을 하다|기침을 해|기침을 합니다|기침을 한다|기침을 하면|to cough|741.912474273704|감기에 걸려서 계속 기침을 해요.|I keep coughing because I caught a cold.
2급 읽이 16과 1항 14단어|낫다|나아|낫습니다|낫는다|나으면|to recover or get well|744|약을 먹으니까 감기가 나았어요.|My cold got better after taking medicine.
2급 문법 17과 1항 8단어|동물|||||animal|745|동물원에서 여러 동물을 봤어요.|I saw various animals at the zoo.
2급 읽이 6과 2항 5단어|축구화|||||soccer shoes|748.721306561492|축구를 하려면 축구화가 필요해요.|You need soccer shoes to play soccer.
2급 문법 16과 1항 23단어|피|||||blood|750|다쳐서 피가 나고 있어요.|I'm bleeding because I got hurt.
2급 문법 9과 9항 13단어|일흔|||||seventy|753.287823754363|할아버지는 올해 일흔 살이세요.|My grandfather is seventy years old this year.
2급 읽이 5과 1항 10단어|만두|||||steamed bun or dumpling|759.081537253223|추운 날에는 따뜻한 만두가 맛있어요.|Hot dumplings are delicious on cold days.
2급 문법 19과 2항 6단어|가족여행|||||family trip|760.208384715952|여름휴가 때 가족여행을 계획하고 있어요.|I'm planning a family trip during summer vacation.
2급 문법 18과 2항 8단어|매주|||||every week|765.572301927023|매주 토요일에 테니스를 쳐요.|I play tennis every Saturday.
2급 읽이 9과 1항 9단어|그래|||||yes or okay|770.259956945665|친구가 같이 가자고 해서 그래라고 했어요.|My friend suggested going together so I said okay.
2급 문법 7과 2항 3단어|유행이다|유행이야|유행입니다|유행이다|유행이면|to be in fashion|774.950555409305|요즘 긴 머리가 유행이에요.|Long hair is in fashion these days.
2급 읽이 9과 2항 16단어|금방|||||soon or at once|778|숙제를 금방 끝낼 수 있을 것 같아요.|I think I can finish my homework soon.
2급 문법 15과 2항 6단어|금방|||||right away|778|금방 돌아올 테니까 기다려 주세요.|I'll be back right away so please wait.
2급 문법 6과 3항 7단어|대회|||||conference or convention|788|다음 달에 수학 대회가 있어요.|There's a math competition next month.
2급 읽이 1과 2항 11단어|컴퓨터공학|||||computer engineering|788.205530145206|동생이 컴퓨터공학을 전공하고 있어요.|My younger sibling is majoring in computer engineering.
2급 읽이 4과 1항 17단어|어둡다|어두워|어둡습니다|어둡다|어두우면|to be dark|790|밤이 어두워서 손전등을 켰어요.|The night was dark so I turned on a flashlight.
2급 읽이 4과 2항 13단어|건물|||||building|792|우리 학교는 새 건물이 생겼어요.|Our school has a new building.
2급 읽이 18과 2항 8단어|걱정이 되다|걱정이 돼|걱정이 됩니다|걱정이 된다|걱정이 되면|to be worried|792.795875458978|시험 결과가 걱정이 돼요.|I'm worried about the exam results.
2급 문법 7과 3항 13단어|뛰다|뛰어|뜁니다|뛴다|뛰면|to run or jump|793|버스를 놓칠까 봐 뛰어갔어요.|I ran because I was afraid of missing the bus.
2급 읽이 18과 2항 4단어|사업을 하다|사업을 해|사업을 합니다|사업을 한다|사업을 하면|to do business|794.103031628765|아버지는 음식점 사업을 하세요.|My father does restaurant business.
2급 읽이 3과 2항 18단어|특별하다|특별해|특별합니다|특별하다|특별하면|to be special|796|오늘은 특별한 날이라서 케이크를 샀어요.|Today is a special day so I bought a cake.
2급 문법 1과 3항 1단어|광고 회사|||||advertising company|797.503045178019|친구가 광고 회사에서 일하고 있어요.|My friend works at an advertising company.
2급 읽이 10과 2항 12단어|출입국관리사무소|||||Immigration Office|797.731836210005|비자 연장을 위해 출입국관리사무소에 갔어요.|I went to the Immigration Office for visa extension.
2급 문법 8과 9항 15단어|박수를 치다|박수를 쳐|박수를 칩니다|박수를 친다|박수를 치면|to applaud|798.253833432682|공연이 끝나자 모두 박수를 쳤어요.|Everyone applauded when the performance ended.
2급 문법 7과 3항 2단어|색깔|||||color|802|무슨 색깔을 좋아하세요?|What color do you like?
2급 문법 14과 2항 14단어|멀리|||||far away|805|집이 학교에서 멀리 있어서 버스를 타고 다녀요.|My house is far away from school so I take the bus.
2급 읽이 19과 2항 6단어|오페라하우스|||||Opera House|805.927742854692|시드니 오페라하우스를 구경했어요.|I visited the Sydney Opera House.
2급 읽이 15과 2항 11단어|간단하다|간단해|간단합니다|간단하다|간단하면|to be simple or easy|807|이 요리법은 간단해서 쉽게 만들 수 있어요.|This recipe is simple so you can make it easily.
2급 읽이 3과 1항 9단어|위치|||||position|809|병원의 위치를 찾고 있어요.|I'm looking for the location of the hospital.
2급 문법 16과 2항 15단어|토픽(TOPIK)|||||Test of Proficiency in Korean|814.855968230404|토픽 시험을 보려고 열심히 공부하고 있어요.|I'm studying hard to take the TOPIK test.
2급 읽이 5과 2항 36단어|담다|담아|담습니다|담는다|담으면|to put in|818|그릇에 밥을 담아서 드세요.|Put rice in the bowl and eat.
2급 읽이 10과 2항 14단어|재학증명서|||||certificate of student registration|820.521150366403|장학금 신청을 위해 재학증명서가 필요해요.|I need a certificate of student registration for scholarship application.
2급 문법 20과 1항 2단어|강하다|강해|강합니다|강하다|강하면|to be strong|822|운동을 해서 몸이 강해졌어요.|My body became strong from exercising.
2급 읽이 1과 1항 14단어|다녀오다|다녀와|다녀옵니다|다녀온다|다녀오면|to go and then come back|826|은행에 다녀오겠습니다.|I'll go to the bank and come back.
2급 문법 3과 2항 1단어|다녀오다|다녀와|다녀옵니다|다녀온다|다녀오면|to go and return|826|잠깐 마트에 다녀올게요.|I'll quickly go to the mart and return.
2급 문법 5과 9항 24단어|두다|둬|둡니다|둔다|두면|to put or place|829|책을 책상 위에 두고 갔어요.|I left the book on the desk and went.
2급 문법 20과 2항 6단어|선크림|||||sunblock|834.03422718402|바다에 가기 전에 선크림을 발랐어요.|I applied sunblock before going to the beach.
2급 읽이 15과 2항 6단어|신용 카드|||||credit card|835.726969991811|온라인 쇼핑할 때 신용 카드를 사용해요.|I use a credit card when shopping online.
2급 문법 6과 9항 14단어|쓰다|써|씁니다|쓴다|쓰면|to use|840|연필을 써서 편지를 썼어요.|I wrote a letter using a pencil.
2급 읽이 4과 1항 6단어|불편하다|불편해|불편합니다|불편하다|불편하면|to be inconvenient or uncomfortable|841|신발이 작아서 불편해요.|The shoes are small so they're uncomfortable.
2급 문법 15과 1항 2단어|서비스|||||service|842|이 호텔은 서비스가 정말 좋아요.|This hotel has really good service.
2급 문법 18과 2항 1단어|결정하다|결정해|결정합니다|결정한다|결정하면|to decide|852|어느 대학교에 갈지 결정해야 해요.|I need to decide which university to go to.
2급 문법 16과 1항 22단어|상처|||||injury or wound|853|넘어져서 무릎에 상처가 났어요.|I fell and got a wound on my knee.
2급 읽이 5과 1항 26단어|치맥|||||chicken and beer|853.291448089294|친구들과 치맥을 즐겼어요.|I enjoyed chicken and beer with my friends.
2급 읽이 13과 2항 10단어|국제 특급|||||Express Mail Service|855.743343592621|중요한 서류를 국제 특급으로 보냈어요.|I sent important documents by Express Mail Service.
2급 읽이 9과 2항 5단어|연습|||||practice|858|피아노 연습을 매일 하고 있어요.|I practice piano every day.
2급 읽이 8과 2항 2단어|와인|||||wine|862|저녁 식사와 함께 와인을 마셨어요.|I drank wine with dinner.
2급 문법 2과 3항 1단어|귀|||||ear|864|음악을 크게 들으면 귀가 아파요.|My ears hurt when I listen to music loudly.
2급 읽이 7과 2항 14단어|홈쇼핑|||||home shopping|864.751903922297|홈쇼핑에서 옷을 주문했어요.|I ordered clothes from home shopping.
2급 문법 20과 1항 4단어|내리다|내려|내립니다|내린다|내리면|to come down|865|비가 내리기 시작했어요.|It started to rain.
2급 읽이 11과 1항 10단어|을지로 3가역|||||Euljiro 3(sam)-ga station|865.300550241955|을지로 3가역에서 내려서 걸었어요.|I got off at Euljiro 3-ga station and walked.
2급 읽이 17과 1항 18단어|드라마|||||drama|866|한국 드라마를 보면서 한국어를 배워요.|I learn Korean while watching Korean dramas.
2급 문법 19과 1항 1단어|-박|||||nights|866.359051899053|제주도에 2박으로 여행을 갔어요.|I went on a 2-night trip to Jeju Island.
2급 읽이 15과 1항 5단어|카페|||||café|868|친구와 카페에서 만나기로 했어요.|I decided to meet my friend at a café.
2급 읽이 4과 2항 5단어|정리하다|정리해|정리합니다|정리한다|정리하면|to arrange or organize|869|방을 깨끗하게 정리했어요.|I organized my room cleanly.
2급 문법 4과 3항 11단어|정리하다|정리해|정리합니다|정리한다|정리하면|to organize|869|수업 내용을 노트에 정리했어요.|I organized the class content in my notebook.
2급 읽이 12과 1항 8단어|학생증|||||student ID|871.542475069873|도서관에 들어갈 때 학생증이 필요해요.|You need a student ID to enter the library.
2급 읽이 13과 1항 15단어|다운로드받다|다운로드받아|다운로드받습니다|다운로드받는다|다운로드받으면|to download|878.786293440498|새 앱을 다운로드받아서 사용해 봤어요.|I downloaded a new app and tried using it.
2급 읽이 14과 1항 8단어|기능|||||skill or function|881|이 휴대폰은 카메라 기능이 좋아요.|This phone has good camera functions.
2급 문법 20과 2항 19단어|그러나|||||but or however|885.344946174882|열심히 공부했다. 그러나 시험이 어려웠다.|I studied hard. However, the test was difficult.
2급 문법 4과 9항 5단어|벽|||||wall|886|방 벽에 그림을 걸어 놓았어요.|I hung a picture on the room wall.
2급 읽이 2과 2항 5단어|삼촌|||||uncle (brother of one's father)|886.327533400618|삼촌이 선물을 사 주셨어요.|My uncle bought me a present.
2급 읽이 10과 1항 8단어|문화|||||culture|888|한국 문화에 대해 배우고 있어요.|I'm learning about Korean culture.
2급 읽이 13과 2항 19단어|팔다|팔아|팝니다|판다|팔면|to sell|893|중고 책을 온라인에서 팔았어요.|I sold used books online.
2급 문법 19과 2항 7단어|국내여행|||||domestic trip|897.50768255908|이번 휴가에는 국내여행을 할 계획이에요.|I plan to take a domestic trip this vacation.
2급 문법 11과 2항 12단어|막히다|막혀|막힙니다|막힌다|막히면|to be stuck|905|출근 시간에 길이 막혀서 늦었어요.|I was late because the road was stuck during rush hour.
2급 문법 20과 1항 6단어|남이섬|||||Nami Island|905.006716144271|가을에 남이섬에 가서 단풍을 봤어요.|I went to Nami Island in autumn and saw the autumn leaves.
2급 문법 15과 2항 14단어|늘|||||always|910.080097033642|그 사람은 늘 웃고 있어요.|That person is always smiling.
2급 문법 16과 1항 18단어|몸이 떨리다|몸이 떨려|몸이 떨립니다|몸이 떨린다|몸이 떨리면|to tremble in the body|917.171036708169|너무 추워서 몸이 떨려요.|My body is trembling because it's so cold.
2급 문법 17과 1항 5단어|가족영화|||||family movie|917.318692547269|주말에 아이들과 가족영화를 봤어요.|I watched a family movie with the children on the weekend.
2급 문법 18과 2항 13단어|초등학교|||||elementary school|922|초등학교 때 친구를 아직도 만나요.|I still meet friends from elementary school.
2급 문법 13과 2항 8단어|국제특급|||||Express Mail Service|924.682755372487|해외로 소포를 국제특급으로 보냈어요.|I sent a package overseas by Express Mail Service.
2급 문법 8과 3항 10단어|환영회|||||welcoming reception|925.935004954226|새로운 직원을 위한 환영회를 열었어요.|We held a welcoming reception for the new employee.
2급 문법 16과 1항 5단어|심하다|심해|심합니다|심하다|심하면|to be severe|931|어제 비가 심하게 내렸어요.|It rained severely yesterday.
2급 읽이 2과 1항 11단어|성격이 좋다|성격이 좋아|성격이 좋습니다|성격이 좋다|성격이 좋으면|to have a good personality|935.274349874817|우리 선생님은 성격이 좋아서 학생들이 좋아해요.|Our teacher has a good personality so students like her.
2급 문법 9과 9항 12단어|예순|||||sixty|937.186667579226|할머니는 올해 예순 살이세요.|My grandmother is sixty years old this year.
2급 문법 13과 1항 14단어|현금자동인출기|||||automatic teller machine (ATM)|939.488347969018|현금자동인출기에서 돈을 뽑으려고 줄을 섰어요.|I stood in line to withdraw money from the ATM.
2급 읽이 8과 1항 15단어|다들|||||everyone|940.291584585793|다들 시험 공부하느라 바쁘세요.|Everyone is busy studying for exams.
2급 읽이 14과 1항 4단어|동영상을 보다|동영상을 봐|동영상을 봅니다|동영상을 본다|동영상을 보면|to watch a video|943.801672779955|유튜브에서 요리 동영상을 봤어요.|I watched a cooking video on YouTube.
2급 읽이 20과 2항 17단어|목이 마르다|목이 말라|목이 마릅니다|목이 마른다|목이 마르면|to be thirsty|950.291084009223|운동 후에 목이 말라서 물을 마셨어요.|I was thirsty after exercising so I drank water.
2급 문법 2과 3항 6단어|코|||||nose|956|감기에 걸려서 코가 막혔어요.|My nose is stuffy because I caught a cold.
2급 읽이 18과 1항 8단어|순서대로|||||in order|958.751863450743|번호 순서대로 줄을 서 주세요.|Please line up in number order.
2급 읽이 1과 2항 16단어|자기소개서|||||personal statement|960.141227697022|취업을 위해 자기소개서를 썼어요.|I wrote a personal statement for employment.
2급 문법 16과 2항 10단어|두통약|||||headache medicine|961.086363415234|머리가 아파서 두통약을 먹었어요.|I took headache medicine because my head hurt.
2급 읽이 10과 1항 2단어|부탁이 있다|부탁이 있어|부탁이 있습니다|부탁이 있다|부탁이 있으면|to have a request|964.137240196578|친구에게 부탁이 있어서 전화했어요.|I called my friend because I have a request.
2급 문법 5과 8항 1단어|고기|||||meat|965.919683338143|채식주의자라서 고기를 먹지 않아요.|I don't eat meat because I'm a vegetarian.
2급 문법 2과 3항 8단어|무릎|||||knee|969|계단을 올라가다가 무릎이 아팠어요.|My knee hurt while going up the stairs.
2급 문법 16과 2항 4단어|치료|||||treatment|974|병원에서 치료를 받고 있어요.|I'm receiving treatment at the hospital.
2급 문법 14과 1항 2단어|고장나다|고장나|고장납니다|고장난다|고장나면|to break down or be broken|977.603159029968|컴퓨터가 고장나서 수리 맡겼어요.|My computer broke down so I had it repaired.
2급 문법 11과 1항 19단어|홍대입구역|||||Hongdae-ipgu Station|977.951461798511|홍대입구역에서 친구들과 만났어요.|I met my friends at Hongdae-ipgu Station.
2급 읽이 12과 1항 15단어|중간시험|||||midterm|982.516807387583|다음 주에 중간시험이 있어요.|I have midterm exams next week.
2급 문법 5과 9항 13단어|쓰레기|||||trash|984|쓰레기를 분리수거해서 버렸어요.|I separated and threw away the trash.
2급 문법 20과 2항 5단어|마스크|||||mask|987|미세먼지 때문에 마스크를 써요.|I wear a mask because of fine dust.
2급 문법 17과 1항 10단어|멜로영화|||||melodramatic movie|987.598911277019|여자 친구와 멜로영화를 봤어요.|I watched a melodramatic movie with my girlfriend.
2급 문법 2과 2항 2단어|성격|||||personality|994|성격이 비슷한 친구와 잘 지내요.|I get along well with friends who have similar personalities.
2급 문법 11과 1항 7단어|교통카드|||||transportation card|994.927233667113|지하철을 탈 때 교통카드를 사용해요.|I use a transportation card when taking the subway.
2급 읽이 17과 2항 4단어|강아지|||||puppy|995|귀여운 강아지를 키우고 싶어요.|I want to raise a cute puppy.
2급 읽이 7과 1항 17단어|매우|||||very or excessively|997.87359253969|오늘 날씨가 매우 춥네요.|The weather is very cold today.
2급 문법 11과 1항 23단어|누르다|눌러|누릅니다|누른다|누르면|to press or push|999|엘리베이터 버튼을 눌러 주세요.|Please press the elevator button.
2급 문법 16과 1항 8단어|감기|||||cold|999.564238707535|환절기에는 감기에 걸리기 쉬워요.|It's easy to catch a cold during seasonal changes.
2급 읽이 7과 1항 11단어|디자인|||||design|1001|이 옷의 디자인이 독특해서 마음에 들어요.|I like this clothing because its design is unique.
2급 읽이 12과 2항 9단어|휴학하다|휴학해|휴학합니다|휴학한다|휴학하면|to take time off from school|1004.26299974788|군대에 가기 위해 휴학했어요.|I took time off from school to go to the military.
2급 읽이 16과 2항 20단어|흔들다|흔들어|흔듭니다|흔든다|흔들면|to shake|1005|지진이 나서 건물이 흔들렸어요.|The building shook because of the earthquake.
2급 읽이 9과 2항 14단어|몸|||||body|1008|운동을 해서 몸이 건강해졌어요.|My body became healthy from exercising.
2급 읽이 11과 1항 9단어|당산역|||||Dangsan station|1008.64249409642|당산역에서 버스로 환승했어요.|I transferred to a bus at Dangsan station.
2급 문법 18과 1항 12단어|어른|||||adult|1010|어른들께 인사를 드렸어요.|I greeted the adults.
2급 문법 8과 9항 16단어|발로 차다|발로 차|발로 찹니다|발로 찬다|발로 차면|to kick|1013.71817023028|축구공을 발로 찼어요.|I kicked the soccer ball.
2급 문법 3과 3항 4단어|숲|||||forest|1014|주말에 숲에서 산책했어요.|I took a walk in the forest on the weekend.
2급 읽이 15과 2항 12단어|종류|||||type or sort|1018|과일 종류가 정말 많네요.|There are really many types of fruits.
2급 문법 19과 1항 9단어|교통편|||||transportation|1022.15146680828|공항까지 가는 교통편을 알아봤어요.|I looked into transportation to the airport.
2급 문법 3과 9항 4단어|불안하다|불안해|불안합니다|불안하다|불안하면|to be anxious|1025|시험 결과가 나올 때까지 불안해요.|I'm anxious until the test results come out.
2급 문법 16과 1항 20단어|낫다 2|나아|낫습니다|낫는다|나으면|to get well or recover|1025.79808572773|약을 먹으니까 몸이 나아졌어요.|My body got better after taking medicine.
2급 문법 4과 9항 7단어|수건|||||towel|1029.39661603887|샤워 후에 수건으로 몸을 닦았어요.|I dried my body with a towel after showering.
2급 문법 20과 1항 5단어|기온|||||temperature|1035|내일 기온이 많이 올라갈 예정이에요.|The temperature is expected to rise a lot tomorrow.
2급 읽이 11과 1항 16단어|사인회|||||autograph convention|1036.70922189485|좋아하는 가수의 사인회에 갔어요.|I went to my favorite singer's autograph convention.
2급 읽이 19과 2항 9단어|한옥 마을|||||Hanok Village|1039.53378775623|전주 한옥 마을을 구경했어요.|I toured Jeonju Hanok Village.
2급 읽이 9과 1항 23단어|씻다|씻어|씻습니다|씻는다|씻으면|to wash or cleanse|1040|잠자기 전에 얼굴을 씻어야 해요.|You need to wash your face before sleeping.
