Index|Korean|English|Frequency
2급 읽이 5과 2항 13단어|삼계탕|samgyetang (ginseng chicken broth)|10394
2급 문법 16과 2항 1단어|약사|pharmacist|10414
2급 문법 11과 2항 9단어|우회전|right turn|10431
2급 읽이 6과 1항 1단어|식료품|groceries|10524
2급 문법 15과 2항 9단어|미래|future|10539
2급 읽이 3과 1항 21단어|푸르다|to be blue|10582
2급 읽이 8과 1항 3단어|동호회|workplace club|10612
2급 읽이 4과 2항 15단어|룸메이트|roommate|10615
2급 읽이 2과 2항 9단어|외할아버지|grandfather on the mother's side|10631
2급 문법 6과 3항 2단어|참외|Korean melon|10671
2급 문법 11과 2항 10단어|좌회전|left turn|10699
2급 읽이 6과 2항 2단어|가전제품|electric home appliances|10716
2급 문법 19과 1항 20단어|항공권|airline ticket|10726
2급 문법 19과 1항 10단어|렌터카|rental car|10741
2급 문법 12과 2항 11단어|시간표|time schedule|10817
2급 읽이 14과 2항 4단어|남산|Namsan|10947
2급 읽이 11과 1항 13단어|열차|train|11066
2급 문법 20과 1항 20단어|개다|to clear up|11122
2급 읽이 8과 1항 2단어|동창회|alumni association|11196
2급 읽이 7과 2항 5단어|쇼핑백|shopping bag|11211
2급 읽이 2과 1항 13단어|경주|Gyeongju|11223
2급 읽이 12과 1항 9단어|시험장|examination hall|11224
2급 문법 17과 2항 14단어|엽서|postcard|11435
2급 읽이 5과 1항 19단어|설렁탕|Seolleongtang (beef and rice soup)|11594
2급 읽이 5과 2항 15단어|대추|jujube|11617
2급 읽이 2과 2항 11단어|큰아버지|uncle (older brother of one's father)|11731
2급 읽이 5과 2항 14단어|인삼|ginseng|11763
2급 문법 15과 2항 11단어|배달되다|to be delivered|12065
2급 읽이 9과 1항 6단어|바로|immediately|12117
2급 읽이 7과 1항 3단어|블라우스|blouse|12169
2급 문법 6과 9항 12단어|핸드백|handbag|12185
2급 읽이 19과 2항 11단어|먹을거리|things to eat|12202
2급 읽이 19과 1항 15단어|프런트|front desk|12265
2급 문법 6과 2항 5단어|방석|sitting cushion|12305
2급 읽이 2과 2항 13단어|돌잔치|baby's first year birthday party|12313
2급 문법 16과 1항 14단어|변비|constipation|12345
2급 읽이 7과 1항 7단어|운동복|sportswear|12365
2급 문법 13과 2항 1단어|소포|package or parcel|12441
2급 읽이 4과 1항 16단어|관리비|management expenses or utilities|12505
2급 문법 4과 3항 3단어|분식집|snack shop|12623
2급 읽이 6과 2항 13단어|생필품|daily necessity|12652
2급 문법 19과 1항 11단어|리포터|reporter|12799
2급 읽이 15과 2항 8단어|팥빙수|adzuki bean sherbert|12804
2급 문법 12과 2항 3단어|신청서|application or registration form|12844
2급 문법 6과 8항 4단어|세일하다|to be on sale; to have a sale|12891
2급 문법 20과 2항 15단어|설거지하다|to wash dishes|12910
2급 문법 17과 2항 10단어|당구|billiards|12970
2급 문법 16과 2항 16단어|한약|herbal medicine|13008
2급 문법 13과 2항 4단어|저울|scale|13083
2급 읽이 6과 1항 2단어|생활용품|living products|13221
2급 읽이 19과 2항 12단어|교통수단|transportation|13283
2급 문법 12과 2항 13단어|휴학|temporary absence from school|13577
2급 문법 6과 3항 1단어|감|persimmon|13600
2급 읽이 19과 1항 14단어|체크아웃|check-out|13685
2급 문법 18과 1항 13단어|윗사람|one's senior or elders|13905
2급 읽이 11과 1항 11단어|전동차|electric train|13913
2급 읽이 8과 2항 3단어|병문안|visiting someone who is sick|13982
2급 문법 11과 2항 15단어|직진|straight ahead|14035
2급 문법 18과 2항 6단어|계획표|time schedule|14469
2급 읽이 13과 2항 5단어|등기|registration|14648
2급 문법 4과 3항 4단어|이삿짐|goods to be moved|14936
2급 읽이 2과 2항 10단어|생신|birthday in honorific form|14996
2급 문법 16과 2항 8단어|감기약|cold medicine|15236
2급 읽이 2과 2항 17단어|고모부|uncle (husband of one's father's sister)|15578
2급 읽이 11과 2항 9단어|제시간|on time|15669
2급 읽이 8과 1항 11단어|뒤풀이|afterparty|15708
2급 읽이 20과 1항 14단어|나들이|outing|15800
2급 읽이 1과 2항 13단어|경영학|business administration|15853
2급 읽이 19과 1항 7단어|회비|fee|15908
2급 읽이 11과 1항 1단어|하차|getting off|15987
2급 문법 14과 2항 6단어|농구공|basketball|16173
2급 문법 5과 9항 11단어|요리법|recipe|16266
2급 문법 18과 1항 11단어|아랫사람|one's junior or subordinate|16324
2급 읽이 20과 2항 10단어|불국사|Bulguksa|17012
2급 읽이 4과 1항 9단어|하숙집|boardinghouse|17036
2급 읽이 6과 1항 6단어|이불|blanket|17096
2급 문법 20과 1항 9단어|열쇠고리|keychain|17158
2급 읽이 5과 1항 16단어|파전|Pajeon (green onion pan-fried in batter)|17176
2급 읽이 20과 2항 11단어|석굴암|Seokguram|17335
2급 문법 16과 2항 18단어|소화제|digestion medicine|17361
2급 문법 16과 1항 13단어|배탈|stomach disorder|17642
2급 문법 11과 2항 13단어|유턴|U-turn|17721
2급 문법 13과 1항 10단어|번호표|number ticket|17885
2급 문법 19과 1항 3단어|숙박하다|to lodge in or stay at|18133
2급 읽이 3과 1항 14단어|오슬로|Oslo|18137
2급 문법 8과 9항 6단어|부케|bouquet|18185
2급 문법 20과 1항 16단어|영하|sub-zero temperature|18297
2급 문법 16과 2항 3단어|소독약|antiseptic|18406
2급 읽이 15과 1항 7단어|기대|expectation|18543
2급 문법 5과 2항 4단어|양념하다|to season or flavor|18816
2급 읽이 13과 2항 17단어|할인율|discount rate|18914
2급 읽이 14과 2항 6단어|낮잠|nap|19251
2급 읽이 3과 1항 11단어|호찌민|Ho Chi Minh|19317
2급 읽이 7과 2항 18단어|체크무늬|checkered pattern|19451
2급 읽이 11과 2항 15단어|톨게이트|tollgate|19476
2급 문법 10과 2항 4단어|결석하다|to be absent|19579
2급 읽이 8과 2항 13단어|벽시계|wall clock|19822
2급 읽이 8과 2항 15단어|향초|scented candle|19921
2급 문법 11과 2항 6단어|좌회전하다|to make a left turn|19958
2급 읽이 8과 2항 6단어|디지털카메라|digital camera|20056
2급 문법 18과 2항 2단어|한|about|20100
2급 문법 1과 9항 5단어|법학|law|20265
2급 읽이 6과 2항 6단어|식당가|food court|20903
