Index|Korean|English
2급 문법 15과 1항 7단어|공휴일|legal holiday
2급 문법 15과 1항 8단어|날짜|date
2급 문법 15과 1항 9단어|마지막|last
2급 문법 15과 1항 10단어|말|the end
2급 문법 15과 1항 11단어|연락처|contact information
2급 문법 15과 1항 12단어|연말|end of the year
2급 문법 15과 1항 13단어|연초|beginning of the year
2급 문법 15과 1항 14단어|연휴|consecutive holidays
2급 문법 15과 1항 15단어|예약석|reserved seats
2급 문법 15과 1항 16단어|초|the beginning
2급 문법 15과 1항 17단어|평일|weekday
2급 문법 15과 1항 18단어|꺼내다|to take out or bring up
2급 문법 15과 1항 19단어|비다|to be empty
2급 문법 15과 2항 1단어|신용카드|credit card
2급 문법 15과 2항 2단어|이상|something wrong
2급 문법 15과 2항 3단어|현금|cash
2급 문법 15과 2항 4단어|결제하다|to make a payment
2급 문법 15과 2항 5단어|지난번|last time
2급 문법 15과 2항 6단어|금방|right away
2급 문법 15과 2항 7단어|과거|past
2급 문법 15과 2항 8단어|외출|going out
2급 문법 15과 2항 9단어|미래|future
2급 문법 15과 2항 10단어|현재|present
2급 문법 15과 2항 11단어|배달되다|to be delivered
2급 문법 15과 2항 12단어|배달시키다|to order for delivery
2급 문법 15과 2항 13단어|잊다|to forget
2급 문법 15과 2항 14단어|늘|always
2급 문법 15과 2항 15단어|아까|a short while ago
2급 문법 15과 2항 16단어|앞으로|in the future
2급 문법 16과 1항 1단어|열|fever
2급 문법 16과 1항 2단어|두통|headache
2급 문법 16과 1항 3단어|붓다¹|to swell up
2급 문법 16과 1항 4단어|나다|to have
2급 문법 16과 1항 5단어|심하다|to be severe
2급 문법 16과 1항 6단어|기침|cough
2급 문법 16과 1항 7단어|콧물|nose runnings or drippings
2급 문법 16과 1항 8단어|감기|cold
2급 문법 16과 1항 9단어|냄새|smell
2급 문법 16과 1항 10단어|소화|digestion
2급 문법 16과 1항 11단어|푹|completely or entirely
2급 문법 16과 1항 12단어|땀|sweat
2급 문법 16과 1항 13단어|배탈|stomach disorder
2급 문법 16과 1항 14단어|변비|constipation
2급 문법 16과 1항 15단어|사고|accident
2급 문법 16과 1항 16단어|뜨겁다|to be hot
2급 문법 16과 1항 17단어|목이 쉬다|to have a hoarse throat
2급 문법 16과 1항 18단어|몸이 떨리다|to tremble in the body
2급 문법 16과 1항 19단어|긋다|to draw a line
2급 문법 16과 1항 20단어|낫다²|to get well or recover
2급 문법 16과 1항 21단어|낫다¹|to be better
2급 문법 16과 1항 22단어|상처|injury or wound
2급 문법 16과 1항 23단어|피|blood
2급 문법 16과 1항 24단어|붓다²|to pour
2급 문법 16과 1항 25단어|잇다|to join or connect
2급 문법 16과 1항 26단어|젓다|to stir
2급 문법 16과 1항 27단어|짓다|to build
2급 문법 16과 2항 1단어|약사|pharmacist
2급 문법 16과 2항 2단어|다치다|to get hurt or injured
2급 문법 16과 2항 3단어|소독약|antiseptic
2급 문법 16과 2항 4단어|치료|treatment
2급 문법 16과 2항 5단어|건강보험|health insurance
2급 문법 16과 2항 6단어|바르다|to apply
2급 문법 16과 2항 7단어|치료비|medical fee
2급 문법 16과 2항 8단어|감기약|cold medicine
2급 문법 16과 2항 9단어|기침약|cough medicine
2급 문법 16과 2항 10단어|두통약|headache medicine
2급 문법 16과 2항 11단어|몸무게|person's weight
2급 문법 16과 2항 12단어|변비약|constipation medicine
2급 문법 16과 2항 13단어|선풍기|electric fan
2급 문법 16과 2항 14단어|이상|the above
2급 문법 16과 2항 15단어|토픽(TOPIK)|Test of Proficiency in Korean
2급 문법 16과 2항 16단어|한약|herbal medicine
2급 문법 16과 2항 17단어|줄이다|to reduce
2급 문법 16과 2항 18단어|소화제|digestion medicine
2급 문법 16과 2항 19단어|점수|score
2급 문법 17과 1항 1단어|관심|interest
2급 문법 17과 1항 2단어|즐기다|to enjoy
2급 문법 17과 1항 3단어|아무리|no matter how
2급 문법 17과 1항 4단어|무료|free
2급 문법 17과 1항 5단어|가족영화|family movie
2급 문법 17과 1항 6단어|공상과학영화|science fiction movie
2급 문법 17과 1항 7단어|공포영화|horror movie
2급 문법 17과 1항 8단어|동물|animal
2급 문법 17과 1항 9단어|록|rock
2급 문법 17과 1항 10단어|멜로영화|melodramatic movie
2급 문법 17과 1항 11단어|세계|world
2급 문법 17과 1항 12단어|달리다|to run
2급 문법 17과 1항 13단어|만화영화|animated film
2급 문법 17과 1항 14단어|전쟁영화|war movie
2급 문법 17과 2항 1단어|피아노|piano
2급 문법 17과 2항 2단어|치다|to play (the piano)
2급 문법 17과 2항 3단어|조깅하다|to go jogging
2급 문법 17과 2항 4단어|낚시하다|to fish
2급 문법 17과 2항 5단어|기타|guitar
2급 문법 17과 2항 6단어|동전|copper coin
2급 문법 17과 2항 7단어|만화책|comic book
2급 문법 17과 2항 8단어|볼링|bowling
2급 문법 17과 2항 9단어|연극|play
2급 문법 17과 2항 10단어|당구|billiards
2급 문법 17과 2항 11단어|드럼|drum
2급 문법 17과 2항 12단어|물고기|fish
2급 문법 17과 2항 13단어|새|bird
2급 문법 17과 2항 14단어|엽서|postcard
2급 문법 17과 2항 15단어|오토바이|motorcycle
2급 문법 17과 2항 16단어|팩스|fax
2급 문법 17과 2항 17단어|매다|to tie up
2급 문법 17과 2항 18단어|키우다|to bring up or raise
2급 문법 17과 2항 19단어|올리다|to raise or lift up
2급 문법 18과 1항 1단어|경험|experience
2급 문법 18과 1항 2단어|쌓다|to accumulate or gain
2급 문법 18과 1항 3단어|벌다|to make or earn (money)
2급 문법 18과 1항 4단어|학원|academy
2급 문법 18과 1항 5단어|밤|night
2급 문법 18과 1항 6단어|겉|surface
2급 문법 18과 1항 7단어|낮|day
2급 문법 18과 1항 8단어|미리|ahead of time
2급 문법 18과 1항 9단어|바깥|outside
2급 문법 18과 1항 10단어|속|inside
2급 문법 18과 1항 11단어|아랫사람|one's junior or subordinate
2급 문법 18과 1항 12단어|어른|adult
2급 문법 18과 1항 13단어|윗사람|one's senior or elders
2급 문법 18과 1항 14단어|연기하다|to postpone
2급 문법 18과 2항 1단어|결정하다|to decide
2급 문법 18과 2항 2단어|한|about
2급 문법 18과 2항 3단어|유학|international study
2급 문법 18과 2항 4단어|정도|around
2급 문법 18과 2항 5단어|출국하다|to depart from a country
2급 문법 18과 2항 6단어|계획표|time schedule
2급 문법 18과 2항 7단어|고등학교|senior high school
2급 문법 18과 2항 8단어|매주|every week
2급 문법 18과 2항 9단어|매년|every year
2급 문법 18과 2항 10단어|매달|every month
2급 문법 18과 2항 11단어|유치원|Kindergarten
2급 문법 18과 2항 12단어|중학교|middle school
2급 문법 18과 2항 13단어|초등학교|elementary school
2급 문법 18과 2항 14단어|입학하다|to enter into a school
2급 문법 19과 1항 1단어|-박|nights
2급 문법 19과 1항 2단어|-일|days
2급 문법 19과 1항 3단어|숙박하다|to lodge in or stay at
2급 문법 19과 1항 4단어|시설|facility
2급 문법 19과 1항 5단어|풍경|scenery
2급 문법 19과 1항 6단어|그렇게|like that
2급 문법 19과 1항 7단어|객실|guestroom
2급 문법 19과 1항 8단어|기념품|souvenir
2급 문법 19과 1항 9단어|교통편|transportation
2급 문법 19과 1항 10단어|렌터카|rental car
2급 문법 19과 1항 11단어|리포터|reporter
2급 문법 19과 1항 12단어|여행자보험|traveler's insurance
2급 문법 19과 1항 13단어|여행지|one's destination in travel
2급 문법 19과 1항 14단어|예절|courtesy or manners
2급 문법 19과 1항 15단어|왕복|roundtrip
2급 문법 19과 1항 16단어|전망|view
2급 문법 19과 1항 17단어|편도|one-way
2급 문법 19과 1항 18단어|일정|itinerary
2급 문법 19과 1항 19단어|팬|fan
2급 문법 19과 1항 20단어|항공권|airline ticket
2급 문법 19과 2항 1단어|해외여행|overseas trip
2급 문법 19과 2항 2단어|볼거리|things to see
2급 문법 19과 2항 3단어|유물|relic
2급 문법 19과 2항 4단어|옛날|ancient times
2급 문법 19과 2항 5단어|신기하다|to be wonderful or marvelous
2급 문법 19과 2항 6단어|가족여행|family trip
2급 문법 19과 2항 7단어|국내여행|domestic trip
2급 문법 19과 2항 8단어|단체관광|group tour
2급 문법 19과 2항 9단어|배낭여행|backpacking
2급 문법 19과 2항 10단어|수학여행|school trip
2급 문법 19과 2항 11단어|자유여행|free traveling
2급 문법 20과 1항 1단어|계속|continuously
2급 문법 20과 1항 2단어|강하다|to be strong
2급 문법 20과 1항 3단어|그냥|just
2급 문법 20과 1항 4단어|내리다|to come down
2급 문법 20과 1항 5단어|기온|temperature
2급 문법 20과 1항 6단어|남이섬|Nami Island
2급 문법 20과 1항 7단어|미세먼지|fine dust
2급 문법 20과 1항 8단어|습관|habit
2급 문법 20과 1항 9단어|열쇠고리|keychain
2급 문법 20과 1항 10단어|춘천|Chuncheon
2급 문법 20과 1항 11단어|강하다|to be strong
2급 문법 20과 1항 12단어|그치다|to stop
2급 문법 20과 1항 13단어|습하다|to be humid
2급 문법 20과 1항 14단어|안개|mist or fog
2급 문법 20과 1항 15단어|영상|video
2급 문법 20과 1항 16단어|영하|sub-zero temperature
2급 문법 20과 1항 17단어|최고|highest
2급 문법 20과 1항 18단어|최저|lowest
2급 문법 20과 1항 19단어|태풍|typhoon
2급 문법 20과 1항 20단어|개다|to clear up
2급 문법 20과 1항 21단어|끼다|to gather or envelop
2급 문법 20과 2항 1단어|종일|all day
2급 문법 20과 2항 2단어|그러면|then
2급 문법 20과 2항 3단어|오르다|to go up
2급 문법 20과 2항 4단어|햇빛|sunlight or sunshine
2급 문법 20과 2항 5단어|마스크|mask
2급 문법 20과 2항 6단어|선크림|sunblock
2급 문법 20과 2항 7단어|장화|boots
2급 문법 20과 2항 8단어|비옷|raincoat
2급 문법 20과 2항 9단어|실내|indoors
2급 문법 20과 2항 10단어|집안일|household matters
2급 문법 20과 2항 11단어|환기|ventilation
2급 문법 20과 2항 12단어|걸레질하다|to wipe with a damp cloth
2급 문법 20과 2항 13단어|다림질하다|to iron
2급 문법 20과 2항 14단어|쓸다|to sweep
2급 문법 20과 2항 15단어|설거지하다|to wash dishes
2급 문법 20과 2항 16단어|졸리다|to become sleepy
2급 문법 20과 2항 17단어|그래도|but
2급 문법 20과 2항 18단어|왜냐하면|because
2급 문법 20과 2항 19단어|그러나|but or however
2급 문법 20과 2항 20단어|하지만|but or however
2급 읽이 11과 1항 1단어|하차|getting off
2급 읽이 11과 1항 2단어|벨|bell
2급 읽이 11과 1항 3단어|누르다|to press or push
2급 읽이 11과 1항 4단어|노선도|route map
2급 읽이 11과 1항 5단어|단말기|card reader
2급 읽이 11과 1항 6단어|교통 카드|transportation card
2급 읽이 11과 1항 7단어|대다|to put or apply
2급 읽이 11과 1항 8단어|특실|first class
2급 읽이 11과 1항 9단어|당산역|Dangsan station
2급 읽이 11과 1항 10단어|을지로 3가역|Euljiro 3(sam)-ga station
2급 읽이 11과 1항 11단어|전동차|electric train
2급 읽이 11과 1항 12단어|승강장|platform
2급 읽이 11과 1항 13단어|열차|train
2급 읽이 11과 1항 14단어|압구정역|Apgujeong station
2급 읽이 11과 1항 15단어|팬|fan
2급 읽이 11과 1항 16단어|사인회|autograph convention
2급 읽이 11과 2항 1단어|우회전|right turn
2급 읽이 11과 2항 2단어|유턴|U-turn
2급 읽이 11과 2항 3단어|주차|parking
2급 읽이 11과 2항 4단어|반대|opposite
2급 읽이 11과 2항 5단어|세우다|to stop
2급 읽이 11과 2항 6단어|체육관|gym
2급 읽이 11과 2항 7단어|밀리다|to be backed up
2급 읽이 11과 2항 8단어|퇴근|leave one's office or get off of work
2급 읽이 11과 2항 9단어|제시간|on time
2급 읽이 11과 2항 10단어|그냥|just
2급 읽이 11과 2항 11단어|좌회전|left turn
2급 읽이 11과 2항 12단어|내비게이션|navigation
2급 읽이 11과 2항 13단어|기억에 남다|to remain in one's memory
2급 읽이 11과 2항 14단어|건너편|opposite side
2급 읽이 11과 2항 15단어|톨게이트|tollgate
2급 읽이 11과 2항 16단어|주차료|parking fee
2급 읽이 11과 2항 17단어|직진|straight ahead
2급 읽이 11과 2항 18단어|돌리다|to turn around
2급 읽이 12과 1항 1단어|끝나다|to finish
2급 읽이 12과 1항 2단어|마치다|to finish
2급 읽이 12과 1항 3단어|기억하다|to remember
2급 읽이 12과 1항 4단어|연습하다|to practice
2급 읽이 12과 1항 5단어|질문하다|to ask a question
2급 읽이 12과 1항 6단어|대답하다|to reply or answer
2급 읽이 12과 1항 7단어|버튼|button
2급 읽이 12과 1항 8단어|학생증|student ID
2급 읽이 12과 1항 9단어|시험장|examination hall
2급 읽이 12과 1항 10단어|점|point
2급 읽이 12과 1항 11단어|문장|sentence
2급 읽이 12과 1항 12단어|지각하다|to be tardy or late
2급 읽이 12과 1항 13단어|천천히|slowly
2급 읽이 12과 1항 14단어|마다|each
2급 읽이 12과 1항 15단어|중간시험|midterm
2급 읽이 12과 2항 1단어|등록하다|to register
2급 읽이 12과 2항 2단어|신청서|registration form
2급 읽이 12과 2항 3단어|신청 기간|registration period
2급 읽이 12과 2항 4단어|신청 결과|registration result
2급 읽이 12과 2항 5단어|확인하다|to confirm
2급 읽이 12과 2항 6단어|등록금|registration fee
2급 읽이 12과 2항 7단어|홈페이지|homepage
2급 읽이 12과 2항 8단어|등록취소|cancellation of registration
2급 읽이 12과 2항 9단어|휴학하다|to take time off from school
2급 읽이 12과 2항 10단어|언어 교환|language exchange
2급 읽이 12과 2항 11단어|외국어|foreign language
2급 읽이 12과 2항 12단어|정확하다|to be correct or exact
2급 읽이 12과 2항 13단어|오리엔테이션|orientation
2급 읽이 12과 2항 14단어|모든|all
2급 읽이 12과 2항 15단어|편|counting word for movies, poems, or musicals
2급 읽이 12과 2항 16단어|관심이 있다|to have an interest
2급 읽이 13과 1항 1단어|현금 자동 인출기|automatic teller machine (ATM)
2급 읽이 13과 1항 2단어|통장|bankbook
2급 읽이 13과 1항 3단어|계좌|account
2급 읽이 13과 1항 4단어|비밀번호|password
2급 읽이 13과 1항 5단어|현금|cash
2급 읽이 13과 1항 6단어|번호표|number ticket
2급 읽이 13과 1항 7단어|뽑다|to pull out
2급 읽이 13과 1항 8단어|서명|signature
2급 읽이 13과 1항 9단어|인터넷 뱅킹|online banking
2급 읽이 13과 1항 10단어|환전|exchange of money
2급 읽이 13과 1항 11단어|환율|exchange rate
2급 읽이 13과 1항 12단어|원화|the Korean won
2급 읽이 13과 1항 13단어|인터넷 전문은행|Internet-only bank
2급 읽이 13과 1항 14단어|앱|application
2급 읽이 13과 1항 15단어|다운로드받다|to download
2급 읽이 13과 2항 1단어|우편번호|zip code
2급 읽이 13과 2항 2단어|서비스|service
2급 읽이 13과 2항 3단어|배편|by ship
2급 읽이 13과 2항 4단어|부치다|to send or ship
2급 읽이 13과 2항 5단어|등기|registration
2급 읽이 13과 2항 6단어|항공편|by airmail
2급 읽이 13과 2항 7단어|엽서|postcard
2급 읽이 13과 2항 8단어|우편|mail service
2급 읽이 13과 2항 9단어|소포|package or parcel
2급 읽이 13과 2항 10단어|국제 특급|Express Mail Service
2급 읽이 13과 2항 11단어|길이|length
2급 읽이 13과 2항 12단어|이상|past or above
2급 읽이 13과 2항 13단어|가격|price
2급 읽이 13과 2항 14단어|상자|box
2급 읽이 13과 2항 15단어|무게|weight
2급 읽이 13과 2항 16단어|크기|size
2급 읽이 13과 2항 17단어|할인율|discount rate
2급 읽이 13과 2항 18단어|하루|one day
2급 읽이 13과 2항 19단어|팔다|to sell
2급 읽이 14과 1항 1단어|통화하다|to speak over the phone
2급 읽이 14과 1항 2단어|계산하다|to calculate
2급 읽이 14과 1항 3단어|녹음하다|to record
2급 읽이 14과 1항 4단어|동영상을 보다|to watch a video
2급 읽이 14과 1항 5단어|음성 메시지|voice message
2급 읽이 14과 1항 6단어|검색하다|to search
2급 읽이 14과 1항 7단어|속도|speed
2급 읽이 14과 1항 8단어|기능|skill or function
2급 읽이 14과 1항 9단어|기사|news or article
2급 읽이 14과 1항 10단어|청소년|adolescents or teenagers
2급 읽이 14과 1항 11단어|위험하다|to be dangerous
2급 읽이 14과 1항 12단어|글씨|letter or writing
2급 읽이 14과 2항 1단어|함께|together
2급 읽이 14과 2항 2단어|출발하다|to depart
2급 읽이 14과 2항 3단어|남기다|to leave
2급 읽이 14과 2항 4단어|남산|Namsan
2급 읽이 14과 2항 5단어|서울역|Seoul Station
2급 읽이 14과 2항 6단어|낮잠|nap
2급 읽이 14과 2항 7단어|깜빡하다|to forget
2급 읽이 14과 2항 8단어|기쁘다|to be joyful
2급 읽이 14과 2항 9단어|꼭|surely
2급 읽이 15과 1항 1단어|기회|opportunity
2급 읽이 15과 1항 2단어|날짜|date
2급 읽이 15과 1항 3단어|예약석|reserved seats
2급 읽이 15과 1항 4단어|분위기|atmosphere
2급 읽이 15과 1항 5단어|카페|café
2급 읽이 15과 1항 6단어|계속|continuously
2급 읽이 15과 1항 7단어|기대|expectation
2급 읽이 15과 1항 8단어|공휴일|legal holiday
2급 읽이 15과 1항 9단어|연말|end of the year
2급 읽이 15과 1항 10단어|잠시만요|please hold
2급 읽이 15과 1항 11단어|성함|name
2급 읽이 15과 1항 12단어|마지막|last
2급 읽이 15과 1항 13단어|경험|experience
2급 읽이 15과 1항 14단어|알리다|to let know or inform
2급 읽이 15과 1항 15단어|뷔페|buffet
2급 읽이 15과 2항 1단어|주문하다|to order
2급 읽이 15과 2항 2단어|배달하다|to deliver
2급 읽이 15과 2항 3단어|배달되다|to be delivered
2급 읽이 15과 2항 4단어|배달 시키다|to order for delivery
2급 읽이 15과 2항 5단어|판|counting word for a whole pizza
2급 읽이 15과 2항 6단어|신용 카드|credit card
2급 읽이 15과 2항 7단어|결제하다|to make a payment
2급 읽이 15과 2항 8단어|팥빙수|adzuki bean sherbert
2급 읽이 15과 2항 9단어|늘|always
2급 읽이 15과 2항 10단어|방금|just now
2급 읽이 15과 2항 11단어|간단하다|to be simple or easy
2급 읽이 15과 2항 12단어|종류|type or sort
2급 읽이 15과 2항 13단어|거리|distance
2급 읽이 15과 2항 14단어|점수|point
2급 읽이 15과 2항 15단어|파스타|pasta
2급 읽이 15과 2항 16단어|배달비|delivery fee
2급 읽이 15과 2항 17단어|장바구니|shopping cart
2급 읽이 16과 1항 1단어|속|inside or stomach
2급 읽이 16과 1항 2단어|붓다|to swell up
2급 읽이 16과 1항 3단어|감기에 걸리다|to catch a cold
2급 읽이 16과 1항 4단어|환자|patient
2급 읽이 16과 1항 5단어|배탈나다|to have a stomach disorder
2급 읽이 16과 1항 6단어|소화|digestion
2급 읽이 16과 1항 7단어|변비|constipation
2급 읽이 16과 1항 8단어|기침을 하다|to cough
2급 읽이 16과 1항 9단어|열이 나다|to have a fever
2급 읽이 16과 1항 10단어|넘어지다|to fall down
2급 읽이 16과 1항 11단어|검사|exam
2급 읽이 16과 1항 12단어|깁스를 하다|to wear a cast
2급 읽이 16과 1항 13단어|짓다|to make or build
2급 읽이 16과 1항 14단어|낫다|to recover or get well
2급 읽이 16과 1항 15단어|차다|to be cold
2급 읽이 16과 1항 16단어|심하다|to be severe
2급 읽이 16과 1항 17단어|콧물이 나다|to have a runny nose
2급 읽이 16과 2항 1단어|기침약|cough medicine
2급 읽이 16과 2항 2단어|소독약|antiseptic
2급 읽이 16과 2항 3단어|소화제|digestion medicine
2급 읽이 16과 2항 4단어|두통|headache
2급 읽이 16과 2항 5단어|두통약|headache medicine
2급 읽이 16과 2항 6단어|변비약|constipation medicine
2급 읽이 16과 2항 7단어|한약|herbal medicine
2급 읽이 16과 2항 8단어|종합|comprehensive
2급 읽이 16과 2항 9단어|감기약|cold medicine
2급 읽이 16과 2항 10단어|수술을 받다|to get a surgery
2급 읽이 16과 2항 11단어|바르다|to apply
2급 읽이 16과 2항 12단어|입원|admittance to the hospital
2급 읽이 16과 2항 13단어|평소|usually
2급 읽이 16과 2항 14단어|도움|help
2급 읽이 16과 2항 15단어|상처|injury or wound
2급 읽이 16과 2항 16단어|다치다|to get injured
2급 읽이 16과 2항 17단어|치료|treatment
2급 읽이 16과 2항 18단어|어린이|child
2급 읽이 16과 2항 19단어|알|pill
2급 읽이 16과 2항 20단어|흔들다|to shake
2급 읽이 17과 1항 1단어|코미디|comedy
2급 읽이 17과 1항 2단어|공포|horror
2급 읽이 17과 1항 3단어|웃다|to laugh
2급 읽이 17과 1항 4단어|세상|world
2급 읽이 17과 1항 5단어|장면|scene
2급 읽이 17과 1항 6단어|액션|action
2급 읽이 17과 1항 7단어|공상 과학|science fiction
2급 읽이 17과 1항 8단어|미래|future
2급 읽이 17과 1항 9단어|로맨틱하다|to be romantic
2급 읽이 17과 1항 10단어|거의|almost or hardly
2급 읽이 17과 1항 11단어|이상하다|to be strange
2급 읽이 17과 1항 12단어|볼링|bowling
2급 읽이 17과 1항 13단어|즐기다|to enjoy or have a good time
2급 읽이 17과 1항 14단어|세|years old
2급 읽이 17과 1항 15단어|등|etc.
2급 읽이 17과 1항 16단어|결과|result
2급 읽이 17과 1항 17단어|이후|after
2급 읽이 17과 1항 18단어|드라마|drama
2급 읽이 17과 2항 1단어|동전|copper coin
2급 읽이 17과 2항 2단어|당구|billiards
2급 읽이 17과 2항 3단어|연극|play
2급 읽이 17과 2항 4단어|강아지|puppy
2급 읽이 17과 2항 5단어|드럼|drum
2급 읽이 17과 2항 6단어|피아노|piano
2급 읽이 17과 2항 7단어|우표|stamp
2급 읽이 17과 2항 8단어|키우다|to raise
2급 읽이 17과 2항 9단어|모으다|to collect
2급 읽이 17과 2항 10단어|잡다|to catch
2급 읽이 17과 2항 11단어|소파|sofa
2급 읽이 17과 2항 12단어|밴드|band
2급 읽이 17과 2항 13단어|악기|musical instrument
2급 읽이 17과 2항 14단어|펜팔|penpal
2급 읽이 17과 2항 15단어|옛날|long ago
2급 읽이 17과 2항 16단어|책장|bookshelf
2급 읽이 17과 2항 17단어|모습|appearance
2급 읽이 18과 1항 1단어|벌다|to make or earn (money)
2급 읽이 18과 1항 2단어|취소하다|to cancel
2급 읽이 18과 1항 3단어|연기하다|to postpone
2급 읽이 18과 1항 4단어|학원|academy
2급 읽이 18과 1항 5단어|낮|daytime
2급 읽이 18과 1항 6단어|쌓다|to accumulate or gain
2급 읽이 18과 1항 7단어|케이티엑스|KTX(Korea Train eXpress)
2급 읽이 18과 1항 8단어|순서대로|in order
2급 읽이 18과 1항 9단어|계획대로|as planned
2급 읽이 18과 1항 10단어|게으르다|to be lazy
2급 읽이 18과 1항 11단어|도전하다|to challenge
2급 읽이 18과 2항 1단어|결정하다|to decide
2급 읽이 18과 2항 2단어|유학하다|to study abroad
2급 읽이 18과 2항 3단어|출국하다|to depart from a country
2급 읽이 18과 2항 4단어|사업을 하다|to do business
2급 읽이 18과 2항 5단어|한|about
2급 읽이 18과 2항 6단어|정도|around
2급 읽이 18과 2항 7단어|관계|relationship
2급 읽이 18과 2항 8단어|걱정이 되다|to be worried
2급 읽이 18과 2항 9단어|증권사|securities company
2급 읽이 18과 2항 10단어|매주|every week
2급 읽이 19과 1항 1단어|주변|nearby
2급 읽이 19과 1항 2단어|여행지|travel destination
2급 읽이 19과 1항 3단어|여행 기간|travel period
2급 읽이 19과 1항 4단어|-박 -일|_days and _ nights
2급 읽이 19과 1항 5단어|숙박 시설|accommodations
2급 읽이 19과 1항 6단어|교통편|transportation
2급 읽이 19과 1항 7단어|회비|fee
2급 읽이 19과 1항 8단어|바비큐|barbeque
2급 읽이 19과 1항 9단어|이용하다|to use
2급 읽이 19과 1항 10단어|전망|view
2급 읽이 19과 1항 11단어|요금|charge or rate
2급 읽이 19과 1항 12단어|여행 일정|itinerary
2급 읽이 19과 1항 13단어|체크인|check-in
2급 읽이 19과 1항 14단어|체크아웃|check-out
2급 읽이 19과 1항 15단어|프런트|front desk
2급 읽이 19과 1항 16단어|렌터카|rental car
2급 읽이 19과 1항 17단어|기념품|souvenir
2급 읽이 19과 1항 18단어|해변|seashore or beach
2급 읽이 19과 2항 1단어|수학여행|school trip
2급 읽이 19과 2항 2단어|단체 관광|group tour
2급 읽이 19과 2항 3단어|해외여행|overseas trip
2급 읽이 19과 2항 4단어|유물|relic
2급 읽이 19과 2항 5단어|가이드|tour guide
2급 읽이 19과 2항 6단어|오페라하우스|Opera House
2급 읽이 19과 2항 7단어|국립|National
2급 읽이 19과 2항 8단어|전주|Jeonju
2급 읽이 19과 2항 9단어|한옥 마을|Hanok Village
2급 읽이 19과 2항 10단어|볼거리|things to see
2급 읽이 19과 2항 11단어|먹을거리|things to eat
2급 읽이 19과 2항 12단어|교통수단|transportation
2급 읽이 19과 2항 13단어|야경|night view
2급 읽이 19과 2항 14단어|마을|village
2급 읽이 19과 2항 15단어|편안하다|to be comfortable
2급 읽이 19과 2항 16단어|항공권|airline ticket
2급 읽이 20과 1항 1단어|태풍|typhoon
2급 읽이 20과 1항 2단어|습하다|to be humid
2급 읽이 20과 1항 3단어|강하다|to be strong
2급 읽이 20과 1항 4단어|개다|to clear up
2급 읽이 20과 1항 5단어|그치다|to stop
2급 읽이 20과 1항 6단어|끼다|to gather or envelop
2급 읽이 20과 1항 7단어|불다|to blow
2급 읽이 20과 1항 8단어|목도리|scarf
2급 읽이 20과 1항 9단어|비구름|rain cloud
2급 읽이 20과 1항 10단어|겉|outside
2급 읽이 20과 1항 11단어|차이|difference
2급 읽이 20과 1항 12단어|안개|mist or fog
2급 읽이 20과 1항 13단어|기온|temperature
2급 읽이 20과 1항 14단어|나들이|outing
2급 읽이 20과 1항 15단어|최고|best or maximum
2급 읽이 20과 1항 16단어|최저|lowest or minimum
2급 읽이 20과 1항 17단어|평년|common year
2급 읽이 20과 1항 18단어|영하|sub-zero temperature
2급 읽이 20과 1항 19단어|영상|above zero degrees
2급 읽이 20과 1항 20단어|도|degree
2급 읽이 20과 1항 21단어|일기예보|weather forecast
2급 읽이 20과 1항 22단어|외출하다|to go out
2급 읽이 20과 2항 1단어|미세먼지|fine dust
2급 읽이 20과 2항 2단어|환기|ventilation
2급 읽이 20과 2항 3단어|마스크|mask
2급 읽이 20과 2항 4단어|장화|boots
2급 읽이 20과 2항 5단어|비옷|raincoat
2급 읽이 20과 2항 6단어|선글라스|sunglasses
2급 읽이 20과 2항 7단어|선크림|sunblock
2급 읽이 20과 2항 8단어|실내|indoor
2급 읽이 20과 2항 9단어|여의도공원|Yeouido Park
2급 읽이 20과 2항 10단어|불국사|Bulguksa
2급 읽이 20과 2항 11단어|석굴암|Seokguram
2급 읽이 20과 2항 12단어|방송|broadcasting
2급 읽이 20과 2항 13단어|짜증나다|to be irritated
2급 읽이 20과 2항 14단어|공기 청정기|air purifier
2급 읽이 20과 2항 15단어|창문|window
2급 읽이 20과 2항 16단어|땀 흘리다|to sweat
2급 읽이 20과 2항 17단어|목이 마르다|to be thirsty
2급 읽이 20과 2항 18단어|바깥|outside
2급 문법 1과 2항 1단어|지내다|to spend one's time
2급 문법 1과 2항 2단어|오랜만이다|long time no see
2급 문법 1과 2항 3단어|즐겁다|to be fun or be happy
2급 문법 1과 2항 4단어|점점|eventually
2급 문법 1과 2항 5단어|익숙하다|to be used to
2급 문법 1과 3항 10단어|건강하다|to be healthy
2급 문법 1과 3항 11단어|그만두다|to quit
2급 문법 1과 3항 12단어|다니다|to attend or go
2급 문법 1과 3항 1단어|광고 회사|advertising company
2급 문법 1과 3항 2단어|무역 회사|trading company
2급 문법 1과 3항 3단어|방송국|broadcasting station
2급 문법 1과 3항 4단어|신문사|newspaper publishing company
2급 문법 1과 3항 5단어|잡지사|magazine company
2급 문법 1과 3항 6단어|출판사|publishing company
2급 문법 1과 3항 7단어|항공사|airline company
2급 문법 1과 3항 8단어|직장|job
2급 문법 1과 3항 9단어|사귀다|to make friends
2급 문법 1과 8항 1단어|대학원|graduate school
2급 문법 1과 8항 2단어|열심히|diligently
