Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Korean Chunk 1|English Chunk 1|Korean Chunk 2|English Chunk 2
239|8|2|Dialogue|적당히|appropriately|適當히|fit, appropriate, adverb|적당히 먹다|to eat moderately|적당히 운동|moderate exercise
240|8|2|Dialogue|정신없이|busily|精神없이|spirit, soul, without, adverb|정신없이 바쁘다|extremely busy|정신없이 보내다|to spend busily
241|8|2|Expanded|운동부족|lack of exercise|運動不足|move, action, not, sufficient|운동부족 문제|lack of exercise problem|운동부족 해소|solving lack of exercise
242|8|2|Expanded|근육이생기다|to develop muscles|筋肉이生기다|muscle, flesh, subject, arise, do|근육이 생기다|to develop muscles|생긴 근육|developed muscles
243|8|2|Expanded|살이빠지다|to lose weight||flesh, subject, fall out, do|살이 빠지다|to lose weight|빠진 살|lost weight
244|8|2|Expanded|살이찌다|to gain weight||flesh, subject, become fat, do|살이 찌다|to gain weight|찐 살|gained weight
245|8|2|Expanded|운동량이늘다|to have an increase in exercise amount|運動量이늘다|move, action, amount, subject, increase, do|운동량이 늘다|exercise amount increases|늘린 운동량|increased exercise amount
246|8|2|Expanded|피로가쌓이다|to have an increase in fatigue|疲勞가쌓이다|tired, labor, subject, accumulate, do|피로가 쌓이다|fatigue accumulates|쌓인 피로|accumulated fatigue
247|8|2|Expanded|피로가풀리다|to have less fatigue|疲勞가풀리다|tired, labor, subject, be released, do|피로가 풀리다|fatigue is relieved|풀린 피로|relieved fatigue
248|9|1|Dialogue|선반|top shelf|線盤|line, plate|선반 위|on the shelf|선반 정리|shelf organization
249|9|1|Dialogue|역무실|Station Office|驛務室|station, duty, room|역무실 문의|station office inquiry|역무실로 가다|to go to station office
250|9|1|Dialogue|유실물센터|lost-and-found center|遺失物센터|leave behind, lose, thing, center|유실물센터 안내|lost and found guidance|유실물센터 신고|reporting to lost and found
251|9|1|Dialogue|큰일|big trouble||big, work|큰일 나다|big trouble happens|큰일 날 뻔|almost had big trouble
252|9|1|Dialogue|어떡하다|what to do||how, do|어떡하지?|what should I do?|어떡해요|what to do?
253|9|1|Dialogue|급히|rush|急히|urgent, adverb|급히 서두르다|to rush urgently|급히 처리|urgent handling
254|9|1|Dialogue|다행히|fortunately|多幸히|much, luck, adverb|다행히 괜찮다|fortunately okay|다행이야|it's fortunate
255|9|1|Expanded|부상|injury|負傷|carry, wound|부상 입다|to get injured|부상 치료|injury treatment
256|9|1|Expanded|비상벨|emergency bell|非常벨|not, normal, bell|비상벨 누르다|to press emergency bell|비상벨 위치|emergency bell location
257|9|1|Expanded|안전띠|safety belt|安全띠|safe, complete, belt|안전띠 매다|to fasten seatbelt|안전띠 풀다|to unfasten seatbelt
258|9|1|Expanded|틈|gap||gap|문 틈|door gap|틈을 주다|to give space
259|9|1|Expanded|갇히다|to get locked in||to be confined|방에 갇히다|locked in room|갇힌 상태|trapped state
260|9|1|Expanded|끼이다|to be jammed between||to be caught between|문에 끼이다|jammed in door|끼인 손|jammed hand
261|9|1|Expanded|당하다|to suffer|當하다|correspond, do|사고를 당하다|to have an accident|당한 피해|suffered damage
262|9|1|Expanded|빠지다1|to get (injured)||to fall into|구덩이에 빠지다|fall into hole|빠진 경험|experience of falling
263|9|2|Dialogue|수리|repair|修理|fix, manage|핸드폰 수리|phone repair|수리 비용|repair cost
264|9|2|Dialogue|화면|screen|畫面|picture, surface|컴퓨터 화면|computer screen|화면 보호|screen protection
265|9|2|Dialogue|맡기다|to leave||to entrust|수리를 맡기다|to leave for repair|맡긴 물건|entrusted item
266|9|2|Dialogue|번거롭다|troublesome||to be bothersome|번거로운 절차|troublesome procedure|번거롭게 하다|to make troublesome
267|9|2|Dialogue|보이다2|to show||to be visible|길을 보이다|to show the way|보여준 방법|shown method
268|9|2|Expanded|깨우다|to wake up||to awaken|아이를 깨우다|to wake up child|깨운 시간|wake-up time
269|9|2|Expanded|낮추다|to lower||day, make low|목소리를 낮추다|to lower voice|낮춘 온도|lowered temperature
270|9|2|Expanded|녹다|to melt||to melt|얼음이 녹다|ice melts|녹은 눈|melted snow
271|9|2|Expanded|녹이다|to melt something||to make melt|얼음을 녹이다|to melt ice|녹인 초콜릿|melted chocolate
272|9|2|Expanded|눕히다|to lay down||to make lie down|환자를 눕히다|to lay down patient|눕힌 자세|laid down position
273|9|2|Expanded|늦추다|to delay||to make late|속도를 늦추다|to slow down|늦춘 일정|delayed schedule
274|9|2|Expanded|맡다|to receive||to take charge|일을 맡다|to take on work|맡은 역할|assigned role
275|9|2|Expanded|먹이다|to feed||to make eat|아이에게 먹이다|to feed child|먹인 음식|fed food
276|9|2|Expanded|살리다|to save||to make live|생명을 살리다|to save life|살린 사람|saved person
277|9|2|Expanded|세우다|to raise||to make stand|깃발을 세우다|to raise flag|세운 계획|established plan
278|9|2|Expanded|속다|to be fooled||to be deceived|남에게 속다|to be fooled by others|속은 기분|feeling of being fooled
279|9|2|Expanded|속이다|to fool||to deceive|사람을 속이다|to deceive people|속이는 행동|deceitful behavior
280|9|2|Expanded|숨기다|to hide something||to conceal|진실을 숨기다|to hide truth|숨긴 사실|hidden fact
281|9|2|Expanded|숨다|to hide||to hide oneself|장난감 뒤에 숨다|hide behind toy|숨은 곳|hiding place
282|9|2|Expanded|신기다|to put on||to wear|옷을 신기다|to put clothes on someone|신긴 옷|clothes put on
283|9|2|Expanded|씻기다2|to wash something||to make wash|차를 씻기다|to wash car|씻긴 자동차|washed car
284|9|2|Expanded|앉히다|to sit someone down||to make sit|손님을 앉히다|to seat guest|앉힌 자리|seated position
285|9|2|Expanded|알리다|to let someone know||to inform|소식을 알리다|to inform news|알린 내용|informed content
286|9|2|Expanded|울리다|to make someone cry||to make cry|아이를 울리다|to make child cry|울린 적|times made cry
287|9|2|Expanded|웃기다|to make someone laugh||to make laugh|사람을 웃기다|to make people laugh|웃긴 이야기|funny story
288|9|2|Expanded|읽히다|to make someone read||to make read|책을 읽히다|to make read book|읽힌 페이지|read pages
289|9|2|Expanded|입히다|to make someone put on||to make wear|옷을 입히다|to dress someone|입힌 옷|clothes dressed in
290|9|2|Expanded|재우다|to make someone go to sleep||to make sleep|아이를 재우다|to put child to sleep|재운 시간|put to sleep time
291|9|2|Expanded|죽이다|to kill||to make die|시간을 죽이다|to kill time|죽인 시간|killed time
292|9|2|Expanded|채우다|to fill||to fill up|그릇을 채우다|to fill bowl|채운 양|filled amount
293|9|2|Expanded|태우다|to make someone ride||to make ride|택시 태우다|to put in taxi|태운 거리|distance ridden
294|10|1|Dialogue|속마음|inner feelings||inside, heart|진짜 속마음|true inner feelings|속마음 말하다|to speak inner feelings
295|10|1|Dialogue|표정|expression|表情|express, emotion|표정 관리|expression management|표정이 밝다|bright expression
296|10|1|Dialogue|감추다|to hide||to conceal|감정을 감추다|to hide emotions|감춘 마음|hidden feelings
297|10|1|Dialogue|나타나다|to reveal||to appear|증상이 나타나다|symptoms appear|나타난 결과|revealed results
298|10|1|Dialogue|들키다|to be found out||to be caught|거짓말 들키다|lie gets caught|들킨 사실|discovered fact
299|10|1|Dialogue|부끄러워하다|to be embarrassed||to feel ashamed|부끄러워하는 모습|embarrassed appearance|부끄러워하지 마|don't be embarrassed
300|10|1|Dialogue|그만|to happen to||just, only|그만 잊어버렸다|happened to forget|그만 두다|to quit
301|10|1|Dialogue|하긴|in fact||to do, indeed|하긴 그렇네|indeed that's true|하긴 요즘|indeed these days
302|10|1|Expanded|겁을내다|to be afraid of||fear, object, take out, do|겁을 내다|to be afraid|내는 겁|showing fear
303|10|1|Expanded|겁이나다|to be scared||fear, subject, come out, do|겁이 나다|to get scared|나는 겁|felt fear
304|10|1|Expanded|나타내다|to show||to reveal|의견을 나타내다|to express opinion|나타낸 반응|shown reaction
305|10|1|Expanded|시간이나다|to have time|時間이나다|time, interval, subject, come out, do|시간이 나다|to have time|나는 시간|available time
306|10|1|Expanded|혼을내다|to scold||soul, object, take out, do|혼을 내다|to scold|내는 혼|giving scolding
307|10|1|Expanded|혼이나다|to be scolded||soul, subject, come out, do|혼이 나다|to get scolded|나는 혼|received scolding
308|10|1|Expanded|화가나다|to be angry|火가나다|fire, subject, come out, do|화가 나다|to get angry|나는 화|felt anger
309|10|1|Expanded|화를내다|to show one's anger|火를내다|fire, object, take out, do|화를 내다|to show anger|내는 화|expressed anger
310|10|2|Dialogue|장난|joke||play, mischief|친구 장난|friend's joke|장난 치다|to play a prank
311|10|2|Dialogue|진심|true heart|眞心|true, heart|진심 어린|sincere|진심으로 말하다|to speak sincerely
312|10|2|Dialogue|걸다|to talk to||to hang|전화를 걸다|to make a phone call|건 전화|made call
313|10|2|Dialogue|놀리다|to make fun of||to tease|친구를 놀리다|to tease friend|놀리는 말|teasing words
314|10|2|Dialogue|사과하다|to apologize|謝過하다|thank, fault, do|진심으로 사과하다|to apologize sincerely|사과할 기회|opportunity to apologize
315|10|2|Dialogue|상하다|to be offended|傷하다|wound, do|마음이 상하다|to feel hurt|상한 마음|hurt feelings
316|10|2|Dialogue|알아주다|to understand someone's intention||to know, give|노력을 알아주다|to recognize effort|알아준 사람|person who understood
317|10|2|Expanded|까먹다|to forget||to forget|약속을 까먹다|to forget promise|까먹은 일|forgotten thing
318|10|2|Expanded|깜박하다|to slip one's mind||to blink|이름을 깜박하다|to forget name|깜박한 약속|forgotten promise
319|10|2|Expanded|사이좋다|to have a good relationship||between, good|사이좋은 친구|good friends|사이좋게 지내다|to get along well
320|10|2|Expanded|어기다|to break a promise||to violate|약속을 어기다|to break promise|어긴 규칙|broken rule
321|10|2|Expanded|오해하다|to misunderstand|誤解하다|mistake, understand, do|의도를 오해하다|to misunderstand intention|오해하지 마|don't misunderstand
322|10|2|Expanded|착각하다|to mistakenly think|錯覺하다|mistake, feel, do|사람을 착각하다|to mistake person|착각하기 쉽다|easy to mistake
323|10|2|Expanded|풀다1|to solve||to untie|문제를 풀다|to solve problem|푼 문제|solved problem
324|10|2|Expanded|풀리다|to become solved||to be untied|문제가 풀리다|problem gets solved|풀린 일|resolved matter
325|10|2|Expanded|화해하다|to make amends|和解하다|harmony, understand, do|서로 화해하다|to reconcile with each other|화해한 관계|reconciled relationship
326|11|1|Dialogue|교육|education|教育|teach, educate|고등 교육|higher education|교육 과정|educational course
327|11|1|Dialogue|봉사|community service|奉仕|offer, serve|자원 봉사|volunteer service|봉사 활동|volunteer activity
328|11|1|Dialogue|다행이다|to be a relief|多幸이다|many, fortunate, be|정말 다행이다|really fortunate|다행인 일|fortunate thing
329|11|1|Dialogue|문의하다|to inquire|問議하다|ask, discuss, do|전화로 문의하다|to inquire by phone|문의한 내용|inquired content
330|11|1|Dialogue|알아듣다|to understand||know, hear|말을 알아듣다|to understand speech|알아들은 부분|understood part
331|11|1|Dialogue|자세하다|to be specific|仔細하다|minute, careful, do|자세한 설명|detailed explanation|자세하게 알려주다|to inform in detail
332|11|1|Dialogue|대강|roughly|大綱|big, outline|대강 이해하다|to roughly understand|대강 말하다|to speak roughly
333|11|1|Dialogue|단점|demerits|短點|short, point|주요 단점|main disadvantage|단점 보완|compensating for weaknesses
334|11|1|Dialogue|사용법|usage manual|使用法|use, use, method|제품 사용법|product usage method|사용법 설명|usage explanation
335|11|1|Dialogue|원인|cause|原因|origin, cause|사고 원인|accident cause|원인 분석|cause analysis
336|11|1|Dialogue|장점|merits|長點|long, point|큰 장점|big advantage|장점 활용|utilizing strengths
337|11|1|Dialogue|수집하다|to gather|收集하다|collect, gather, do|정보 수집하다|to gather information|수집한 자료|collected data
338|11|1|Dialogue|조사하다|to investigate|調査하다|investigate, examine, do|사실을 조사하다|to investigate facts|조사 결과|investigation results
339|11|1|Dialogue|지원하다|to apply|志願하다|will, wish, do|회사에 지원하다|to apply to company|지원 서류|application documents
340|11|2|Dialogue|기회|opportunity|機會|opportunity, meeting|좋은 기회|good opportunity|기회 주다|to give opportunity
341|11|2|Dialogue|일상생활|daily life|日常生活|day, usual, life, live|일상생활 속|in daily life|일상생활 적응|adapting to daily life
342|11|2|Dialogue|휴식|rest|休息|rest, cease|필요한 휴식|necessary rest|휴식 시간|rest time
343|11|2|Dialogue|불교|Buddhism|佛敎|Buddha, teach|한국 불교|Korean Buddhism|불교 사찰|Buddhist temple
344|11|2|Dialogue|템플스테이|temple stay||temple, stay|템플스테이 체험|temple stay experience|템플스테이 참가|temple stay participation
345|11|2|Dialogue|믿다|to believe||trust|친구를 믿다|to trust friend|믿는 사람|trusted person
346|11|2|Dialogue|체험하다|to experience|體驗하다|body, experience, do|문화 체험하다|to experience culture|체험한 프로그램|experienced program
347|11|2|Dialogue|추천하다|to recommend|推薦하다|push, recommend, do|친구에게 추천하다|to recommend to friend|추천하는 이유|reason for recommending
348|11|2|Expanded|문화차이|cultural difference|文化差異|culture, change, difference|문화차이 이해|understanding cultural differences|문화차이 경험|experiencing cultural differences
349|11|2|Expanded|문화체험|cultural experience|文化體驗|culture, change, body, experience|문화체험 활동|cultural experience activity|문화체험 기회|cultural experience opportunity
350|11|2|Expanded|생활방식|way of life|生活方式|life, live, method, style|다른 생활방식|different lifestyle|생활방식 변화|lifestyle change
351|11|2|Expanded|전통문화|traditional culture|傳統文化|pass, continue, culture, change|한국 전통문화|Korean traditional culture|전통문화 보존|traditional culture preservation
352|11|2|Expanded|판소리|pansori||pan, sound|판소리 공연|pansori performance|판소리 배우기|learning pansori
353|11|2|Expanded|홈스테이|homestay||home, stay|홈스테이 생활|homestay life|홈스테이 가족|homestay family
354|12|1|Dialogue|군데|a place||place|한 군데|one place|몇 군데|a few places
355|12|1|Dialogue|안내서|brochure|案內書|plan, inside, book|여행 안내서|travel brochure|안내서 참고|referring to brochure
356|12|1|Dialogue|경비|expenses|經費|pass, expenses|여행 경비|travel expenses|경비 계산|expense calculation
357|12|1|Dialogue|기타|other|其他|other, other|기타 비용|other costs|기타 사항|other matters
358|12|1|Dialogue|식비|meal fee|食費|eat, expenses|하루 식비|daily meal cost|식비 절약|saving on meals
359|12|1|Dialogue|정하다|to decide|定하다|decide, do|일정을 정하다|to decide schedule|정한 계획|decided plan
360|12|1|Dialogue|등|etcetera|等|equal|친구 등|friends etc.|등 여러 가지|etc. various things
361|12|1|Dialogue|안내원|guide|案內員|plan, inside, person|관광 안내원|tour guide|안내원을 찾다|to look for a guide
362|12|1|Dialogue|전용|for specific use only|專用|special, use|전용 공간|dedicated space|전용 차로|dedicated lane
363|12|1|Dialogue|코스|course||course|여행 코스|travel course|코스를 돌다|to go around a course
364|12|1|Dialogue|넉넉하다|to be plentiful||ample|음식이 넉넉하다|there's plenty of food|넉넉하게 준비했어요|I prepared generously
365|12|1|Dialogue|교통비|transportation fee|交通費|exchange, pass, expenses|교통비 절약|saving transportation costs|교통비 포함|including transportation fee
366|12|1|Dialogue|숙박비|lodging fee|宿泊費|stay, lodge, expenses|숙박비 계산|lodging cost calculation|숙박비 내다|to pay lodging fee
367|12|1|Dialogue|입장료|entrance fee|入場料|enter, place, fee|공원 입장료|park entrance fee|입장료 포함|including entrance fee
368|12|1|Dialogue|짜다|to set||make, weave|일정을 짜다|to set schedule|짜 놓은 계획|set plan
369|12|2|Dialogue|대표적|representative|代表的|represent, mark, -like|대표적 명소|representative landmark|대표적으로|representatively
370|12|2|Dialogue|여유|leisure|餘裕|leftover, abundant|시간 여유|time to spare|여유 있게|leisurely
371|12|2|Dialogue|역사적|historical|歷史的|history, record, -like|역사적 의미|historical meaning|역사적으로|historically
372|12|2|Dialogue|갖다|to have||have|시간을 갖다|to have time|갖고 싶은 것|things I want to have
373|12|2|Dialogue|묵다|to stay the night||stay|호텔에 묵다|to stay at hotel|묵은 곳|place stayed
374|12|2|Dialogue|자유롭다|to be free|自由롭다|self, from, -like|자유로운 시간|free time|자유롭게 이용|to use freely
375|12|2|Dialogue|찾아다니다|to look for||find, around|일자리를 찾아다니다|to look for job|찾아다닌 곳|places searched
376|12|2|Dialogue|굉장하다|to be great|宏壯하다|vast, magnificent, do|굉장한 경치|amazing scenery|굉장히 멋지다|extremely cool
377|12|2|Dialogue|놀랍다|to be amazing||surprise|놀라운 사실|amazing fact|놀랍게도|surprisingly
378|12|2|Dialogue|멋지다|to be fabulous||stylish|멋진 사람|cool person|멋지게 해내다|to accomplish fabulously
379|12|2|Dialogue|반하다|to fall in love with|反하다|against, do|첫눈에 반하다|love at first sight|반한 상대|person fell for
380|12|2|Dialogue|자랑스럽다|to be proud of||boast, -like|자랑스러운 아들|proud son|자랑스럽게 생각|to think proudly
381|12|2|Dialogue|평범하다|to be ordinary|平凡하다|flat, ordinary, do|평범한 생활|ordinary life|평범하게 살다|to live ordinarily
382|12|2|Dialogue|평화롭다|to be peaceful|平和롭다|flat, harmony, -like|평화로운 마을|peaceful village|평화롭게 지내다|to live peacefully
383|13|1|Dialogue| 가죽|leather||skin, hide|가죽 재킷|leather jacket|가죽 가방|leather bag
384|13|1|Dialogue|의류|clothing|衣類|clothes, category|의류 매장|clothing store|의류를 정리하다|to organize clothes
385|13|1|Dialogue|안심|peace of mind|安心|peaceful, heart|안심 제품|reassuring product|안심하고 쓰다|to use with peace of mind
386|13|1|Dialogue|재킷|jacket||jacket|가을 재킷|autumn jacket|재킷 입다|to wear jacket
387|13|1|Dialogue|고급스럽다|to be luxurious|高級스럽다|high, level, -like|고급스러운 디자인|luxurious design|고급스럽게 보이다|to look luxurious
388|13|1|Dialogue|귀찮다|to be bothersome||annoying|귀찮은 일|bothersome task|귀찮게 하지 마|don't bother me
389|13|1|Dialogue|절약하다|to save|節約하다|save, promise, do|돈을 절약하다|to save money|절약하는 방법|ways to save
390|13|1|Dialogue|그다지|not very||that, much|그다지 안 어렵다|not that difficult|그다지 많지 않다|not that many
391|13|1|Dialogue|반값|half price|半價|half, price|반값 세일|half-price sale|반값으로 사다|to buy at half price
392|13|1|Dialogue|신형|new model|新型|new, model|신형 휴대폰|new model phone|신형 출시|new model release
393|13|1|Dialogue|최신|the newest|最新|most, new|최신 유행|latest trend|최신 정보|latest information
394|13|1|Dialogue|가격|price|價格|price, standard|합리적 가격|reasonable price|가격 비교|price comparison
395|13|1|Dialogue|신제품|new product|新製品|new, make, product|신제품 출시|new product launch|신제품 소개|new product introduction
396|13|1|Dialogue|최대|the biggest|最大|most, big|최대 할인|maximum discount|최대한 활용|utilizing to the maximum
397|13|1|Dialogue|특가|special price|特價|special, price|특가 상품|special price product|특가 행사|special price event
398|13|2|Dialogue|게시판|bulletin board|揭示板|reveal, show, board|온라인 게시판|online bulletin board|게시판 글|bulletin board post
399|13|2|Dialogue|반팔|short sleeve|半팔|half, sleeve|여름 반팔|summer short sleeves|반팔 옷|short sleeve clothes
400|13|2|Dialogue|쇼핑몰|shopping mall||shopping, mall|대형 쇼핑몰|large shopping mall|쇼핑몰 방문|mall visit
401|13|2|Dialogue|택배비|delivery fee|宅配費|house, deliver, fee|택배비 포함|including delivery fee|택배비 내다|to pay delivery fee
402|13|2|Dialogue|품질|quality|品質|product, quality|높은 품질|high quality|품질 보증|quality guarantee
403|13|2|Dialogue|환불|refund|還拂|return, wipe|환불 요청|refund request|환불 받다|to get refund
404|13|2|Dialogue|아깝다|to be a waste of||regrettable|시간이 아깝다|it's a waste of time|아깝게 졌어요|we lost narrowly
405|13|2|Dialogue|고객|customer|顧客|look, customer|만족한 고객|satisfied customer|고객 서비스|customer service
406|13|2|Dialogue|소비자|consumer|消費者|use, spend, person|소비자 보호|consumer protection|소비자 권리|consumer rights
407|13|2|Dialogue|치수|size|尺寸|foot, inch|옷 치수|clothing size|치수 확인|size check
408|13|2|Dialogue|질|quality|質|quality|좋은 질|good quality|질 관리|quality control
409|13|2|Dialogue|판매자|seller|販賣者|sell, sell, person|신뢰할 수 있는 판매자|trustworthy seller|판매자 정보|seller information
410|13|2|Dialogue|소비하다|to consume|消費하다|use, spend, do|에너지 소비하다|to consume energy|소비하는 시간|time consumed
411|13|2|Dialogue|판매하다|to sell|販賣하다|sell, sell, do|제품 판매하다|to sell products|판매하는 곳|place selling
412|14|1|Dialogue|밤새|all night||night, throughout|밤새 작업|working all night|밤새도록|throughout the night
413|14|1|Dialogue|우정|friendship|友情|friend, emotion|진실한 우정|true friendship|우정 나누다|to share friendship
414|14|1|Dialogue|행사|event|行事|perform, matter|문화 행사|cultural event|행사 준비|event preparation
415|14|1|Dialogue|양국|two countries|兩國|both, country|한중 양국|Korea and China|양국 관계|bilateral relations
416|14|1|Dialogue|젊은이|young people||young, person|젊은이 문화|youth culture|젊은이 모임|young people gathering
417|14|1|Dialogue|나누다|to share||divide|경험을 나누다|to share experiences|나눈 이야기|shared story
418|14|1|Dialogue|데리다|to bring with||accompany|친구를 데리다|to bring friend|데리고 가다|to take along
419|14|1|Dialogue|국제교류|international exchange|國際交流|country, boundary, exchange, flow|국제교류 프로그램|international exchange program|국제교류 활성화|promoting international exchange
420|14|1|Dialogue|문화교류|cultural exchange|文化交流|culture, change, exchange, flow|문화교류 행사|cultural exchange event|문화교류 증진|enhancing cultural exchange
421|14|1|Dialogue|벼룩시장|flea market||flea, market|주말 벼룩시장|weekend flea market|벼룩시장 구경|browsing flea market
422|14|1|Dialogue|초청장|invitation|招請狀|call, invite, document|결혼 초청장|wedding invitation|초청장 받다|to receive invitation
423|14|1|Dialogue|축제|festival|祝祭|celebrate, ceremony|봄 축제|spring festival|축제 참여|festival participation
424|14|1|Dialogue|초청하다|to invite|招請하다|call, invite, do|연사를 초청하다|to invite speaker|초청한 손님|invited guest
425|14|2|Dialogue|빈손|empty-handed|빈손|empty, hand|빈손으로 가다|to go empty-handed|빈손은 싫어|don't want empty hands
426|14|2|Dialogue|실용적|practical|實用的|real, use, -like|실용적 디자인|practical design|실용적으로 쓰다|to use practically
427|14|2|Dialogue|예의|etiquette|禮儀|courtesy, ceremony|기본 예의|basic etiquette|예의 바르다|to be polite
428|14|2|Dialogue|가져가다|to take||take, go|집에 가져가다|to take home|가져간 물건|taken item
429|14|2|Dialogue| 가져오다|to bring||take, come|선물 가져오다|to bring gift|가져온 음식|brought food
430|14|2|Dialogue|주의하다|to be cautious about|注意하다|pour, meaning, do|건강 주의하다|to be careful about health|주의할 점|points to be careful about
431|14|2|Dialogue|근데|but||but|근데 말이야|but you know|근데 왜?|but why?
432|14|2|Dialogue|길거리|street||road, place|길거리 음식|street food|길거리 공연|street performance
433|14|2|Dialogue|웃어른|elder||upper, person|웃어른 공경|respecting elders|웃어른 대접|treating elders well
434|14|2|Dialogue|공공장소|public place|公共場所|public, public, place, place|공공장소 예절|public place etiquette|공공장소 이용|using public places
435|14|2|Dialogue|노약자|the old and weak|老弱者|old, weak, person|노약자 좌석|elderly and weak seats|노약자 배려|consideration for elderly
436|14|2|Dialogue|갖추다|to possess||have, prepare|조건을 갖추다|to meet conditions|갖춰야 할 것|things to have
437|14|2|Dialogue|양보하다|to give up one's seat|讓步하다|yield, step, do|자리를 양보하다|to give up seat|양보하는 마음|yielding mindset
438|14|2|Dialogue|지키다|to mind (one's manners)||keep, guard|규칙을 지키다|to follow rules|지켜야 할 것|things to keep
439|15|1|Dialogue|그동안|until now||that, during|그동안 고생했어|you worked hard until now|그동안 어떻게 지냈어?|how have you been?
440|15|1|Dialogue|그만두다|to quit||stop, quit|일을 그만두다|to quit job|그만둔 이유|reason for quitting
441|15|1|Dialogue|가능성|possibility|可能性|able, ability, nature|높은 가능성|high possibility|가능성 있다|there's possibility
442|15|1|Dialogue|자부심|pride|自負心|self, carry, heart|큰 자부심|great pride|자부심을 갖다|to have pride
443|15|1|Dialogue|기르다|to cultivate||raise, grow|실력을 기르다|to develop skills|기른 능력|cultivated ability
444|15|1|Dialogue|이루다|to achieve||achieve|목표를 이루다|to achieve goal|이룬 성과|achieved results
445|15|1|Dialogue|오디션|audition||audition|오디션 보다|to audition|오디션 합격|passing audition
446|15|1|Dialogue|노력하다|to try|努力하다|effort, power, do|열심히 노력하다|to try hard|노력한 결과|result of effort
447|15|1|Dialogue|앞두다|to have something coming up||front, place|시험을 앞두다|to have exam coming up|앞둔 미래|future ahead
448|15|1|Dialogue|응원하다|to cheer|應援하다|respond, help, do|친구를 응원하다|to cheer friend|응원의 메시지|cheering message
449|15|1|Dialogue|포기하다|to give up|抛棄하다|throw, abandon, do|꿈을 포기하다|to give up dream|포기하지 마|don't give up
450|15|1|Dialogue|목표|goal|目標|eye, mark|인생 목표|life goal|목표 설정|goal setting
451|15|1|Dialogue|최고|best|最高|most, high|최고의 선택|best choice|최고가 되다|to become the best
452|15|1|Dialogue|상상하다|to imagine|想像하다|think, image, do|미래를 상상하다|to imagine future|상상만 해도|just imagining
453|15|1|Dialogue|존경하다|to respect|尊敬하다|respect, respect, do|부모님을 존경하다|to respect parents|존경하는 사람|respected person
454|15|2|Dialogue|경력|work experience|經歷|pass, history|관련 경력|relevant experience|경력 쌓기|building experience
455|15|2|Dialogue|구인광고|job opening advertisement|求人廣告|seek, person, wide, announce|구인광고 보기|looking at job ads|구인광고 응모|responding to job ad
456|15|2|Dialogue|면접|interview|面接|face, connect|취업 면접|job interview|면접 준비|interview preparation
457|15|2|Dialogue|용돈|spending money|用돈|use, money|용돈 받다|to receive allowance|용돈 관리|allowance management
458|15|2|Dialogue|또는|or|또는|or|A 또는 B|A or B|또는 다른 방법|or other method
459|15|2|Dialogue|관계없이|without|關係없이|relation, connection, without|나이 관계없이|regardless of age|관계없이 뽑다|to hire regardless
460|15|2|Dialogue|경력자|experienced individual|經歷者|pass, history, person|경력자 우대|preference for experienced|경력자 채용|hiring experienced people
461|15|2|Dialogue|근무조건|employment conditions|勤務條件|diligent, work, condition, item|좋은 근무조건|good working conditions|근무조건 협의|discussing employment terms
462|15|2|Dialogue|등록금|tuition|登錄金|climb, record, money|대학 등록금|university tuition|등록금 납부|tuition payment
463|15|2|Dialogue|시급|hourly wage|時給|time, give|높은 시급|high hourly wage|시급 계산|hourly wage calculation
464|15|2|Dialogue|초보자|beginner|初步者|begin, step, person|초보자 가이드|beginner's guide|초보자용|for beginners
465|15|2|Dialogue|내내|throughout||throughout|하루 내내|throughout the day|내내 기다리다|to wait throughout
466|15|2|Dialogue|생활비|living expenses|生活費|life, live, expenses|월 생활비|monthly living expenses|생활비 절약|saving living expenses
467|15|2|Dialogue|일자리|job||work, place|안정된 일자리|stable job|일자리 찾기|job searching
468|15|2|Dialogue|구하다|to look for|求하다|seek, do|일자리를 구하다|to look for job|구한 정보|sought information
469|16|1|Dialogue|사고방식|way of thinking|思考方式|think, consider, method, style|다른 사고방식|different way of thinking|사고방식 변화|changing thinking
470|16|1|Dialogue|상황|situation|狀況|condition, situation|어려운 상황|difficult situation|상황 판단|situation judgment
471|16|1|Dialogue|괴로워하다|to be tormented||suffer, do|고민에 괴로워하다|to suffer from worry|괴로워하는 모습|suffering appearance
472|16|1|Dialogue|까다롭다|to be picky||picky|까다로운 사람|picky person|까다롭게 구다|to act picky
473|16|1|Dialogue|말없이|wordlessly||word, without|말없이 듣다|to listen silently|말없이 지내다|to stay silent
474|16|1|Dialogue|몰래|secretly||secretly|몰래 보다|to secretly watch|몰래 하다|to do secretly
475|16|1|Dialogue|깔끔하다|to be clean||clean|깔끔한 방|clean room|깔끔하게 정리|neatly organized
476|16|1|Dialogue|고집이세다|to be stubborn||stubborn, strong|고집이 센 사람|stubborn person|고집 세게 말하다|to speak stubbornly
477|16|1|Dialogue|낯을가리다|to be uncomfortable around strangers||face, distinguish|낯을 가리는 아이|child uncomfortable with strangers|낯가림 심하다|very shy with strangers
478|16|1|Dialogue|상대방에게맞추다|to be accommodating|相對方에게맞추다|mutual, opposite, side, fit|상대방에게 맞추다|to accommodate others|맞춰 주는 태도|accommodating attitude
479|16|1|Dialogue|솔직히말하다|to be honest; to speak frankly|率直히말하다|lead, straight, -ly, speak|솔직히 말하다|to speak honestly|말한 진실|spoken truth
