Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Frequency
391|13|1|Dialogue|반값|half price|半價|half, price|11972
565|19|2|Dialogue|뛰어놀다|to run and play||run, play|12112
257|9|1|Expanded|안전띠|safety belt|安全띠|safe, complete, belt|12333
547|19|1|Dialogue|덕수궁|Deoksugung Palace|德壽宮|virtue, longevity, palace|12368
407|13|2|Dialogue|치수|size|尺寸|foot, inch|12395
15|1|1|Expanded|재학생|enrolled student|在學生|be, study, student|12510
131|5|1|Dialogue|놀라다|to be surprised||surprise|12516
134|5|1|Dialogue|찾아뵈다|to visit||find, see|12525
230|8|1|Expanded|흡연|smoking|吸煙|inhale, smoke|12533
434|14|2|Dialogue|공공장소|public place|公共場所|public, public, place, place|12655
28|1|2|Expanded|이력서|resume|履歷書|履歷書|12876
358|12|1|Dialogue|식비|meal fee|食費|eat, expenses|12880
583|20|1|Expanded|콘센트|(electrical) outlet||concentric|13006
7|1|1|Dialogue|학과|department|學科|study, subject|13055
146|5|2|Dialogue|서투르다|to not be good at||clumsy|13134
365|12|1|Dialogue|교통비|transportation fee|交通費|exchange, pass, expenses|13166
71|3|1|Expanded|자연환경|natural environment|自然環境|self, natural, environment, boundary|13211
351|11|2|Expanded|전통문화|traditional culture|傳統文化|pass, continue, culture, change|13388
220|8|1|Dialogue|불규칙하다|to be irregular|不規則하다|not, rule, then, do|13545
318|10|2|Expanded|깜박하다|to slip one's mind||to blink|13721
26|1|2|Expanded|생년월일|date of birth|生年月日|life, year, month, day|14300
572|19|2|Expanded|일석이조|killing two birds with one stone|一石二鳥|one, stone, two, birds|14456
160|6|1|Dialogue|아침저녁|mornings and evenings||morning, evening|14495
577|20|1|Dialogue|막차|final bus|末車|end, car|14588
198|7|1|Expanded|경기하다|to play a match|競技하다|compete, skill, do|14823
11|1|1|Expanded|새내기|freshman||new, sprout|14907
618|20|2|Dialogue|개통하다|to open|開通하다|open, pass, do|15049
36|2|1|Dialogue|상담실|counseling office|相談室|mutual, talk, room|15188
168|6|1|Expanded|처방전|prescription|處方箋|handle, direction, slip|15254
528|18|1|Dialogue|유지|maintenance|維持|maintain, hold|15415
366|12|1|Dialogue|숙박비|lodging fee|宿泊費|stay, lodge, expenses|15416
421|14|1|Dialogue|벼룩시장|flea market||flea, market|15494
47|2|1|Expanded|면담하다|to have an interview|面談하다|face, talk, do|15511
590|20|1|Expanded|매니큐어|nail polish||manicure|15518
192|7|1|Dialogue|상영하다|to show or put on the screen|上映하다|up, reflect, do|15525
191|7|1|Dialogue|매진되다|to be sold out|賣盡되다|sell, exhaust, become|16012
117|4|2|Dialogue|재활용품|recyclables|再活用品|again, live, use, product|16129
589|20|1|Expanded|링거|IV||ringer|16496
553|19|1|Dialogue|제기차기|Jegichagi||shuttlecock, kick|16526
435|14|2|Dialogue|노약자|the old and weak|老弱者|old, weak, person|17153
229|8|1|Expanded|편식|be picky about food|偏食|lean, eat|17188
600|20|1|Expanded|추리닝|sweatsuit||training|17454
225|8|1|Expanded|금연|no smoking|禁煙|forbid, smoke|17516
182|6|2|Expanded|정형외과|orthopedics|整形外科|correct, form, outside, subject|17570
504|17|1|Dialogue|변덕스럽다|to be capricious|變덕스럽다|change, virtue, -like|17723
165|6|1|Expanded|식후|after meals|食後|eat, after|17756
223|8|1|Expanded|과식|overeating|過食|exceed, eat|17771
397|13|1|Dialogue|특가|special price|特價|special, price|18013
399|13|2|Dialogue|반팔|short sleeve|半팔|half, sleeve|18511
226|8|1|Expanded|금주|no drinking|禁酒|forbid, alcohol|18627
546|19|1|Dialogue|고궁|old palace|古宮|old, palace|18718
591|20|1|Expanded|멀티탭|extension cord||multi, tap|18793
561|19|2|Dialogue|신세대|new generation|新世代|new, world, generation|19073
161|6|1|Dialogue|진찰|medical examination|診察|diagnose, examine|19405
543|18|2|Dialogue|불친절하다|to be unfriendly|不親切하다|not, intimate, cut, do|19414
236|8|2|Dialogue|헬스클럽|gym||health club (loanword)|19978
617|20|2|Dialogue|지원서|application|志願書|will, wish, document|20011
361|12|1|Dialogue|안내원|guide|案內員|plan, inside, person|20165
541|18|2|Dialogue|부정확하다|to be inaccurate|不正確하다|not, correct, certain, do|20232
570|19|2|Expanded|십중팔구|in nine out of ten cases|十中八九|ten, middle, eight, nine|20247
77|3|2|Dialogue|냉방|air-conditioning|冷房|cold, room|20261
498|17|1|Dialogue|추천서|letter of recommendation|推薦書|push, recommend, document|20296
24|1|2|Dialogue|지내보다|to get along with||pass, see|30000
37|2|1|Dialogue|일정표|schedule|日程表|day, journey, table|30000
41|2|1|Dialogue|그렇지않아도|as a matter of fact||that, not, also|30000
42|2|1|Expanded|상담내용|content of counseling|相談內容|mutual, talk, inside, contain|30000
43|2|1|Expanded|온라인상담|online counseling|相談|mutual, talk|30000
44|2|1|Expanded|전화상담|phone counseling|電話相談|electric, word, mutual, talk|30000
45|2|1|Expanded|진학상담|academic counseling|進學相談|advance, study, mutual, talk|30000
46|2|1|Expanded|취업상담|career counseling|就業相談|get, work, mutual, talk|30000
63|3|1|Dialogue|단독주택|house|單獨住宅|single, alone, live, house|30000
70|3|1|Expanded|교육환경|educational environment|教育環境|teach, educate, environment, boundary|30000
72|3|1|Expanded|저층|low-rise|低層|low, layer|30000
73|3|1|Expanded|편의시설|convenience facility|便宜施設|convenient, appropriate,施設|30000
103|3|2|Expanded|켜지다|to be turned on||light|30000
107|4|1|Dialogue|포장이사|packing and moving service|包裝移徙|wrap, dress, move, change|30000
123|4|2|Expanded|종량제봉투|standard plastic trash bag|從量制封套|follow, amount, system, seal, bag|30000
124|4|2|Expanded|음식물쓰레기|food trash|飲食物쓰레기|drink, eat, thing, trash|30000
125|4|2|Expanded|일반쓰레기|non-food trash|一般쓰레기|one, general, trash|30000
137|5|1|Expanded|겨우|only||barely|30000
140|5|1|Expanded|되게|very||become|30000
143|5|1|Expanded|하도|so much||so|30000
144|5|2|Dialogue|영양|nutrition|營養|manage, nourish|30000
153|5|2|Expanded|인스턴트식품|instant foods|食品|eat, product|30000
154|5|2|Expanded|조리시간|cooking time|調理時間|adjust, reason, time, between|30000
157|6|1|Dialogue|국제진료센터|International Health Care Center|國際診療센터|country, border, diagnose, treat, center|30000
167|6|1|Expanded|진찰실|treatment room|診察室|diagnose, examine, room|30000
177|6|2|Dialogue|삐다|to sprain||to twist|30000
178|6|2|Dialogue|처방하다|to prescribe|處方하다|handle, direction, do|30000
180|6|2|Expanded|안과|ophthalmology|眼科|eye, subject|30000
188|7|1|Dialogue|일시|date and time|日時|day, time|30000
197|7|1|Expanded|상영관|theater|上映館|up, reflect, building|30000
222|8|1|Dialogue|뜻대로|according to plan||meaning, according to|30000
224|8|1|Expanded|과음|excessive drinking|過飮|exceed, drink|30000
238|8|2|Dialogue|밤늦게|late at night||night, late|30000
241|8|2|Expanded|운동부족|lack of exercise|運動不足|move, action, not, sufficient|30000
242|8|2|Expanded|근육이생기다|to develop muscles|筋肉이生기다|muscle, flesh, subject, arise, do|30000
243|8|2|Expanded|살이빠지다|to lose weight||flesh, subject, fall out, do|30000
244|8|2|Expanded|살이찌다|to gain weight||flesh, subject, become fat, do|30000
245|8|2|Expanded|운동량이늘다|to have an increase in exercise amount|運動量이늘다|move, action, amount, subject, increase, do|30000
246|8|2|Expanded|피로가쌓이다|to have an increase in fatigue|疲勞가쌓이다|tired, labor, subject, accumulate, do|30000
247|8|2|Expanded|피로가풀리다|to have less fatigue|疲勞가풀리다|tired, labor, subject, be released, do|30000
249|9|1|Dialogue|역무실|Station Office|驛務室|station, duty, room|30000
250|9|1|Dialogue|유실물센터|lost-and-found center|遺失物센터|leave behind, lose, thing, center|30000
252|9|1|Dialogue|어떡하다|what to do||how, do|30000
256|9|1|Expanded|비상벨|emergency bell|非常벨|not, normal, bell|30000
260|9|1|Expanded|끼이다|to be jammed between||to be caught between|30000
282|9|2|Expanded|신기다|to put on||to wear|30000
301|10|1|Dialogue|하긴|in fact||to do, indeed|30000
302|10|1|Expanded|겁을내다|to be afraid of||fear, object, take out, do|30000
303|10|1|Expanded|겁이나다|to be scared||fear, subject, come out, do|30000
305|10|1|Expanded|시간이나다|to have time|時間이나다|time, interval, subject, come out, do|30000
306|10|1|Expanded|혼을내다|to scold||soul, object, take out, do|30000
307|10|1|Expanded|혼이나다|to be scolded||soul, subject, come out, do|30000
308|10|1|Expanded|화가나다|to be angry|火가나다|fire, subject, come out, do|30000
309|10|1|Expanded|화를내다|to show one's anger|火를내다|fire, object, take out, do|30000
328|11|1|Dialogue|다행이다|to be a relief|多幸이다|many, fortunate, be|30000
344|11|2|Dialogue|템플스테이|temple stay||temple, stay|30000
348|11|2|Expanded|문화차이|cultural difference|文化差異|culture, change, difference|30000
349|11|2|Expanded|문화체험|cultural experience|文化體驗|culture, change, body, experience|30000
350|11|2|Expanded|생활방식|way of life|生活方式|life, live, method, style|30000
353|11|2|Expanded|홈스테이|homestay||home, stay|30000
354|12|1|Dialogue|군데|a place||place|30000
355|12|1|Dialogue|안내서|brochure|案內書|plan, inside, book|30000
390|13|1|Dialogue|그다지|not very||that, much|30000
393|13|1|Dialogue|최신|the newest|最新|most, new|30000
401|13|2|Dialogue|택배비|delivery fee|宅配費|house, deliver, fee|30000
412|14|1|Dialogue|밤새|all night||night, throughout|30000
419|14|1|Dialogue|국제교류|international exchange|國際交流|country, boundary, exchange, flow|30000
420|14|1|Dialogue|문화교류|cultural exchange|文化交流|culture, change, exchange, flow|30000
422|14|1|Dialogue|초청장|invitation|招請狀|call, invite, document|30000
431|14|2|Dialogue|근데|but||but|30000
433|14|2|Dialogue|웃어른|elder||upper, person|30000
455|15|2|Dialogue|구인광고|job opening advertisement|求人廣告|seek, person, wide, announce|30000
458|15|2|Dialogue|또는|or|또는|or|30000
460|15|2|Dialogue|경력자|experienced individual|經歷者|pass, history, person|30000
461|15|2|Dialogue|근무조건|employment conditions|勤務條件|diligent, work, condition, item|30000
474|16|1|Dialogue|몰래|secretly||secretly|30000
476|16|1|Dialogue|고집이세다|to be stubborn||stubborn, strong|30000
477|16|1|Dialogue|낯을가리다|to be uncomfortable around strangers||face, distinguish|30000
478|16|1|Dialogue|상대방에게맞추다|to be accommodating|相對方에게맞추다|mutual, opposite, side, fit|30000
479|16|1|Dialogue|솔직히말하다|to be honest; to speak frankly|率直히말하다|lead, straight, -ly, speak|30000
480|16|1|Dialogue|잔소리가많다|to nag a lot||nagging, many|30000
481|16|1|Dialogue|해결책을찾다|to find a solution|解決策을찾다|solve, decide, plan, find|30000
497|17|1|Dialogue|복사기|copy machine|複寫機|duplicate, copy, machine|30000
507|17|1|Dialogue|후회스럽다|to be regrettable|後悔스럽다|after, regret, -like|30000
516|17|2|Dialogue|거절을당하다|to be refused|拒絶을當하다|resist, cut, bear, do|30000
517|17|2|Dialogue|돌려서말하다|to say something indirectly||turn, speak|30000
518|17|2|Dialogue|직접적으로말하다|to say something directly|直接的으로말하다|straight, connect, -ly, speak|30000
519|18|1|Dialogue|맛집|highly recommended restaurant||taste, house|30000
525|18|1|Dialogue|번개모임|unplanned get-together||lightning, meeting|30000
527|18|1|Dialogue|온라인동호회|online club|オン라인同好會|same, like, meeting|30000
529|18|1|Dialogue|정기모임|regular meeting|定期會議|regular, period, meet, discuss|30000
538|18|2|Dialogue|이대로|in this state; like this||this, state|30000
539|18|2|Dialogue|적어도|at least|至少|reach, few|30000
542|18|2|Dialogue|부주의하다|to be careless|不注意하다|not, pour, meaning, do|30000
544|18|2|Dialogue|불합격하다|to fail|不合格하다|not, fit, qualify, do|30000
550|19|1|Dialogue|인원수|the number of people|人員數|person, member, number|30000
552|19|1|Dialogue|연날리기|flying a kite|鳶날리기|kite, fly|30000
557|19|1|Dialogue|비기다|to be tied||tie|30000
560|19|2|Dialogue|삼삼오오|in small groups|三三五五|three, three, five, five|30000
562|19|2|Dialogue|여가|leisure|餘暇|leftover, free time|30000
568|19|2|Expanded|다다익선|the more the better|多多益善|many, many, benefit, good|30000
569|19|2|Expanded|동문서답|incoherent reply|東問西答|east, ask, west, answer|30000
571|19|2|Expanded|이심전심|tacit understanding|以心傳心|with, heart, transmit, heart|30000
573|19|2|Expanded|횡설수설|gibberish|橫說豎說|horizontal, speak, vertical, speak|30000
586|20|1|Expanded|카센터|auto repair center||car, center|30000
587|20|1|Expanded|커닝|cheating||cunning|30000
593|20|1|Expanded|블루투스|Bluetooth||Bluetooth|30000
595|20|1|Expanded|아이쇼핑|window shopping||eye, shopping|30000
597|20|1|Expanded|엠티|MT||membership training|30000
599|20|1|Expanded|오픈카|convertible||open, car|30000
611|20|2|Dialogue|성적증명서|transcript|成績證明書|achieve, record, prove, clear, book|30000
612|20|2|Dialogue|실생활정보|information for daily life|實際生活情報|real, actual, life, live, emotion, report|30000
613|20|2|Dialogue|외국인등록증|foreigner registration card|外國人登錄證|outside, country, person, climb, record, evidence|30000
614|20|2|Dialogue|입학정보|enrollment information|入學情報|enter, study, emotion, report|30000
615|20|2|Dialogue|재학증명서|proof of enrollment|在學證明書|be, study, prove, clear, book|30000
616|20|2|Dialogue|졸업증명서|diploma|卒業證明書|finish, work, prove, clear, book|30000
