Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Korean Chunk 1|English Chunk 1|Korean Chunk 2|English Chunk 2|Frequency
102|3|2|Expanded|찢어지다|to be torn||tear|종이가 찢어지다|paper is torn|찢어진 옷|torn clothes|2709
9|1|1|Expanded|강의|lecture|講義|speak, meaning|오전 강의|morning lecture|강의를 듣다|to attend a lecture|2724
380|12|2|Dialogue|자랑스럽다|to be proud of||boast, -like|자랑스러운 순간|proud moment|자랑스러워요|I'm proud|2728
383|13|1|Dialogue|가죽|leather||skin, hide|가죽 가방|leather bag|가죽으로 만든|made of leather|2759
189|7|1|Dialogue|좌석|seats|座席|sit, seat|좌석 예매|seat reservation|좌석을 고르다|to choose a seat|2794
523|18|1|Dialogue|들르다|to stop by||stop by|집에 들르다|to stop by home|들러 주세요|please stop by|2829
163|6|1|Dialogue|앓다|to be sick with||to be ill|감기를 앓다|to be sick with a cold|오래 앓았어요|I was sick for a long time|2855
496|17|1|Dialogue|번역|translation|飜譯|turn over, translate|번역 작업|translation work|번역을 하다|to translate|2860
172|6|2|Dialogue|발목|ankle||foot, neck|발목 부상|ankle injury|발목을 삐다|to sprain one's ankle|2870
87|3|2|Expanded|꽂히다|to be stuck||stick|플러그가 꽂히다|the plug is inserted|꽂혀 있어요|it's plugged in|2929
10|1|1|Expanded|과목|subject|科目|section, item|전공 과목|major subject|과목을 선택하다|to choose a subject|2941
251|9|1|Dialogue|큰일|big trouble||big, work|큰일 났다|big trouble happened|큰일이에요|it's a big problem|2955
371|12|2|Dialogue|역사적|historical|歷史的|history, record, -like|역사적인 장소|historical place|역사적으로 중요하다|historically important|2965
321|10|2|Expanded|오해하다|to misunderstand|誤解하다|mistake, understand, do|잘못 오해하다|to misunderstand wrongly|오해하지 마세요|don't misunderstand|2973
610|20|2|Dialogue|보험|insurance|保險|protect, risk|보험에 가입하다|to sign up for insurance|보험료를 내다|to pay insurance premiums|3004
512|17|2|Dialogue|실망하다|to be disappointed|失望하다|lose, hope, do|결과에 실망하다|to be disappointed with the result|실망했어요|I'm disappointed|3011
147|5|2|Dialogue|풍부하다|to be abundant|豐富하다|rich, wealthy, do|영양이 풍부하다|rich in nutrition|풍부한 경험|abundant experience|3016
50|2|2|Dialogue|전시회|exhibition|展示會|spread, show, meeting|미술 전시회|art exhibition|전시회를 보다|to see an exhibition|3032
342|11|2|Dialogue|휴식|rest|休息|rest, cease|충분한 휴식|sufficient rest|휴식을 취하다|to take a rest|3036
454|15|2|Dialogue|경력|work experience|經歷|pass, history|경력이 많다|to have a lot of experience|경력 3년|3 years of experience|3073
456|15|2|Dialogue|면접|interview|面接|face, connect|면접을 보다|to have an interview|면접 준비|interview preparation|3078
173|6|2|Dialogue|뼈|bone||bone|뼈가 부러지다|bone is broken|뼈에 금이 가다|to have a crack in the bone|3085
346|11|2|Dialogue|체험하다|to experience|體驗하다|body, experience, do|직접 체험하다|to experience directly|체험해 보세요|please try experiencing|3109
322|10|2|Expanded|착각하다|to mistakenly think|錯覺하다|mistake, feel, do|완전히 착각하다|to completely mistake|착각했어요|I was mistaken|3175
194|7|1|Expanded|경기장|stadium|競技場|compete, skill, place|축구 경기장|soccer stadium|경기장에 가다|to go to the stadium|3185
133|5|1|Dialogue|창피하다|to be embarrassed||shame|너무 창피하다|to be very embarrassed|창피해서 못 하겠어요|I'm too embarrassed to do it|3186
416|14|1|Dialogue|젊은이|young people||young, person|요즘 젊은이|young people these days|젊은이들이 많아요|there are many young people|3233
75|3|1|Expanded|환하다|to be bright|煥하다|bright, do|방이 환하다|the room is bright|환하게 웃다|to smile brightly|3306
81|3|2|Dialogue|통하다|to circulate|通하다|pass, do|바람이 잘 통하다|air circulates well|통하는 길|connected road|3330
500|17|1|Dialogue|갑작스럽다|to be sudden|突然스럽다|sudden, -like|갑작스러운 변화|sudden change|갑작스럽게 왔어요|it came suddenly|3346
253|9|1|Dialogue|급히|rush|急히|urgent, adverb|급히 가다|to go in a hurry|급히 나왔어요|I came out in a hurry|3351
51|2|2|Dialogue|가입하다|to sign up for|加入하다|add, enter, do|동아리에 가입하다|to join a club|가입했어요|I signed up|3362
382|12|2|Dialogue|평화롭다|to be peaceful|平和롭다|flat, harmony, -like|평화로운 마을|peaceful village|평화롭게 지내다|to live peacefully|3365
96|3|2|Expanded|쓰이다|to be used for||use|자주 쓰이다|to be used often|많이 쓰여요|it's used a lot|3423
187|6|2|Expanded|어지럽다|to be dizzy||to be confused|머리가 어지럽다|head is dizzy|어지러워요|I'm dizzy|3450
398|13|2|Dialogue|게시판|bulletin board|揭示板|reveal, show, board|온라인 게시판|online bulletin board|게시판에 올리다|to post on the bulletin board|3472
490|16|2|Dialogue|조언|advice|助言|help, word|조언을 구하다|to ask for advice|조언해 주세요|please give me advice|3662
432|14|2|Dialogue|길거리|street||road, place|길거리 음식|street food|길거리에서 만났어요|I met on the street|3664
505|17|1|Dialogue|사랑스럽다|to be lovable|사랑스럽다|love, -like|사랑스러운 아기|lovable baby|사랑스러워요|you're lovable|3672
215|7|2|Expanded|지루하다|to be boring||to drag on|너무 지루하다|too boring|지루한 시간|boring time|3755
330|11|1|Dialogue|알아듣다|to understand||know, hear|말을 알아듣다|to understand what's said|잘 알아들었어요|I understood well|3763
78|3|2|Dialogue|부동산|real estate agency|不動産|not, move, property|부동산 중개소|real estate agency|부동산에 가다|to go to a real estate agency|3837
558|19|1|Dialogue|지다|to lose||lose|게임에 지다|to lose a game|졌어요|I lost|3838
278|9|2|Expanded|속다|to be fooled||to be deceived|사기에 속다|to be fooled by fraud|속았어요|I was deceived|3839
92|3|2|Expanded|먹히다|to be eaten||eat|약이 잘 먹히다|medicine works well|안 먹혀요|it doesn't go down|3849
427|14|2|Dialogue|예의|etiquette|禮儀|courtesy, ceremony|예의를 지키다|to keep etiquette|예의가 바르다|to have good manners|3874
156|5|2|Expanded|굶다|to starve||starve|밥을 굶다|to skip a meal|굶고 있어요|I'm starving|3891
453|15|1|Dialogue|존경하다|to respect|尊敬하다|respect, respect, do|선생님을 존경하다|to respect the teacher|존경해요|I respect (them)|3899
33|1|2|Expanded|합격하다|to pass|合格하다|fit, qualify, do|시험에 합격하다|to pass an exam|합격했어요|I passed|3912
115|4|2|Dialogue|벌금|fine|罰金|punish, money|쓰레기 벌금|garbage fine|벌금을 내다|to pay a fine|3917
415|14|1|Dialogue|양국|two countries|兩國|both, country|양국 관계|relations between two countries|양국 간의 교류|exchange between two countries|3955
400|13|2|Dialogue|쇼핑몰|shopping mall||shopping, mall|온라인 쇼핑몰|online shopping mall|쇼핑몰에서 사다|to buy at a shopping mall|3959
483|16|2|Dialogue|사실|actually|事實|thing, real|사실은 말이야|actually|사실이에요|it's true|3965
79|3|2|Dialogue|수도|water|水道|water, way|수도 요금|water bill|수도가 안 나와요|water doesn't come out|4005
473|16|1|Dialogue|말없이|wordlessly||word, without|말없이 떠나다|to leave wordlessly|말없이 듣고 있어요|listening without saying anything|4081
356|12|1|Dialogue|경비|expenses|經費|pass, expenses|여행 경비|travel expenses|경비가 들다|expenses are incurred|4111
472|16|1|Dialogue|까다롭다|to be picky||picky|입맛이 까다롭다|to be picky about food|까다로운 사람|a picky person|4116
170|6|1|Expanded|체중|weight|體重|body, heavy|체중 감량|weight loss|체중을 재다|to measure weight|4178
258|9|1|Expanded|틈|gap||gap|문틈|door gap|틈이 생기다|a gap forms|4280
510|17|2|Dialogue|섭섭하다|to be upset||disappointed|마음이 섭섭하다|to feel upset|섭섭해요|I'm disappointed|4287
166|6|1|Expanded|접수|registration|接受|receive, accept|접수 번호|registration number|접수하러 가다|to go register|4299
385|13|1|Dialogue|안심|peace of mind|安心|peaceful, heart|안심하고|with peace of mind|안심이 돼요|I feel relieved|4311
263|9|2|Dialogue|수리|repair|修理|fix, manage|수리 비용|repair cost|수리를 맡기다|to leave for repair|4329
386|13|1|Dialogue|재킷|jacket||jacket|가죽 재킷|leather jacket|재킷을 입다|to wear a jacket|4378
387|13|1|Dialogue|고급스럽다|to be luxurious|高級스럽다|high, level, -like|고급스러운 디자인|luxurious design|고급스러워 보여요|it looks luxurious|4443
21|1|2|Dialogue|낯설다|to be unfamiliar||face, strange|낯선 환경|unfamiliar environment|낯설게 느껴지다|to feel unfamiliar|4448
489|16|2|Dialogue|틀림없이|undoubtedly||error, without|틀림없이 올 거예요|he'll definitely come|틀림없어요|it's certain|4450
402|13|2|Dialogue|품질|quality|品質|product, quality|품질이 좋다|the quality is good|품질을 확인하다|to check the quality|4475
199|7|1|Expanded|공연하다|to perform|公演하다|public, perform, do|무대에서 공연하다|to perform on stage|공연할 예정이에요|we're scheduled to perform|4509
228|8|1|Expanded|음주|drinking|飮酒|drink, alcohol|음주 운전|drunk driving|음주를 삼가다|to refrain from drinking|4510
315|10|2|Dialogue|상하다|to be offended|傷하다|wound, do|기분이 상하다|feelings are hurt|상했어요|I'm offended|4522
132|5|1|Dialogue|당황스럽다|to be taken aback|當慌스럽다|proper, confused, -like|당황스러운 상황|embarrassing situation|당황스러워하다|to be flustered|4524
98|3|2|Expanded|안기다|to be held||hold|엄마 품에 안기다|to be held in mom's arms|안겨 있어요|being held|4540
337|11|1|Dialogue|수집하다|to gather|收集하다|collect, gather, do|자료를 수집하다|to collect materials|수집하고 있어요|I'm collecting|4564
148|5|2|Dialogue|골고루|evenly||evenly|골고루 먹다|to eat evenly|골고루 섞다|to mix evenly|4593
316|10|2|Dialogue|알아주다|to understand someone's intention||to know, give|마음을 알아주다|to understand one's heart|알아줘서 고마워요|thank you for understanding|4625
437|14|2|Dialogue|양보하다|to give up one's seat|讓步하다|yield, step, do|자리를 양보하다|to give up one's seat|양보해 주세요|please yield|4738
331|11|1|Dialogue|자세하다|to be specific|仔細하다|minute, careful, do|자세한 설명|detailed explanation|자세하게 말하다|to speak in detail|4740
29|1|2|Expanded|자기소개|self-introduction|自己紹介|self, self, introduce, open|간단한 자기소개|brief self-introduction|자기소개를 하다|to introduce oneself|4762
74|3|1|Expanded|편리하다|to be convenient|便利하다|convenient, benefit, do|교통이 편리하다|transportation is convenient|편리하게 이용하다|to use conveniently|4780
364|12|1|Dialogue|넉넉하다|to be plentiful||ample|음식이 넉넉하다|there's plenty of food|넉넉하게 준비했어요|I prepared generously|4841
284|9|2|Expanded|앉히다|to sit someone down||to make sit|의자에 앉히다|to seat someone in a chair|앉혀 주세요|please seat them|4844
327|11|1|Dialogue|봉사|community service|奉仕|offer, serve|자원 봉사|volunteer service|봉사활동을 하다|to do volunteer work|4855
343|11|2|Dialogue|불교|Buddhism|佛敎|Buddha, teach|한국 불교|Korean Buddhism|불교 문화|Buddhist culture|4858
88|3|2|Expanded|끊기다|to be cut off||cut|전화가 끊기다|the call is cut off|끊긴 줄|cut line|4867
300|10|1|Dialogue|그만|to happen to||just, only|그만 잊어버렸어요|I happened to forget|그만 실수했어요|I happened to make a mistake|4888
575|20|1|Dialogue|메모리|memory||memory|메모리가 부족하다|memory is insufficient|메모리를 늘리다|to increase memory|4891
8|1|1|Dialogue|입학하다|to enroll|入學하다|enter, study, do|대학에 입학하다|to enroll in university|입학한 지 얼마 안 됐어요|I enrolled not long ago|4930
169|6|1|Expanded|체온|body temperature|體溫|body, warm|체온 측정|body temperature measurement|체온을 재다|to measure body temperature|5003
341|11|2|Dialogue|일상생활|daily life|日常生活|day, usual, life, live|일상생활 습관|daily life habits|일상생활에서|in daily life|5036
457|15|2|Dialogue|용돈|spending money|用돈|use, money|용돈을 받다|to receive allowance|용돈이 부족해요|I don't have enough spending money|5058
213|7|2|Expanded|환상적|fantastic|幻想的|illusion, think, target|환상적인 장면|fantastic scene|환상적이었어요|it was fantastic|5087
275|9|2|Expanded|먹이다|to feed||to make eat|아기에게 먹이다|to feed a baby|먹여 주세요|please feed|5119
373|12|2|Dialogue|묵다|to stay the night||stay|호텔에 묵다|to stay at a hotel|하룻밤 묵었어요|I stayed one night|5163
208|7|2|Expanded|감동적|to be touching|感動的|feel, move, target|감동적인 영화|touching movie|감동적이었어요|it was touching|5222
486|16|2|Dialogue|걱정스럽다|to be worrisome| 걱정스럽다|worry, -like|걱정스러운 표정|a worried expression|걱정스러워요|I'm worried|5259
195|7|1|Expanded|공연장|performance hall|公演場|public, perform, place|공연장 입구|performance hall entrance|공연장을 예약하다|to reserve a performance hall|5307
181|6|2|Expanded|여드름|pimples||acne|여드름 치료|acne treatment|여드름이 나다|to get pimples|5318
248|9|1|Dialogue|선반|top shelf|線盤|line, plate|위 선반|top shelf|선반 위에 두다|to put on the shelf|5368
196|7|1|Expanded|관람객|audience|觀覽客|watch, view, guest|많은 관람객|many audience members|관람객이 몰리다|audience gathers|5379
608|20|2|Dialogue|유익하다|to be beneficial|有益하다|have, benefit, do|유익한 정보|beneficial information|유익해요|it's beneficial|5392
319|10|2|Expanded|사이좋다|to have a good relationship||between, good|사이좋게 지내다|to get along well|사이좋은 친구|close friends|5461
375|12|2|Dialogue|찾아다니다|to look for||find, around|맛집을 찾아다니다|to look for good restaurants|찾아다녔어요|I looked around|5543
65|3|1|Dialogue|가꾸다|to grow||make, arrange|화초를 가꾸다|to grow flowers|예쁘게 가꿨어요|I decorated it beautifully|5584
408|13|2|Dialogue|질|quality|質|quality|질이 좋다|the quality is good|질이 떨어져요|the quality is poor|5628
596|20|1|Expanded|알레르기|allergy||allergy|알레르기가 있다|to have an allergy|알레르기 반응|allergic reaction|5645
442|15|1|Dialogue|자부심|pride|自負心|self, carry, heart|자부심을 느끼다|to feel pride|자부심이 있어요|I have pride|5686
379|12|2|Dialogue|반하다|to fall in love with|反하다|against, do|한눈에 반하다|to fall in love at first sight|완전히 반했어요|I completely fell for it|5739
142|5|1|Expanded|차츰|little by little||gradually|차츰 좋아지다|to gradually improve|차츰 익숙해졌어요|I gradually got used to it|5767
602|20|1|Expanded|휠체어|wheelchair||wheel, chair|휠체어를 타다|to use a wheelchair|휠체어 사용자|wheelchair user|5800
159|6|1|Dialogue|당일|same-day|當日|correspond, day|당일 예약|same-day reservation|당일 진료|same-day treatment|5803
27|1|2|Expanded|성별|gender|性別|nature, separate|남녀 성별|male and female gender|성별을 표시하다|to indicate gender|5812
466|15|2|Dialogue|생활비|living expenses|生活費|life, live, expenses|생활비를 벌다|to earn living expenses|생활비가 부족해요|living expenses are insufficient|5852
130|5|1|Dialogue|첫인상|first impression|첫印象|first, seal, image|첫인상이 좋다|first impression is good|첫인상을 주다|to give a first impression|5915
392|13|1|Dialogue|신형|new model|新型|new, model|신형 모델|new model|신형이 나왔어요|a new model came out|5920
200|7|1|Expanded|관람하다|to watch|觀覽하다|watch, view, do|공연을 관람하다|to watch a performance|관람하러 가다|to go watch|5925
68|3|1|Dialogue|상쾌하다|to be fresh|爽快하다|fresh, pleasant, do|공기가 상쾌하다|the air is fresh|상쾌한 아침|refreshing morning|5927
104|3|2|Expanded|팔리다|to be sold||sell|잘 팔리다|to sell well|다 팔렸어요|it's sold out|5952
240|8|2|Dialogue|정신없이|busily|精神없이|spirit, soul, without, adverb|정신없이 바쁘다|to be crazily busy|정신없이 살았어요|I lived busily|5982
264|9|2|Dialogue|화면|screen|畫面|picture, surface|휴대폰 화면|phone screen|화면이 깨지다|screen breaks|6046
5|1|1|Dialogue|전문가|specialist|專門家|special, gate, person|교육 전문가|education specialist|전문가의 조언|expert's advice|6071
116|4|2|Dialogue|비닐|plastic||vinyl|비닐봉투|plastic bag|비닐에 싸다|to wrap in plastic|6147
272|9|2|Expanded|눕히다|to lay down||to make lie down|아기를 눕히다|to lay the baby down|눕혀 놓다|to lay down|6159
155|5|2|Expanded|간편하다|to be convenient|簡便하다|simple, convenient, do|간편한 요리|convenient cooking|간편하게 먹다|to eat conveniently|6165
4|1|1|Dialogue|신입생|new student|新入生|new, enter, student|올해 신입생|this year's freshmen|신입생 환영회|freshman welcome party|6272
279|9|2|Expanded|속이다|to fool||to deceive|사람을 속이다|to deceive someone|속이지 마세요|don't deceive me|6287
290|9|2|Expanded|재우다|to make someone go to sleep||to make sleep|아기를 재우다|to put a baby to sleep|재워 주세요|please put them to sleep|6295
294|10|1|Dialogue|속마음|inner feelings||inside, heart|진짜 속마음|true inner feelings|속마음을 말하다|to speak one's true feelings|6328
288|9|2|Expanded|읽히다|to make someone read||to make read|책을 읽히다|to make someone read a book|읽혀 주세요|please make them read|6349
184|6|2|Expanded|피부과|dermatology|皮膚科|skin, skin, subject|피부과 진료|dermatology treatment|피부과에 가다|to go to the dermatologist|6425
14|1|1|Expanded|장학금|scholarship|獎學金|reward, study, money|전액 장학금|full scholarship|장학금을 받다|to receive a scholarship|6470
30|1|2|Expanded|특기|special ability|特技|special, skill|특기 사항|special skills section|특기를 살리다|to utilize one's special ability|6473
471|16|1|Dialogue|괴로워하다|to be tormented||suffer, do|고민에 괴로워하다|to be tormented by worries|괴로워하지 마세요|don't suffer|6520
502|17|1|Dialogue|수입하다|to import|輸入하다|transport, enter, do|제품을 수입하다|to import products|수입한 물건|imported goods|6549
488|16|2|Dialogue|쓸데없이|needlessly||use, place, without|쓸데없이 걱정하다|to worry needlessly|쓸데없는 말|needless words|6609
526|18|1|Dialogue|술자리|meeting with drinks||alcohol, place|술자리에 가다|to go to a drinking gathering|술자리가 많아요|there are many drinking gatherings|6623
231|8|1|Expanded|게으르다|to be lazy||to be lazy|너무 게으르다|too lazy|게으른 사람|lazy person|6783
273|9|2|Expanded|늦추다|to delay||to make late|시간을 늦추다|to delay time|늦춰 주세요|please delay it|6795
266|9|2|Dialogue|번거롭다|troublesome||to be bothersome|너무 번거롭다|too troublesome|번거로운 일|troublesome matter|6805
395|13|1|Dialogue|신제품|new product|新製品|new, make, product|신제품 출시|new product launch|신제품이 나왔어요|a new product came out|6845
48|2|1|Expanded|의논하다|to discuss|議論하다|discuss, theory, do|친구와 의논하다|to discuss with a friend|의논해 볼게요|I'll discuss it|6886
367|12|1|Dialogue|입장료|entrance fee|入場料|enter, place, fee|입장료 할인|entrance fee discount|입장료가 비싸다|entrance fee is expensive|6970
588|20|1|Expanded|핸들|steering wheel||handle|핸들을 잡다|to hold the steering wheel|핸들을 돌리다|to turn the steering wheel|7065
424|14|1|Dialogue|초청하다|to invite|招請하다|call, invite, do|친구를 초청하다|to invite a friend|초청받았어요|I was invited|7080
384|13|1|Dialogue|의류|clothing|衣類|clothes, category|의류 매장|clothing store|의류를 정리하다|to organize clothes|7133
501|17|1|Dialogue|귀하다|to be precious|貴重하다|precious, heavy, do|귀한 시간|precious time|귀한 손님|precious guest|7152
235|8|2|Dialogue|영양제|nutritional supplements|營養劑|manage, nourish, medicine|영양제 복용|taking nutritional supplements|영양제를 먹다|to take supplements|7183
164|6|1|Expanded|수납|payment|收納|receive, pay|수납 창구|payment counter|수납하러 가다|to go pay|7300
16|1|1|Expanded|졸업생|graduate|卒業生|finish, work, student|작년 졸업생|last year's graduate|졸업생 모임|alumni gathering|7375
219|8|1|Dialogue|식욕|appetite|食慾|eat, desire|식욕이 없다|to have no appetite|식욕이 생기다|appetite develops|7513
491|16|2|Dialogue|충고|warning|忠告|loyal, tell|충고를 듣다|to listen to a warning|충고해 줬어요|I gave advice|7685
234|8|2|Dialogue|안색|complexion|顔色|face, color|안색이 안 좋다|complexion is not good|안색이 밝다|complexion is bright|7693
299|10|1|Dialogue|부끄러워하다|to be embarrassed||to feel ashamed|실수를 부끄러워하다|to be embarrassed about a mistake|부끄러워하지 마세요|don't be embarrassed|7794
325|10|2|Expanded|화해하다|to make amends|和解하다|harmony, understand, do|친구와 화해하다|to make up with a friend|화해했어요|we made up|7799
152|5|2|Expanded|야식|late night snack|夜食|night, eat|야식 배달|late night snack delivery|야식을 시키다|to order late night snack|7874
410|13|2|Dialogue|소비하다|to consume|消費하다|use, spend, do|에너지를 소비하다|to consume energy|소비하는 습관|consumption habits|7911
31|1|2|Expanded|학력|level of education|學力|study, power|최종 학력|final education level|학력을 기재하다|to record education level|7924
531|18|1|Dialogue|친분|acquaintance|親分|intimate, portion|친분이 있다|to have an acquaintance|친분을 쌓다|to build a relationship|8057
499|17|1|Dialogue|통역|interpretation|通譯|pass, translate|통역 서비스|interpretation service|통역을 하다|to interpret|8133
23|1|2|Dialogue|입사하다|to join a company|入社하다|enter, company, do|회사에 입사하다|to join a company|입사한 지 1년 됐어요|it's been a year since I joined|8164
459|15|2|Dialogue|관계없이|without|關係없이|relation, connection, without|나이 관계없이|regardless of age|경력 관계없이|regardless of experience|8221
25|1|2|Expanded|사회생활|social life|社會生活|company, meeting, life, live|처음 사회생활|first time in society|사회생활을 시작하다|to start working life|8265
216|8|1|Dialogue|규칙적|routine|規則的|rule, then, target|규칙적인 생활|regular lifestyle|규칙적으로 운동하다|to exercise regularly|8276
403|13|2|Dialogue|환불|refund|還拂|return, wipe|환불 요청|refund request|환불받았어요|I got a refund|8297
601|20|1|Expanded|캠퍼스|campus||campus|캠퍼스 생활|campus life|캠퍼스를 걷다|to walk on campus|8353
56|2|2|Expanded|발표회|presentation|發表會|emit, express, meeting|연주 발표회|music recital|발표회를 열다|to hold a presentation|8491
69|3|1|Expanded|고층|high-rise|高層|high, layer|고층 아파트|high-rise apartment|고층에 살다|to live on a high floor|8598
334|11|1|Dialogue|사용법|usage manual|使用法|use, use, method|제품 사용법|product usage instructions|사용법을 읽다|to read the instructions|8639
464|15|2|Dialogue|초보자|beginner|初步者|begin, step, person|초보자 환영|beginners welcome|초보자도 가능해요|beginners are also possible|8642
100|3|2|Expanded|쫓기다|to be chased||chase|시간에 쫓기다|to be pressed for time|쫓기듯 살다|to live being chased|8668
76|3|2|Dialogue|난방|heating|暖房|warm, room|난방 시설|heating facility|난방을 켜다|to turn on the heating|8692
462|15|2|Dialogue|등록금|tuition|登錄金|climb, record, money|등록금을 내다|to pay tuition|등록금이 비싸요|tuition is expensive|8722
332|11|1|Dialogue|대강|roughly|大綱|big, outline|대강 알다|to know roughly|대강 설명하다|to explain roughly|8935
540|18|2|Dialogue|부자연스럽다|to be unnatural|不自然스럽다|not, self, natural, -like|부자연스러운 표현|unnatural expression|부자연스러워요|it's unnatural|8956
425|14|2|Dialogue|빈손|empty-handed|빈손|empty, hand|빈손으로 가다|to go empty-handed|빈손으로 오지 마세요|don't come empty-handed|8962
233|8|1|Expanded|부지런하다|to be hard-working||to be diligent|정말 부지런하다|really diligent|부지런한 사람|diligent person|8995
469|16|1|Dialogue|사고방식|way of thinking|思考方式|think, consider, method, style|사고방식이 다르다|the way of thinking is different|사고방식을 바꾸다|to change one's way of thinking|9083
171|6|1|Expanded|복용하다|to intake|服用하다|take, use, do|약을 복용하다|to take medicine|하루 세 번 복용하세요|take it three times a day|9182
80|3|2|Dialogue|신혼부부|newlyweds|新婚夫婦|new, marriage, husband, wife|신혼부부 집|newlyweds' house|신혼부부를 위한|for newlyweds|9522
271|9|2|Expanded|녹이다|to melt something||to make melt|설탕을 녹이다|to melt sugar|녹여 주세요|please melt it|9541
426|14|2|Dialogue|실용적|practical|實用的|real, use, -like|실용적인 선물|practical gift|실용적이에요|it's practical|9627
97|3|2|Expanded|씻기다1|to be washed||wash|깨끗이 씻기다|to be washed clean|잘 안 씻겨요|it doesn't wash off well|9632
283|9|2|Expanded|씻기다2|to wash something||to make wash|아기를 씻기다|to wash a baby|씻겨 주세요|please wash it|9632
389|13|1|Dialogue|절약하다|to save|節約하다|save, promise, do|돈을 절약하다|to save money|절약해서 살아요|I live frugally|9714
535|18|2|Dialogue|별일|special plans|別事|separate, matter|별일 없어요|nothing special|별일 있어요?|is there anything special?|9727
55|2|2|Expanded|국악|Korean traditional music|國樂|country, music|국악 공연|Korean traditional music performance|국악을 배우다|to learn Korean traditional music|9792
329|11|1|Dialogue|문의하다|to inquire|問議하다|ask, discuss, do|전화로 문의하다|to inquire by phone|문의해 주세요|please inquire|9793
409|13|2|Dialogue|판매자|seller|販賣者|sell, sell, person|판매자 정보|seller information|판매자에게 문의하다|to inquire with the seller|10089
545|18|2|Dialogue|불확실하다|to be uncertain|不確實하다|not, certain, real, do|불확실한 미래|uncertain future|불확실해요|it's uncertain|10186
175|6|2|Dialogue|진통제|painkiller|鎭痛劑|suppress, pain, medicine|진통제 처방|painkiller prescription|진통제를 먹다|to take painkillers|10191
121|4|2|Dialogue|제대로|correctly|제대로|properly|제대로 하다|to do properly|제대로 안 돼요|it's not done properly|10401
120|4|2|Dialogue|따로따로|separately||separately|따로따로 버리다|to throw away separately|따로따로 보관하다|to store separately|10491
122|4|2|Expanded|건전지|battery|乾電池|dry, electric, pond|건전지 교체|battery replacement|건전지를 갈다|to change batteries|10782
585|20|1|Expanded|플러그|plug||plug|플러그를 꽂다|to plug in|플러그를 빼다|to unplug|10841
58|2|2|Expanded|합창|chorus|合唱|combine, sing|합창 공연|chorus performance|합창을 하다|to sing in chorus|10858
320|10|2|Expanded|어기다|to break a promise||to violate|약속을 어기다|to break a promise|어기지 마세요|don't break it|10869
185|6|2|Expanded|가렵다|to be itchy||to itch|피부가 가렵다|skin is itchy|너무 가려워요|it's so itchy|10940
548|19|1|Dialogue|민속놀이|traditional folk games|民俗놀이|people, custom, play|민속놀이 체험|traditional folk games experience|민속놀이를 하다|to play traditional folk games|11088
174|6|2|Dialogue|엑스레이|x-ray||X-ray (loanword)|엑스레이 촬영|X-ray imaging|엑스레이를 찍다|to take an X-ray|11095
503|17|1|Dialogue|다행스럽다|to be fortunate|多幸스럽다|many, fortunate, -like|다행스러운 일|fortunate thing|다행스럽게도|fortunately|11142
352|11|2|Expanded|판소리|pansori||pan, sound|판소리 공연|pansori performance|판소리를 듣다|to listen to pansori|11181
594|20|1|Expanded|쇼핑백|shopping bag||shopping, bag|쇼핑백에 담다|to put in a shopping bag|쇼핑백 주세요|please give me a shopping bag|11211
126|4|2|Expanded|형광등|fluorescent light|螢光燈|firefly, light, lamp|형광등 교체|fluorescent light replacement|형광등을 갈다|to change fluorescent lights|11239
57|2|2|Expanded|연주회|performance|演奏會|perform, play, meeting|피아노 연주회|piano performance|연주회에 가다|to go to a performance|11278
13|1|1|Expanded|입학식|enrollment ceremony|入學式|enter, study, ceremony|대학교 입학식|university entrance ceremony|입학식에 참석하다|to attend the entrance ceremony|11295
463|15|2|Dialogue|시급|hourly wage|時給|time, give|시급이 높다|the hourly wage is high|시급 만 원|10,000 won per hour|11425
520|18|1|Dialogue|별미|delicacy|別味|separate, taste|지역 별미|local delicacy|별미를 맛보다|to taste a delicacy|11611
549|19|1|Dialogue|윷놀이|Yunnori||yut, play|윷놀이를 하다|to play Yunnori|윷놀이 판|Yunnori board|11888
391|13|1|Dialogue|반값|half price|半價|half, price|반값 할인|half-price discount|반값에 샀어요|I bought it at half price|11972
565|19|2|Dialogue|뛰어놀다|to run and play||run, play|아이들이 뛰어놀다|children run and play|밖에서 뛰어놀아요|playing outside|12112
257|9|1|Expanded|안전띠|safety belt|安全띠|safe, complete, belt|안전띠 착용|wearing a safety belt|안전띠를 매다|to fasten a safety belt|12333
547|19|1|Dialogue|덕수궁|Deoksugung Palace|德壽宮|virtue, longevity, palace|덕수궁 관람|Deoksugung tour|덕수궁에 갔어요|I went to Deoksugung|12368
407|13|2|Dialogue|치수|size|尺寸|foot, inch|치수가 안 맞다|the size doesn't fit|치수를 재다|to measure the size|12395
15|1|1|Expanded|재학생|enrolled student|在學生|be, study, student|현재 재학생|currently enrolled student|재학생 증명서|proof of enrollment|12510
131|5|1|Dialogue|놀라다|to be surprised||surprise|깜짝 놀라다|to be startled|놀란 표정|surprised expression|12516
134|5|1|Dialogue|찾아뵈다|to visit||find, see|교수님을 찾아뵈다|to visit the professor|찾아뵙겠습니다|I will visit you|12525
230|8|1|Expanded|흡연|smoking|吸煙|inhale, smoke|흡연 구역|smoking area|흡연을 금지하다|to prohibit smoking|12533
