Korean|English|Korean Chunk 1|English Chunk 1|Korean Chunk 2|English Chunk 2
쌓이다|to be accumulated|눈이 쌓이다|snow accumulates|쌓인 먼지|accumulated dust
판매자|seller|판매자 정보|seller information|판매자에게 문의하다|to inquire with the seller
챙기다|to pack or to take|짐을 챙기다|to pack luggage|잘 챙겨 가세요|take care and go
확실하다|to be sure|확실한 정보|certain information|확실히 알다|to know for sure
관람하다|to watch|공연을 관람하다|to watch a performance|관람하러 가다|to go watch
카센터|auto repair center|카센터에 가다|to go to an auto repair center|카센터에 맡겼어요|I left it at the auto repair center
지원서|application|지원서를 제출하다|to submit an application|지원서를 작성하다|to fill out an application
부정확하다|to be inaccurate|부정확한 정보|inaccurate information|부정확해요|it's inaccurate
골고루|evenly|골고루 먹다|to eat evenly|골고루 섞다|to mix evenly
개인적|personal|개인적인 문제|personal problem|개인적으로 생각해요|I personally think
동기|classmate|대학교 동기|college classmate|동기들과 만나다|to meet with classmates
회장|president|학생회 회장|student council president|회장 선거|president election
고생하다|to suffer|많이 고생하다|to suffer a lot|고생했어요|you've been through a lot
화면|screen|휴대폰 화면|phone screen|화면이 깨지다|screen breaks
그리|not very|그리 좋지 않다|not very good|그리 멀지 않아요|it's not very far
발표회|presentation|연주 발표회|music recital|발표회를 열다|to hold a presentation
곤란하다|to be difficult or awkward|곤란한 상황|difficult situation|곤란해요|I'm in trouble
템플스테이|temple stay|템플스테이 체험|temple stay experience|템플스테이를 하다|to do a temple stay
온라인동호회|online club|온라인 동호회 활동|online club activities|온라인 동호회에 가입하다|to join an online club
관람객|audience|많은 관람객|many audience members|관람객이 몰리다|audience gathers
특기|special ability|특기 사항|special skills section|특기를 살리다|to utilize one's special ability
국제진료센터|International Health Care Center|국제진료센터 예약|international clinic reservation|국제진료센터에 가다|to go to the international clinic
근육이생기다|to develop muscles|운동하면 근육이 생기다|muscles develop when you exercise|근육이 많이 생겼어요|I developed a lot of muscle
멀티탭|extension cord|멀티탭을 사다|to buy an extension cord|멀티탭이 필요해요|I need an extension cord
꽤|very|꽤 좋아요|it's quite good|꽤 오래됐어요|it's been quite a while
넉넉하다|to be plentiful|음식이 넉넉하다|there's plenty of food|넉넉하게 준비했어요|I prepared generously
진학상담|academic counseling|대학 진학상담|university admission counseling|진학상담을 받다|to receive academic counseling
상담내용|content of counseling|오늘 상담내용|today's counseling content|상담내용을 정리하다|to organize counseling content
밤새|all night|밤새 공부하다|to study all night|밤새 못 잤어요|I couldn't sleep all night
상상하다|to imagine|미래를 상상하다|to imagine the future|상상도 못 했어요|I couldn't even imagine
역무실|Station Office|역무실 위치|station office location|역무실로 가다|to go to the station office
콘센트|(electrical) outlet|콘센트에 꽂다|to plug into an outlet|콘센트가 어디예요?|where's the outlet?
금연|no smoking|금연 구역|no smoking area|금연하고 있어요|I'm quitting smoking
깨우다|to wake up|아침에 깨우다|to wake up in the morning|깨워 주세요|please wake me up
자부심|pride|자부심을 느끼다|to feel pride|자부심이 있어요|I have pride
숙박비|lodging fee|숙박비 포함|including lodging fee|숙박비를 내다|to pay lodging fee
연주회|performance|피아노 연주회|piano performance|연주회에 가다|to go to a performance
다양하다|to be diverse|다양한 종류|diverse types|다양해요|it's diverse
신기다|to put on|신발을 신기다|to put shoes on someone|신겨 주세요|please put them on
판매하다|to sell|제품을 판매하다|to sell products|온라인으로 판매해요|I sell online
발음|pronunciation|발음이 좋다|the pronunciation is good|발음을 연습하다|to practice pronunciation
복용하다|to intake|약을 복용하다|to take medicine|하루 세 번 복용하세요|take it three times a day
들다2|to cost|돈이 많이 들다|to cost a lot of money|얼마나 들어요?|how much does it cost?
편|team|우리 편|our team|편을 나누다|to divide into teams
환상적|fantastic|환상적인 장면|fantastic scene|환상적이었어요|it was fantastic
연날리기|flying a kite|연날리기 대회|kite flying contest|연날리기를 하다|to fly a kite
사회생활|social life|처음 사회생활|first time in society|사회생활을 시작하다|to start working life
후회스럽다|to be regrettable|후회스러운 일|regrettable thing|후회스러워요|I feel regretful
조사하다|to investigate|사건을 조사하다|to investigate a case|조사해 볼게요|I'll investigate
행사|event|문화 행사|cultural event|행사에 참여하다|to participate in an event
기능|function|다양한 기능|various functions|기능이 좋아요|the function is good
단점|demerits|큰 단점|major disadvantage|단점을 보완하다|to complement weaknesses
합격하다|to pass|시험에 합격하다|to pass an exam|합격했어요|I passed
장학금|scholarship|전액 장학금|full scholarship|장학금을 받다|to receive a scholarship
대단하다|to be great|정말 대단하다|really great|대단한 사람|amazing person
부자연스럽다|to be unnatural|부자연스러운 표현|unnatural expression|부자연스러워요|it's unnatural
틀림없이|undoubtedly|틀림없이 올 거예요|he'll definitely come|틀림없어요|it's certain
근데|but|근데 말이야|but you know|근데 왜 그래?|but why?
쓰이다|to be used for|자주 쓰이다|to be used often|많이 쓰여요|it's used a lot
쓰러지다|to collapse|갑자기 쓰러지다|to suddenly collapse|쓰러졌어요|I collapsed
재활용품|recyclables|재활용품 분리|recyclables separation|재활용품을 모으다|to collect recyclables
정원|garden|집 정원|house garden|정원을 꾸미다|to decorate the garden
죽이다|to kill|벌레를 죽이다|to kill a bug|죽이지 마세요|don't kill it
필수|requirement; a must|필수 항목|required item|필수예요|it's a must
보이다2|to show|사진을 보이다|to show a photo|보여 주세요|please show me
무대|stage|무대 위|on stage|무대에 서다|to stand on stage
묵다|to stay the night|호텔에 묵다|to stay at a hotel|하룻밤 묵었어요|I stayed one night
또는|or|커피 또는 차|coffee or tea|또는 다른 방법|or another way
두다|to leave|여기 두다|to leave here|그냥 둬요|just leave it
낮추다|to lower|목소리를 낮추다|to lower one's voice|낮춰 주세요|please lower it
질|quality|질이 좋다|the quality is good|질이 떨어져요|the quality is poor
갖다|to have|생각을 갖다|to have thoughts|갖고 있어요|I have it
가능하다|to be possible|예약이 가능하다|reservation is possible|가능한 시간|available time
야식|late night snack|야식 배달|late night snack delivery|야식을 시키다|to order late night snack
거절을당하다|to be refused|고백을 거절당하다|to be refused a confession|거절당했어요|I was rejected
소비자|consumer|소비자 보호|consumer protection|소비자 입장에서|from the consumer's perspective
지다|to lose|게임에 지다|to lose a game|졌어요|I lost
그렇지않아도|as a matter of fact|그렇지않아도 연락하려고 했어요|I was going to contact you anyway|그렇지않아도 궁금했어요|I was curious about that anyway
녹이다|to melt something|설탕을 녹이다|to melt sugar|녹여 주세요|please melt it
끊다|to quit|담배를 끊다|to quit smoking|끊기 힘들어요|it's hard to quit
부상|injury|심한 부상|serious injury|부상을 입다|to get injured
대강|roughly|대강 알다|to know roughly|대강 설명하다|to explain roughly
겨우|only|겨우 한 개|only one|겨우 끝났어요|I barely finished
표현하다|to express|감정을 표현하다|to express emotions|잘 표현했어요|you expressed it well
멋지다|to be fabulous|정말 멋지다|really fabulous|멋진 풍경|fabulous scenery
벌금|fine|쓰레기 벌금|garbage fine|벌금을 내다|to pay a fine
선택하다|to choose|과목을 선택하다|to choose a subject|선택해 주세요|please choose
각자|each|각자 준비하다|each person prepares|각자 할 일|each person's task
늦추다|to delay|시간을 늦추다|to delay time|늦춰 주세요|please delay it
번역|translation|번역 작업|translation work|번역을 하다|to translate
의논하다|to discuss|친구와 의논하다|to discuss with a friend|의논해 볼게요|I'll discuss it
놓이다|to be placed|책상 위에 놓이다|to be placed on the desk|놓여 있어요|it's placed
교육환경|educational environment|좋은 교육환경|good educational environment|교육환경이 우수하다|educational environment is excellent
촬영하다|to take a photograph or to film|엑스레이를 촬영하다|to take an X-ray|촬영해 보겠습니다|let's take a picture
반하다|to fall in love with|한눈에 반하다|to fall in love at first sight|완전히 반했어요|I completely fell for it
선반|top shelf|위 선반|top shelf|선반 위에 두다|to put on the shelf
가렵다|to be itchy|피부가 가렵다|skin is itchy|너무 가려워요|it's so itchy
진찰실|treatment room|진찰실 입구|treatment room entrance|진찰실로 들어가다|to enter the treatment room
덕수궁|Deoksugung Palace|덕수궁 관람|Deoksugung tour|덕수궁에 갔어요|I went to Deoksugung
뜻대로|according to plan|뜻대로 되다|to go as planned|뜻대로 안 돼요|it doesn't go as planned
재학생|enrolled student|현재 재학생|currently enrolled student|재학생 증명서|proof of enrollment
들키다|to be found out|비밀이 들키다|secret is found out|들켰어요|I got caught
동문서답|incoherent reply|동문서답을 하다|to give an incoherent reply|동문서답이네요|that's an incoherent answer
오토바이|motorcycle|오토바이를 타다|to ride a motorcycle|오토바이 배달|motorcycle delivery
건전지|battery|건전지 교체|battery replacement|건전지를 갈다|to change batteries
궁금하다|to be curious|정말 궁금하다|really curious|궁금한 게 있어요|I have something I'm curious about
고민|worry|고민이 있다|to have a worry|고민을 상담하다|to consult about worries
알려지다|to become known|널리 알려지다|to be widely known|알려진 사실|known fact
품질|quality|품질이 좋다|the quality is good|품질을 확인하다|to check the quality
여드름|pimples|여드름 치료|acne treatment|여드름이 나다|to get pimples
부끄러워하다|to be embarrassed|실수를 부끄러워하다|to be embarrassed about a mistake|부끄러워하지 마세요|don't be embarrassed
낯설다|to be unfamiliar|낯선 환경|unfamiliar environment|낯설게 느껴지다|to feel unfamiliar
주고받다|to give and take|의견을 주고받다|to exchange opinions|주고받았어요|we exchanged
절약하다|to save|돈을 절약하다|to save money|절약해서 살아요|I live frugally
가죽|leather|가죽 가방|leather bag|가죽으로 만든|made of leather
해결하다|to resolve|문제를 해결하다|to solve a problem|해결했어요|I resolved it
번거롭다|troublesome|너무 번거롭다|too troublesome|번거로운 일|troublesome matter
닫히다|to be closed|문이 닫히다|the door closes|닫혀 있어요|it's closed
앞두다|to have something coming up|시험을 앞두다|to have an exam coming up|출발을 앞두고|before departure
역할|role|역할을 맡다|to take a role|역할이 중요해요|the role is important
낯을가리다|to be uncomfortable around strangers|아기가 낯을 가리다|the baby is shy around strangers|낯을 많이 가려요|I'm very shy around strangers
화가나다|to be angry|너무 화가 나다|to be very angry|화가 나요|I'm angry
예정|plan|이사 예정|moving plan|예정대로 하다|to do as planned
먹이다|to feed|아기에게 먹이다|to feed a baby|먹여 주세요|please feed
안내원|guide|관광 안내원|tour guide|안내원을 찾다|to look for a guide
반값|half price|반값 할인|half-price discount|반값에 샀어요|I bought it at half price
다행이다|to be a relief|정말 다행이다|it's really a relief|다행이에요|that's fortunate
학과|department|경영학과|business department|학과 사무실|department office
난방|heating|난방 시설|heating facility|난방을 켜다|to turn on the heating
상쾌하다|to be fresh|공기가 상쾌하다|the air is fresh|상쾌한 아침|refreshing morning
친분|acquaintance|친분이 있다|to have an acquaintance|친분을 쌓다|to build a relationship
입사하다|to join a company|회사에 입사하다|to join a company|입사한 지 1년 됐어요|it's been a year since I joined
핸들|steering wheel|핸들을 잡다|to hold the steering wheel|핸들을 돌리다|to turn the steering wheel
합창|chorus|합창 공연|chorus performance|합창을 하다|to sing in chorus
속마음|inner feelings|진짜 속마음|true inner feelings|속마음을 말하다|to speak one's true feelings
좌석|seats|좌석 예매|seat reservation|좌석을 고르다|to choose a seat
까먹다|to forget|깜빡 까먹다|to completely forget|까먹었어요|I forgot
윷놀이|Yunnori|윷놀이를 하다|to play Yunnori|윷놀이 판|Yunnori board
잔소리가많다|to nag a lot|엄마는 잔소리가 많다|mom nags a lot|잔소리가 너무 많아요|you nag too much
가득하다|to be full|쓰레기가 가득하다|trash is full|가득 찼어요|it's full
후회하다|to regret|선택을 후회하다|to regret a choice|후회하지 마세요|don't regret it
어떡하다|what to do|어떡하지?|what should I do?|어떡해요?|what do we do?
개통하다|to open|전화를 개통하다|to activate a phone|개통했어요|I activated it
회복|recovery|빠른 회복|quick recovery|회복이 빠르다|recovery is fast
감추다|to hide|감정을 감추다|to hide emotions|감추지 마세요|don't hide it
여가|leisure|여가 시간|leisure time|여가를 즐기다|to enjoy leisure
규칙적|routine|규칙적인 생활|regular lifestyle|규칙적으로 운동하다|to exercise regularly
불가능하다|to be impossible|불가능한 일|impossible thing|불가능해요|it's impossible
자연환경|natural environment|깨끗한 자연환경|clean natural environment|자연환경을 보호하다|to protect the natural environment
성적|grades|이번 학기 성적|this semester's grades|성적이 좋다|grades are good
점수|grade|점수가 높다|the grade is high|점수를 받다|to receive a grade
놀랍다|to be amazing|정말 놀랍다|really amazing|놀라운 일|amazing thing
엑스레이|x-ray|엑스레이 촬영|X-ray imaging|엑스레이를 찍다|to take an X-ray
우정|friendship|우정을 나누다|to share friendship|우정이 깊어요|the friendship is deep
자랑스럽다|to be proud of|자랑스러운 순간|proud moment|자랑스러워요|I'm proud
찾아다니다|to look for|맛집을 찾아다니다|to look for good restaurants|찾아다녔어요|I looked around
일반쓰레기|non-food trash|일반쓰레기 봉투|general trash bag|일반쓰레기로 버리다|to throw away as general trash
가져오다|to bring|우산을 가져오다|to bring an umbrella|내일 가져올게요|I'll bring it tomorrow
당하다|to suffer|사고를 당하다|to suffer an accident|당했어요|I suffered it
거절하다|to refuse|제안을 거절하다|to refuse an offer|거절했어요|I refused
사실|actually|사실은 말이야|actually|사실이에요|it's true
화해하다|to make amends|친구와 화해하다|to make up with a friend|화해했어요|we made up
사이좋다|to have a good relationship|사이좋게 지내다|to get along well|사이좋은 친구|close friends
군데|a place|한 군데|one place|몇 군데|a few places
끼이다|to be jammed between|손이 끼이다|hand gets caught|끼였어요|it's jammed
공공장소|public place|공공장소에서|in a public place|공공장소 예절|public place etiquette
물가|price|물가가 오르다|prices rise|물가가 비싸요|prices are high
유익하다|to be beneficial|유익한 정보|beneficial information|유익해요|it's beneficial
신형|new model|신형 모델|new model|신형이 나왔어요|a new model came out
솔직히말하다|to be honest; to speak frankly|솔직히 말하면|to be honest|솔직히 말해 주세요|please speak frankly
숨다|to hide|어디 숨다|to hide somewhere|숨었어요|I hid
덕분|thanks to|당신 덕분에|thanks to you|덕분에 성공했어요|I succeeded thanks to (you)
차츰|little by little|차츰 좋아지다|to gradually improve|차츰 익숙해졌어요|I gradually got used to it
따르다|to follow|조언을 따르다|to follow advice|따라 하세요|please follow
수입하다|to import|제품을 수입하다|to import products|수입한 물건|imported goods
자신|confidence|자신이 있다|to have confidence|자신 없어요|I don't have confidence
보험|insurance|보험에 가입하다|to sign up for insurance|보험료를 내다|to pay insurance premiums
나타내다|to show|감정을 나타내다|to show emotions|나타내 주세요|please show it
알리다|to let someone know|소식을 알리다|to inform news|알려 주세요|please let me know
자연스럽다|to be natural|자연스러운 표현|natural expression|자연스럽게 말해요|I speak naturally
졸업생|graduate|작년 졸업생|last year's graduate|졸업생 모임|alumni gathering
사용법|usage manual|제품 사용법|product usage instructions|사용법을 읽다|to read the instructions
고객|customer|고객 센터|customer center|고객을 응대하다|to serve customers
훌륭하다|to be superb or excellent|정말 훌륭하다|really excellent|훌륭한 작품|excellent work
전국|nationwide|전국 배송|nationwide delivery|전국에서 왔어요|they came from all over the country
긴장되다|to be nervous|많이 긴장되다|to be very nervous|긴장돼서 떨려요|I'm nervous and shaking
들리다|to be heard|소리가 들리다|sound is heard|잘 안 들려요|I can't hear well
링거|IV|링거를 맞다|to get an IV|링거 맞고 있어요|I'm getting an IV
경기장|stadium|축구 경기장|soccer stadium|경기장에 가다|to go to the stadium
부동산|real estate agency|부동산 중개소|real estate agency|부동산에 가다|to go to a real estate agency
응원하다|to cheer|친구를 응원하다|to cheer for a friend|응원해 줄게요|I'll cheer for you
전용|for specific use only|회원 전용|for members only|전용 공간|exclusive space
찾아뵈다|to visit|교수님을 찾아뵈다|to visit the professor|찾아뵙겠습니다|I will visit you
태우다|to make someone ride|차에 태우다|to give someone a ride|태워 주세요|please give me a ride
밴드|bandaid|밴드를 붙이다|to put on a bandaid|밴드 있어요?|do you have a bandaid?
속이다|to fool|사람을 속이다|to deceive someone|속이지 마세요|don't deceive me
혹시|perhaps|혹시 아세요?|do you perhaps know?|혹시 몰라서|just in case
입학하다|to enroll|대학에 입학하다|to enroll in university|입학한 지 얼마 안 됐어요|I enrolled not long ago
찍히다|to be poked|사진에 찍히다|to be photographed|찍혀 있어요|it's captured
경력|work experience|경력이 많다|to have a lot of experience|경력 3년|3 years of experience
추천서|letter of recommendation|추천서를 쓰다|to write a letter of recommendation|추천서가 필요해요|I need a letter of recommendation
싸다|to pack|짐을 싸다|to pack luggage|다 쌌어요|I packed everything
삼삼오오|in small groups|삼삼오오 모이다|to gather in small groups|삼삼오오 걸어가요|walking in small groups
새내기|freshman|대학 새내기|college freshman|새내기 파티|freshman party
경력자|experienced individual|경력자 우대|preference for experienced individuals|경력자를 찾아요|looking for experienced people
잔뜩|to the full|잔뜩 먹다|to eat a lot|잔뜩 화났어요|very angry
버리다|to throw away|쓰레기를 버리다|to throw away trash|버려야 해요|I need to throw it away
옮기다|to move|짐을 옮기다|to move luggage|옮겨 놓다|to move and place
괜히|uselessly|괜히 걱정하다|to worry needlessly|괜히 그랬어요|I did it for nothing
앉히다|to sit someone down|의자에 앉히다|to seat someone in a chair|앉혀 주세요|please seat them
걱정스럽다|to be worrisome|걱정스러운 표정|a worried expression|걱정스러워요|I'm worried
생활방식|way of life|다른 생활방식|different lifestyle|생활방식이 다르다|lifestyles are different
깨지다|to be broken|유리가 깨지다|glass is broken|깨진 그릇|broken dish
짜다|to set|계획을 짜다|to make a plan|일정을 짰어요|I set the schedule
틈|gap|문틈|door gap|틈이 생기다|a gap forms
풀다|to solve|문제를 풀다|to solve a problem|숙제를 풀었어요|I solved the homework
자유롭다|to be free|자유로운 여행|free travel|자유롭게 다니다|to go around freely
간식|snack|오후 간식|afternoon snack|간식을 먹다|to eat a snack
성적증명서|transcript|성적증명서를 발급받다|to get a transcript issued|성적증명서가 필요해요|I need a transcript
성별|gender|남녀 성별|male and female gender|성별을 표시하다|to indicate gender
작품|work of art|예술 작품|work of art|작품을 만들다|to create a work
최선|best|최선을 다하다|to do one's best|최선의 노력|best effort
포장이사|packing and moving service|포장이사 업체|packing and moving company|포장이사를 맡기다|to hire a packing service
굉장하다|to be great|굉장한 경치|magnificent scenery|굉장히 좋아요|it's really great
전화상담|phone counseling|전화상담 서비스|phone counseling service|전화상담을 하다|to do phone counseling
내다|to make time|시간을 내다|to make time|시간 좀 내 주세요|please make some time
수리|repair|수리 비용|repair cost|수리를 맡기다|to leave for repair
고궁|old palace|고궁을 구경하다|to tour an old palace|고궁에 가다|to go to an old palace
안과|ophthalmology|안과 진료|ophthalmology treatment|안과에 가다|to go to the eye doctor
밤늦게|late at night|밤늦게까지 일하다|to work late into the night|밤늦게 들어왔어요|I came in late at night
갖추다|to possess|예의를 갖추다|to have proper manners|준비를 갖췄어요|I'm fully prepared
지내보다|to get along with|함께 지내보다|to spend time together|지내보니까 괜찮아요|after spending time, it's okay
먹히다|to be eaten|약이 잘 먹히다|medicine works well|안 먹혀요|it doesn't go down
눕히다|to lay down|아기를 눕히다|to lay the baby down|눕혀 놓다|to lay down
저층|low-rise|저층 건물|low-rise building|저층에 살다|to live on a low floor
판소리|pansori|판소리 공연|pansori performance|판소리를 듣다|to listen to pansori
나타나다|to reveal|증상이 나타나다|symptoms appear|나타났어요|it appeared
영양|nutrition|영양 섭취|nutrition intake|영양이 풍부하다|rich in nutrition
고층|high-rise|고층 아파트|high-rise apartment|고층에 살다|to live on a high floor
어기다|to break a promise|약속을 어기다|to break a promise|어기지 마세요|don't break it
말없이|wordlessly|말없이 떠나다|to leave wordlessly|말없이 듣고 있어요|listening without saying anything
신혼부부|newlyweds|신혼부부 집|newlyweds' house|신혼부부를 위한|for newlyweds
데리다|to bring with|아이를 데리다|to bring a child|친구를 데리고 가요|I'm bringing a friend
일시|date and time|공연 일시|performance date and time|일시를 확인하다|to check the date and time
그만두다|to quit|일을 그만두다|to quit a job|그만뒀어요|I quit
내려가다|to go down|열이 내려가다|fever goes down|가격이 내려갔어요|the price went down
상담실|counseling office|학생 상담실|student counseling office|상담실에 가다|to go to the counseling office
추리닝|sweatsuit|추리닝을 입다|to wear a sweatsuit|추리닝 바지|sweatpants
꽂히다|to be stuck|플러그가 꽂히다|the plug is inserted|꽂혀 있어요|it's plugged in
게으르다|to be lazy|너무 게으르다|too lazy|게으른 사람|lazy person
사과하다|to apologize|진심으로 사과하다|to sincerely apologize|사과할게요|I'll apologize
소비하다|to consume|에너지를 소비하다|to consume energy|소비하는 습관|consumption habits
꿈|dream|어릴 적 꿈|childhood dream|꿈을 이루다|to achieve a dream
괴로워하다|to be tormented|고민에 괴로워하다|to be tormented by worries|괴로워하지 마세요|don't suffer
휠체어|wheelchair|휠체어를 타다|to use a wheelchair|휠체어 사용자|wheelchair user
목표|goal|목표를 세우다|to set a goal|목표가 뭐예요?|what's your goal?
맛집|highly recommended restaurant|유명한 맛집|famous restaurant|맛집을 찾다|to look for a good restaurant
연기|acting|훌륭한 연기|excellent acting|연기가 자연스럽다|acting is natural
적어도|at least|적어도 한 시간|at least one hour|적어도 해 보세요|at least try it
십중팔구|in nine out of ten cases|십중팔구 올 거예요|he'll come in nine out of ten cases|십중팔구 그래요|it's like that nine times out of ten
놓치다|to miss|기회를 놓치다|to miss an opportunity|버스를 놓쳤어요|I missed the bus
살리다|to save|생명을 살리다|to save a life|살려 주세요|please save me
활용하다|to utilize|자료를 활용하다|to utilize materials|잘 활용하세요|please utilize it well
식후|after meals|식후 30분|30 minutes after meals|식후에 드세요|take it after meals
바뀌다|to be changed|계획이 바뀌다|plans change|많이 바뀌었어요|it changed a lot
간단하다|to be simple|간단한 식사|simple meal|간단하게 먹다|to eat simply
섭섭하다|to be upset|마음이 섭섭하다|to feel upset|섭섭해요|I'm disappointed
풀리다|to become solved|오해가 풀리다|misunderstanding is resolved|다 풀렸어요|it's all resolved
장난|joke|장난 아니야|it's no joke|장난치지 마세요|don't joke around
단독주택|house|2층 단독주택|two-story house|단독주택에 살다|to live in a house
외국인등록증|foreigner registration card|외국인 등록증 발급|foreigner registration card issuance|외국인 등록증을 만들다|to make a foreigner registration card
젊은이|young people|요즘 젊은이|young people these days|젊은이들이 많아요|there are many young people
살펴보다|to take a look|자세히 살펴보다|to look closely|살펴봤어요|I looked at it
전문가|specialist|교육 전문가|education specialist|전문가의 조언|expert's advice
고집이세다|to be stubborn|고집이 센 사람|a stubborn person|고집이 너무 세요|you're too stubborn
공연장|performance hall|공연장 입구|performance hall entrance|공연장을 예약하다|to reserve a performance hall
꺼지다|to be turned off|불이 꺼지다|the light goes off|꺼져 있어요|it's turned off
정보|information|개인 정보|personal information|정보를 검색하다|to search for information
매진되다|to be sold out|표가 매진되다|tickets are sold out|벌써 매진됐어요|it's already sold out
