Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Example|Translation
20244|7|2|Dialogue|사이즈|size||size|사이즈가 맞지 않아요.|The size doesn't fit.
20245|7|2|Dialogue|월급|salary|月給|month, give|월급을 받았어요.|I received my salary.
20246|7|2|Dialogue|주머니|pocket|주머니|bag, -er|주머니에 열쇠를 넣었어요.|I put keys in my pocket.
20247|7|2|Dialogue|멋있다|to be cool||style, exist|멋있는 옷을 입었어요.|I wore cool clothes.
20248|7|2|Dialogue|빨갛다|to be red|빨갛다|red, -da|빨간 사과를 먹었어요.|I ate a red apple.
20249|7|2|Dialogue|첫|first|첫|first|첫 만남이 기억나요.|I remember our first meeting.
20250|7|2|Dialogue|마음에 들다|to like|마음에 들다|heart, at, enter|이 옷이 마음에 들어요.|I like these clothes.
20251|7|2|Expanded|디자인|design||design|디자인이 독특해요.|The design is unique.
20252|7|2|Expanded|모양|shape|모양|pattern, shape|동그란 모양이 예뻐요.|The round shape is pretty.
20253|7|2|Expanded|단순하다|to be simple|單純하다|single, pure, do|단순한 디자인을 좋아해요.|I like simple designs.
20254|7|2|Expanded|맞다|to be right||right|답이 맞아요.|The answer is correct.
20255|7|2|Expanded|밝다|to be bright|밝다|bright|방이 밝아서 좋아요.|The room is bright and nice.
20256|7|2|Expanded|비슷하다|to be similar||similar|두 사람이 비슷해 보여요.|The two people look similar.
20257|7|2|Expanded|어둡다|to be dark|어둡다|dark|밤이 되니까 어두워요.|It's dark because it's nighttime.
20258|7|2|Expanded|화려하다|to be gorgeous|華麗하다|flower, beautiful, do|화려한 옷을 입었어요.|I wore gorgeous clothes.
20259|7|2|Expanded|까맣다|to be black|까맣다|black|까만 머리가 예뻐요.|Black hair is pretty.
20260|7|2|Expanded|노랗다|to be yellow|노랗다|yellow|노란 꽃이 피었어요.|Yellow flowers bloomed.
20261|7|2|Expanded|파랗다|to be blue|파랗다|blue|파란 하늘이 맑아요.|The blue sky is clear.
20262|7|2|Expanded|하얗다|to be white|하얗다|white|하얀 눈이 내려요.|White snow is falling.
20263|8|1|Dialogue|기대|expectation|期待|period, wait|여행이 기대돼요.|I'm looking forward to the trip.
20264|8|1|Dialogue|도움|help|도움|help|도움이 필요하면 말하세요.|Tell me if you need help.
20265|8|1|Dialogue|모임|meeting|모임|gather, -ing|친구들과 모임을 가져요.|I'm having a meeting with friends.
20266|8|1|Dialogue|시작하다|to start|始作하다|begin, make, do|수업을 시작할까요?|Shall we start the class?
20267|8|1|Dialogue|초대하다|to invite|招待하다|invite, wait, do|생일파티에 초대했어요.|I invited to the birthday party.
20268|8|1|Dialogue|필요하다|to need|必要하다|must, want, do|돈이 필요해요.|I need money.
20269|8|1|Expanded|강아지|puppy|강아지|dog, -er, -i|귀여운 강아지를 봤어요.|I saw a cute puppy.
20270|8|1|Expanded|동아리|school club|동아리|same, child, -i|대학교 동아리에 가입했어요.|I joined a university club.
20271|8|1|Expanded|동창|schoolmate|同窓|same, window|고등학교 동창을 만났어요.|I met a high school classmate.
20272|8|1|Expanded|동창회|alumni association|同窓會|same, window, meeting|동창회에 참석했어요.|I attended the alumni meeting.
20273|8|1|Expanded|동호회|club|同好會|same, like, meeting|등산 동호회에 가입했어요.|I joined a hiking club.
20274|8|1|Expanded|뒤풀이|after party||after, grass, -i|뒤풀이까지 참석했어요.|I attended even the after party.
20275|8|1|Expanded|송별회|farewell party|送別會|send, separate, meeting|선배 송별회를 했어요.|We had a farewell party for our senior.
20276|8|1|Expanded|초대장|invitation card|招待狀|invite, wait, document|초대장을 받았어요.|I received an invitation card.
20277|8|1|Expanded|환영회|welcome reception|歡迎會|welcome, greet, meeting|신입생 환영회에 갔어요.|I went to the freshman welcome reception.
20278|8|1|Expanded|회비|membership fee|會費|meeting, cost|회비를 냈어요.|I paid the membership fee.
20279|8|1|Expanded|들다|to join||enter|동아리에 들었어요.|I joined the club.
20280|8|1|Expanded|모으다|to gather||gather|친구들을 모았어요.|I gathered friends.
20281|8|1|Expanded|모이다|to get together||gather|친구들이 모였어요.|Friends got together.
20282|8|2|Dialogue|부인|wife|夫人|husband, person|부인이 요리를 잘해요.|My wife cooks well.
20283|8|2|Dialogue|분위기|atmosphere|雰圍氣|divide, surround, energy|분위기가 좋아요.|The atmosphere is good.
20284|8|2|Dialogue|선배|senior|先輩|first, generation|선배가 도움을 줬어요.|My senior helped me.
20285|8|2|Dialogue|주방용품|kitchen products|主房用品|main, room, use, item|주방용품을 선물했어요.|I gave kitchen products as a gift.
20286|8|2|Dialogue|집들이|housewarming party|집들이|house, enter, -i|집들이에 초대받았어요.|I was invited to a housewarming party.
20287|8|2|Dialogue|찻잔|tea cup|茶잔|tea, cup|예쁜 찻잔을 샀어요.|I bought a pretty tea cup.
20288|8|2|Dialogue|쓰다|to use||use|컴퓨터를 쓰고 있어요.|I'm using a computer.
20289|8|2|Dialogue|어울리다|to match||match|잘 어울려요.|It matches well.
20290|8|2|Expanded|꽃바구니|flower basket|꽃바구니|flower, basket|꽃바구니를 선물했어요.|I gave a flower basket as a gift.
20291|8|2|Expanded|떡|rice cake||rice cake|맛있는 떡을 먹었어요.|I ate delicious rice cake.
20292|8|2|Expanded|샤부샤부|shabu shabu||shabu shabu|샤부샤부를 먹으러 갔어요.|I went to eat shabu shabu.
20293|8|2|Expanded|샐러드|salad||salad|신선한 샐러드를 만들었어요.|I made a fresh salad.
20294|8|2|Expanded|세제|detergent|洗劑|wash, agent|설거지할 세제가 있어요.|I have detergent for washing dishes.
20295|8|2|Expanded|벽시계|wall clock|壁時計|wall, time, measure|벽시계를 걸었어요.|I hung a wall clock.
20296|8|2|Expanded|부케|bouquet||bouquet|예쁜 부케를 받았어요.|I received a pretty bouquet.
20297|8|2|Expanded|앨범|album||album|사진 앨범을 봤어요.|I looked at a photo album.
20298|8|2|Expanded|잡채|clear noodles|잡채|mixed, vegetable|잡채를 만들어 봤어요.|I tried making clear noodles.
20299|8|2|Expanded|향초|scented candle|香草|scent, candle|향초를 켰어요.|I lit a scented candle.
20300|8|2|Expanded|휴지|toilet paper|休紙|rest, paper|휴지가 떨어졌어요.|We're out of toilet paper.
20301|8|2|Expanded|화분|flower pot|花盆|flower, pot|화분에 물을 줬어요.|I watered the flower pot.
20302|8|2|Expanded|씹다|to chew||chew|음식을 잘 씹어서 드세요.|Please chew your food well.
20303|8|2|Expanded|졸다|to doze||doze|수업 시간에 졸았어요.|I dozed during class.
20304|8|2|Expanded|박수를 치다|to applaud|拍手를 치다|clap, hand, to, hit|공연 후에 박수를 쳤어요.|I applauded after the performance.
20305|8|2|Expanded|발로 차다|to kick|발로 차다|foot, with, kick|공을 발로 찼어요.|I kicked the ball with my foot.
20306|9|1|Dialogue|지나다|to pass||native Korean root|시간이 빨리 지나갔어요.|Time passed quickly.
20307|9|1|Dialogue|드디어|finally||native Korean root|드디어 숙제를 다 끝냈어요.|I finally finished all my homework.
20308|9|1|Dialogue|무척|very or extremely||native Korean root|오늘 날씨가 무척 좋아요.|The weather is very nice today.
20309|9|1|Dialogue|바로|right||native Korean root|회사 일 끝나고 바로 갈게요.|I'll go right after finishing work.
20310|9|1|Dialogue|벌써|already||native Korean root|벌써 12시가 됐어요.|It's already 12 o'clock.
20311|9|1|Dialogue|그래|yes||native Korean root|그래, 내일 만나자.|Yes, let's meet tomorrow.
20312|9|1|Expanded|너희|you||native Korean root|너희들은 뭐 하고 있어?|What are you guys doing?
20313|9|1|Expanded|말|word||native Korean root|그런 말 하지 마세요.|Don't say such things.
20314|9|1|Expanded|성함|name|姓銜|family name, title|성함이 어떻게 되세요?|What is your name?
20315|9|1|Expanded|세상|world||world|세상이 많이 변했어요.|The world has changed a lot.
20316|9|1|Expanded|여러분|all of you; ladies and gentlemen||many, person|여러분, 안녕하세요.|Hello, everyone.
20317|9|1|Expanded|연세|age in honorific form|年歲|year, age|연세가 어떻게 되세요?|What is your age?
20318|9|1|Expanded|저희|we||humble form|저희 회사에서 일해요.|I work at our company.
20319|9|1|Expanded|진지|meal or food in honorific form|眞實|true, real|진지 드세요.|Please have your meal.
20320|9|2|Dialogue|이틀|two days||two, day|이틀 후에 만나요.|Let's meet in two days.
20321|9|2|Dialogue|후|after|後|after|회의 후에 전화드릴게요.|I'll call you after the meeting.
20322|9|2|Dialogue|급하다|to be urgent|急하다|urgent, do|급한 일이 생겼어요.|Something urgent came up.
20323|9|2|Dialogue|뵙다|to meet (honorific form)||honorific form of 보다|내일 뵙겠습니다.|I'll see you tomorrow.
20324|9|2|Dialogue|섭섭하다|to be sad or disappointed||sad, sad, do|헤어져서 섭섭해요.|I'm sad that we're parting.
20325|9|2|Dialogue|생기다|to come into being||live, rise, do|새로운 기회가 생겼어요.|A new opportunity came up.
20326|9|2|Dialogue|갑자기|suddenly or unexpectedly|甲자기|first, sudden|갑자기 비가 내리기 시작했어요.|It suddenly started to rain.
20327|9|2|Expanded|나흘|four days||four, day|나흘 동안 여행을 했어요.|I traveled for four days.
20328|9|2|Expanded|닷새|five days||five, day|닷새간 휴가를 냈어요.|I took five days of vacation.
20329|9|2|Expanded|마흔|forty||native Korean number|마흔 살에 결혼했어요.|I got married at forty.
20330|9|2|Expanded|사흘|three days||three, day|사흘 전에 만났어요.|We met three days ago.
20331|9|2|Expanded|서른|thirty||native Korean number|서른 살이 되었어요.|I turned thirty.
20332|9|2|Expanded|세|age or years|歲|year|스무 세에 대학에 갔어요.|I went to university at twenty years old.
20333|9|2|Expanded|쉰|fifty||native Korean number|쉰 살까지 일하고 싶어요.|I want to work until fifty.
20334|9|2|Expanded|아흔|ninety||native Korean number|할머니는 아흔 살이세요.|Grandmother is ninety years old.
20335|9|2|Expanded|여든|eighty||native Korean number|할아버지는 여든 살이세요.|Grandfather is eighty years old.
20336|9|2|Expanded|열흘|ten days||ten, day|열흘 후에 돌아와요.|I'll be back in ten days.
20337|9|2|Expanded|일흔|seventy||native Korean number|일흔 살에 은퇴하셨어요.|He retired at seventy.
20338|9|2|Expanded|예순|sixty||native Korean number|예순 살까지 건강하세요.|Stay healthy until sixty.
20339|9|2|Expanded|하루|one day||one, day|하루 종일 공부했어요.|I studied all day long.
20340|9|2|Expanded|세다|to count||native Korean root|숫자를 세어 보세요.|Please count the numbers.
20341|10|1|Dialogue|부탁|request or favor|付託|entrust, ask|부탁이 하나 있어요.|I have a request.
20342|10|1|Dialogue|결석하다|to be absent|缺席하다|lack, seat, do|어제 수업에 결석했어요.|I was absent from class yesterday.
20343|10|1|Dialogue|들어주다|to do (a favor)||hear, give|말 좀 들어주세요.|Please listen to what I have to say.
20344|10|1|Dialogue|빌려주다|to borrow||borrow, give|책 좀 빌려주세요.|Please lend me a book.
20345|10|1|Dialogue|설명하다|to explain|說明하다|speak, bright, do|다시 한 번 설명해 주세요.|Please explain it one more time.
20346|10|1|Expanded|놓다|to place or put||native Korean root|책상 위에 놓으세요.|Please put it on the desk.
20347|10|1|Expanded|늘다|to increase or improve||native Korean root|실력이 많이 늘었어요.|My skills have improved a lot.
20348|10|1|Expanded|당기다|to pull||native Korean root|문을 당겨서 여세요.|Pull the door to open it.
20349|10|1|Expanded|밀다|to push||native Korean root|문을 밀어서 여세요.|Push the door to open it.
20350|10|1|Expanded|벗다|to take off||native Korean root|신발을 벗고 들어가세요.|Take off your shoes and go in.
20351|10|1|Expanded|잡다|to grasp or catch||native Korean root|손을 꽉 잡으세요.|Hold my hand tightly.
20352|10|1|Expanded|접다|to fold||native Korean root|종이를 반으로 접으세요.|Fold the paper in half.
20353|10|1|Expanded|줄다|to decrease or be reduced||native Korean root|체중이 5킬로 줄었어요.|My weight decreased by 5 kilograms.
20354|10|1|Expanded|펴다|to spread or unfold||native Korean root|지도를 펴서 보세요.|Spread out the map and look at it.
20355|10|2|Dialogue|서류|document|書類|document, category|서류를 준비해 주세요.|Please prepare the documents.
20356|10|2|Dialogue|전하다|to deliver or hand over|傳하다|transmit, do|말씀 전해 드릴게요.|I'll deliver the message.
20357|10|2|Dialogue|퇴근하다|to leave one's office or get off from work|退勤하다|retreat, work, do|6시에 퇴근해요.|I leave work at 6 o'clock.
20358|10|2|Dialogue|이미|already|已미|already|이미 끝났어요.|It's already finished.
20359|10|2|Dialogue|저|excuse me||humble form|저, 실례합니다만...|Excuse me, but...
20360|10|2|Expanded|부장|head of a department or director|部長|department, chief|부장님께서 찾으세요.|The department head is looking for you.
20361|10|2|Expanded|아|ah||native Korean interjection|아, 그렇구나.|Ah, I see.
20362|10|2|Expanded|어|uh||native Korean interjection|어, 정말요?|Uh, really?
20363|10|2|Expanded|음|um||native Korean interjection|음, 어려운 문제네요.|Um, it's a difficult problem.
20364|10|2|Expanded|자|okay||native Korean interjection|자, 시작해 볼까요?|Okay, shall we start?
20365|10|2|Expanded|저기|excuse me||over there|저기, 잠깐만요.|Excuse me, wait a moment.
20366|11|1|Dialogue|경복궁|Gyeongbok Palace|景福宮|scenery, fortune, palace|경복궁에서 관광객들이 사진을 찍고 있어요.|Tourists are taking pictures at Gyeongbok Palace.
20367|11|1|Dialogue|기사|driver|技士|skill, person|버스 기사님께 길을 물어봤어요.|I asked the bus driver for directions.
20368|11|1|Dialogue|삼거리|three-way intersection|三거리|three, street|삼거리에서 왼쪽으로 가세요.|Turn left at the three-way intersection.
20369|11|1|Dialogue|출퇴근|commuting|出退勤|go out, retreat, work|출퇴근 시간에 지하철이 복잡해요.|The subway is crowded during commuting hours.
20370|11|1|Dialogue|밀리다|to be backed up||push, become|차가 밀려서 늦을 것 같아요.|Traffic is backed up, so I think I'll be late.
20371|11|1|Dialogue|세우다|to stop||stop, make|여기서 택시를 세워 주세요.|Please stop a taxi here.
20372|11|1|Dialogue|좌회전하다|to make a left turn|左回轉하다|left, turn, revolve, do|신호등에서 좌회전하세요.|Turn left at the traffic light.
20373|11|1|Expanded|노선도|route map|路線圖|road, line, diagram|지하철 노선도를 보고 길을 찾았어요.|I found the way by looking at the subway route map.
20374|11|1|Expanded|반대|opposite|反對|oppose, face|반대 방향으로 가고 있어요.|You're going in the opposite direction.
20375|11|1|Expanded|을지로입구역|Euljiro-ipgu Station|乙支路入口驛|을지로, enter, mouth, station|을지로입구역에서 환승하세요.|Transfer at Euljiro-ipgu Station.
20376|11|1|Expanded|이태원역|Itaewon Station|梨泰院驛|pear, big, garden, station|이태원역 근처에 외국인이 많아요.|There are many foreigners near Itaewon Station.
20377|11|1|Expanded|쪽|direction||direction, side|학교 쪽으로 가고 있어요.|I'm heading toward the school direction.
20378|11|1|Expanded|홍대|Hongdae|弘大|wide, big|홍대에서 친구들과 만났어요.|I met friends at Hongdae.
20379|11|2|Dialogue|교통카드|transportation card|交通카드|traffic, pass, card|교통카드로 지하철 요금을 냈어요.|I paid the subway fare with a transportation card.
20380|11|2|Dialogue|광화문|Gwanghwamun|光化門|light, change, gate|광화문에서 시위가 열리고 있어요.|A demonstration is being held at Gwanghwamun.
20381|11|2|Dialogue|노약자석|seats for the elderly|老弱者席|old, weak, person, seat|노약자석은 비워 두세요.|Please keep the elderly seats empty.
20382|11|2|Dialogue|단말기|card reader|端末機|end, last, machine|단말기에 카드를 대세요.|Touch your card to the card reader.
20383|11|2|Dialogue|벨|bell||bell|내릴 때 벨을 눌러 주세요.|Please press the bell when getting off.
20384|11|2|Dialogue|스크린도어|screen door||screen, door|지하철 스크린도어가 열렸어요.|The subway screen door opened.
20385|11|2|Dialogue|손잡이|door knob||hand, hold|손잡이를 잡고 조심하세요.|Hold the door knob and be careful.
20386|11|2|Dialogue|승강장|platform|昇降場|rise, fall, place|승강장에서 기다리고 있어요.|I'm waiting on the platform.
20387|11|2|Expanded|안전선|safety line|安全線|safe, complete, line|안전선 뒤로 물러서 주세요.|Please step back behind the safety line.
20388|11|2|Expanded|여의도역|Yeuido Station|汝矣島驛|you, doubt, island, station|여의도역에서 내려서 걸어가세요.|Get off at Yeuido Station and walk.
20389|11|2|Expanded|요금|rate or fee|料金|material, money|버스 요금이 올랐어요.|Bus fares have increased.
20390|11|2|Expanded|종로|Jongno|鐘路|bell, road|종로에 오래된 가게들이 많아요.|There are many old shops in Jongno.
20391|11|2|Expanded|줄|line||line|표를 사려고 줄을 서고 있어요.|I'm standing in line to buy tickets.
20392|11|2|Expanded|홍대입구역|Hongdae-ipgu Station|弘大入口驛|wide, big, enter, mouth, station|홍대입구역 주변이 시끄러워요.|It's noisy around Hongdae-ipgu Station.
20393|11|2|Expanded|깨다|to wake up||wake|아침 7시에 깨었어요.|I woke up at 7 AM.
20394|11|2|Expanded|내다|to pay||out, give|세금을 내야 해요.|I have to pay taxes.
20395|11|2|Expanded|누르다|to press or push||press|버튼을 세게 누르세요.|Press the button firmly.
20396|11|2|Expanded|대다|to put or apply||touch, apply|카드를 단말기에 대세요.|Touch your card to the terminal.
20397|11|2|Expanded|서다|to stand||stand|줄을 서서 기다리고 있어요.|I'm standing in line waiting.
20398|11|2|Expanded|열리다|to be opened||open, become|문이 자동으로 열려요.|The door opens automatically.
20399|12|1|Dialogue|기억하다|to remember|記憶하다|record, memory, do|중요한 일을 기억해야 해요.|You need to remember important things.
20400|12|1|Dialogue|사용하다|to use|使用하다|use, apply, do|컴퓨터를 자주 사용해요.|I use the computer often.
20401|12|1|Dialogue|연습하다|to practice|練習하다|practice, learn, do|피아노 연습을 매일 해요.|I practice piano every day.
20402|12|1|Dialogue|외우다|to memorize||remember, memorize|단어를 외우기가 어려워요.|It's difficult to memorize vocabulary.
20403|12|1|Dialogue|잊어버리다|to forget||forget, throw away|약속을 잊어버렸어요.|I forgot the appointment.
20404|12|1|Dialogue|자꾸|frequently||keep, often|자꾸 같은 실수를 해요.|I keep making the same mistake.
20405|12|1|Expanded|메모|memo||memo|중요한 내용을 메모했어요.|I took notes of important content.
20406|12|1|Expanded|버튼|button||button|빨간 버튼을 누르지 마세요.|Don't press the red button.
20407|12|1|Expanded|끝내다|to end or finish||end, complete|숙제를 빨리 끝내고 싶어요.|I want to finish homework quickly.
20408|12|1|Expanded|대답하다|to reply or answer|對答하다|face, answer, do|선생님 질문에 대답했어요.|I answered the teacher's question.
20409|12|1|Expanded|마치다|to end or finish||finish, complete|회의를 5시에 마쳤어요.|We finished the meeting at 5 o'clock.
20410|12|1|Expanded|발표하다|to announce or make a presentation|發表하다|send out, express, do|내일 수업에서 발표할 예정이에요.|I plan to give a presentation in tomorrow's class.
20411|12|1|Expanded|지각하다|to be tardy or late|遲刻하다|late, carve, do|수업에 지각하면 안 돼요.|You shouldn't be late for class.
20412|12|1|Expanded|질문하다|to ask a question|質問하다|quality, ask, do|이해가 안 되면 질문하세요.|If you don't understand, please ask questions.
20413|12|1|Expanded|출석하다|to attend or be present|出席하다|go out, seat, do|모든 수업에 출석해야 해요.|You must attend all classes.
20414|12|2|Dialogue|신청서|application or registration form|申請書|request, clear, document|신청서를 작성해서 제출하세요.|Fill out and submit the application form.
20415|12|2|Dialogue|홈페이지|homepage||home, page|학교 홈페이지에서 정보를 확인하세요.|Check the information on the school homepage.
20416|12|2|Dialogue|내다|to turn in||out, submit|과제를 내일까지 내야 해요.|I have to turn in the assignment by tomorrow.
20417|12|2|Dialogue|신청하다|to apply|申請하다|request, clear, do|장학금을 신청했어요.|I applied for a scholarship.
20418|12|2|Dialogue|직접|in person or directly|直接|straight, connect|직접 와서 확인해 보세요.|Come in person and check it yourself.
20419|12|2|Expanded|결과|result|結果|tie, fruit|시험 결과가 나왔어요.|The exam results came out.
20420|12|2|Expanded|교환|exchange|交換|cross, change|외국 학생과 언어 교환을 해요.|I do language exchange with foreign students.
20421|12|2|Expanded|기간|time period|期間|period, between|등록 기간을 놓치지 마세요.|Don't miss the registration period.
20422|12|2|Expanded|등록|registration|登錄|climb, record|수강 등록을 했어요.|I completed course registration.
20423|12|2|Expanded|등록금|registration fee|登錄金|climb, record, money|등록금이 너무 비싸요.|The registration fee is too expensive.
20424|12|2|Expanded|시간표|time schedule|時間表|time, between, table|시간표를 확인해서 수업을 들어요.|I check the timetable and attend classes.
20425|12|2|Expanded|취소|to cancel|取消|take, eliminate|수업을 취소하고 싶어요.|I want to cancel the class.
20426|12|2|Expanded|휴학|temporary absence from school|休學|rest, study|한 학기 휴학할 예정이에요.|I plan to take a semester off.
20427|13|1|Dialogue|비밀번호|password|秘密番號|secret, close, number, sign|비밀번호를 잊어버렸어요.|I forgot my password.
20428|13|1|Dialogue|체크카드|debit card||check, card|체크카드로 결제할게요.|I'll pay with a debit card.
20429|13|1|Dialogue|통장|bankbook|通帳|pass, record|통장을 새로 만들었어요.|I made a new bankbook.
20430|13|1|Dialogue|서명하다|to sign one's name|署名하다|write, name, do|여기에 서명해 주세요.|Please sign here.
20431|13|1|Dialogue|우선|first|優先|excellent, first|우선 신분증을 보여 주세요.|First, please show your ID.
20432|13|1|Dialogue|잠시|a little while or moment||moment, time|잠시만 기다려 주세요.|Please wait a moment.
20433|13|1|Expanded|계좌번호|account number|計座番號|count, seat, number, sign|계좌번호를 알려 주세요.|Please tell me your account number.
20434|13|1|Expanded|공과금|taxes|公課金|public, subject, money|공과금을 자동으로 납부해요.|I pay utility bills automatically.
20435|13|1|Expanded|도장|seal or stamp|圖章|picture, chapter|중요한 서류에 도장을 찍어요.|I stamp important documents.
20436|13|1|Expanded|번호표|number ticket|番號表|number, sign, table|번호표를 뽑고 기다리세요.|Take a number ticket and wait.
20437|13|1|Expanded|부부|husband and wife|夫婦|husband, wife|부부가 함께 계좌를 만들었어요.|The married couple opened an account together.
20438|13|1|Expanded|순서|order or sequence|順序|order, sequence|순서대로 들어가세요.|Please go in order.
20439|13|1|Expanded|저금|savings or deposit|貯金|store, money|매달 저금을 하고 있어요.|I save money every month.
20440|13|1|Expanded|현금자동인출기|ATM|現金自動引出機|present, money, self, move, pull, out, machine|현금자동인출기에서 돈을 뽑았어요.|I withdrew money from the ATM.
20441|13|1|Expanded|환전|exchange of money|換錢|change, money|공항에서 환전을 했어요.|I exchanged money at the airport.
20442|13|1|Expanded|씻다|to wash or cleanse||wash|손을 깨끗하게 씻으세요.|Wash your hands clean.
20443|13|1|Expanded|찾다|to withdraw (money)||find, take|은행에서 돈을 찾았어요.|I withdrew money from the bank.
20444|13|2|Dialogue|배편|by ship|船便|ship, convenient|짐을 배편으로 보냈어요.|I sent the luggage by ship.
20445|13|2|Dialogue|상자|box|箱子|box, child|선물을 예쁜 상자에 넣었어요.|I put the gift in a pretty box.
20446|13|2|Dialogue|소포|package or parcel|小包|small, wrap|소포가 집에 도착했어요.|The package arrived at home.
20447|13|2|Dialogue|저울|scale||scale, measure|짐의 무게를 저울로 재세요.|Weigh the luggage on the scale.
20448|13|2|Dialogue|항공편|by airmail|航空便|fly, sky, convenient|편지를 항공편으로 보낼게요.|I'll send the letter by airmail.
20449|13|2|Dialogue|부치다|to send or ship||send, attach|소포를 한국에 부쳤어요.|I sent the package to Korea.
20450|13|2|Dialogue|포장하다|to wrap|包裝하다|wrap, decorate, do|선물을 예쁘게 포장했어요.|I wrapped the gift beautifully.
20451|13|2|Dialogue|올려놓다|to place on top of something||raise, place|책을 책상 위에 올려놓으세요.|Place the book on top of the desk.
20452|13|2|Expanded|국제특급|Express Mail Service|國際特急|country, between, special, urgent|국제특급으로 빨리 보내세요.|Send it quickly by Express Mail Service.
20453|13|2|Expanded|길이|length||length, measurement|상자의 길이를 재세요.|Measure the length of the box.
20454|13|2|Expanded|높이|height||height, measurement|건물의 높이가 얼마나 돼요?|How tall is the building?
20455|13|2|Expanded|무게|weight||weight, heavy|짐의 무게가 20킬로예요.|The luggage weighs 20 kilograms.
20456|13|2|Expanded|봉투|envelope|封套|seal, case|편지를 봉투에 넣었어요.|I put the letter in an envelope.
20457|13|2|Expanded|우편번호|zip code|郵便番號|mail, convenient, number, sign|우편번호를 정확히 써 주세요.|Please write the zip code correctly.
20458|13|2|Expanded|우표|stamp|郵票|mail, ticket|편지에 우표를 붙였어요.|I put a stamp on the letter.
20459|13|2|Expanded|크기|size||size, measure|상자의 크기가 적당해요.|The size of the box is appropriate.
20460|13|2|Expanded|택배|package|宅配|house, distribute|택배가 내일 도착할 예정이에요.|The package is scheduled to arrive tomorrow.
20461|13|2|Expanded|낮다|to be low or short||low, short|가격이 생각보다 낮아요.|The price is lower than expected.
20462|13|2|Expanded|높다|to be high or tall||high, tall|건물이 정말 높아요.|The building is really tall.
20463|14|1|Dialogue|서비스센터|service center||service, center|서비스센터에 전화했어요.|I called the service center.
20464|14|1|Dialogue|속도|speed|速度|fast, degree|인터넷 속도가 느려요.|The internet speed is slow.
20465|14|1|Dialogue|이전|before|以前|use, before|이전보다 좋아졌어요.|It's better than before.
20466|14|1|Dialogue|검색하다|to search|檢索하다|examine, search, do|인터넷에서 정보를 검색했어요.|I searched for information on the internet.
20467|14|1|Dialogue|고장나다|to break down or be broken|故障나다|reason, obstruct, come|컴퓨터가 갑자기 고장났어요.|The computer suddenly broke down.
20468|14|1|Dialogue|고치다|to repair or fix||fix, repair|시계를 고쳐야 해요.|I need to fix the watch.
20469|14|1|Expanded|동영상|video file|動映像|move, reflect, image|동영상을 컴퓨터에 저장했어요.|I saved the video file on my computer.
20470|14|1|Expanded|위치|position|位置|position, place|우리 집 위치를 알려 드릴게요.|I'll tell you our house's location.
20471|14|1|Expanded|계산하다|to calculate|計算하다|count, calculate, do|비용을 정확히 계산하세요.|Calculate the cost accurately.
20472|14|1|Expanded|녹음하다|to record|錄音하다|record, sound, do|중요한 내용을 녹음했어요.|I recorded the important content.
20473|14|1|Expanded|통화하다|to speak over the phone|通話하다|pass, speak, do|친구와 한 시간 동안 통화했어요.|I talked with my friend for an hour on the phone.
20474|14|2|Dialogue|바비큐|barbecue||barbecue|주말에 바비큐 파티를 할 거예요.|We're going to have a barbecue party on the weekend.
20475|14|2|Dialogue|캠핑장|campsite||camping, place|산속에 있는 캠핑장에 갔어요.|We went to a campsite in the mountains.
20476|14|2|Dialogue|데려오다|to bring someone||bring, come|친구를 집에 데려왔어요.|I brought my friend home.
20477|14|2|Dialogue|방금|right now||just, now|방금 전화가 왔어요.|A phone call just came.
20478|14|2|Dialogue|함께|with||together, with|친구와 함께 영화를 봤어요.|I watched a movie with my friend.
20479|14|2|Expanded|농구공|basketball|籠球공|basket, ball, ball|농구공으로 운동해요.|I exercise with a basketball.
20480|14|2|Expanded|답장|answer or reply|答狀|answer, letter|편지에 답장을 보냈어요.|I sent a reply to the letter.
20481|14|2|Expanded|남기다|to leave||remain, stay|메시지를 남겨 주세요.|Please leave a message.
20482|14|2|Expanded|싸우다|to fight||fight, struggle|형제가 자주 싸워요.|The brothers fight often.
20483|14|2|Expanded|지우다|to erase||erase, remove|칠판의 글씨를 지웠어요.|I erased the writing on the blackboard.
20484|14|2|Expanded|확인하다|to confirm|確認하다|sure, recognize, do|약속 시간을 확인했어요.|I confirmed the appointment time.
20485|14|2|Expanded|가까이|near or nearby||near, close|학교가 집에서 가까이 있어요.|The school is close to home.
20486|14|2|Expanded|따로|separately||separate, apart|돈을 따로 모으고 있어요.|I'm saving money separately.
20487|14|2|Expanded|멀리|far distance||far, distant|할머니 집이 여기서 멀리 있어요.|Grandmother's house is far from here.
20488|15|1|Dialogue|메뉴|menu||native Korean root|오늘 메뉴가 뭐예요?|What's today's menu?
20489|15|1|Dialogue|서비스|service||loanword|서비스가 정말 좋았어요.|The service was really good.
20490|15|1|Dialogue|선택|selection|選擇|choose, select|어떤 선택을 할지 모르겠어요.|I don't know what choice to make.
20491|15|1|Dialogue|팀장|team manager|팀長|team, leader|팀장님이 회의를 주재하세요.|The team manager is chairing the meeting.
20492|15|1|Dialogue|남다|to remain||native Korean root|시간이 얼마 남지 않았어요.|There isn't much time remaining.
